Rank,ID,Parameter,Old Value,New Value,Sharpe Delta,WR Delta%,% Symbols Better,Verdict,Applied?
1,BC_1,TF_FOCUS,15m,3m,4.624,-6.79,95% (219/230),KEEP,✅ ACTIVE
2,BC_103,ENTRY_ATR_PCT_MIN,0.0,1.5%,4.125,11.28,100% (198/198),KEEP,✅ ACTIVE
3,BC_17,STOP_LOSS_THRESHOLD,1.0,999.0 (disabled),2.947,8.78,99% (230/233),KEEP,✅ ACTIVE
3,BC_113,STOP_MAJOR_LOSS_BLOCK,False,True (blocked),2.947,8.78,99% (230/233),KEEP,✅ ACTIVE
5,BC_114,IMMEDIATE_WRONG_WAY,True,False (disabled),2.329,1.94,98% (229/233),KEEP,✅ DISABLED
6,BC_31,HA_3M_ENTRY_WEIGHT,0.0,-0.5,2.012,-0.61,94% (218/233),KEEP,✅ ACTIVE
7,BC_100,ENTRY_VOL_MIN_RATIO,1.0,1.3,2.008,0.32,92% (214/233),KEEP,✅ ACTIVE
8,BC_6,BB_ENTRY_THRESHOLD,none,-0.2,1.932,-0.67,93% (216/233),KEEP,✅ ACTIVE
9,BC_32,TF_ALIGNMENT_MIN,4,3,1.352,-0.23,90% (210/233),KEEP,✅ ACTIVE
10,BC_111,RSI_ENTRY_GATE,none,True (<37/>63),1.295,-0.43,93% (217/233),KEEP,✅ ACTIVE
,,,,,,,,,
50,BC_101_TP,ACCOUNT_TP_PCT,2%,0.5%,-0.745,,33%,⚠️ RAISED,✅ FIXED → 1.5%
51,BC_35,HTF1_CONF,True,False,-1.68,,7% (17/233),⚠️ REVERT,✅ FIXED → True
52,BC_16,HOLD_BARS_15M,999,13,-6.983,,0% (0/233),⚠️ REVERT,✅ FIXED → 999
