Rank,Strategy,Market,PF,WR%,Sharpe (pre-QA),Est. Corrected,Trades,Applied?
1,stoch 14/7/7 + 15m+1h,tradier,2.81,59.5,5.04,~0.5-1.5,3099,✅ STOCH 7/7
2,K-zone 90/10 + 3m+15m struct,crypto,2.38,51.6,4.5,~0.5-1.5,24949,✅ K-zone 90/10
3,stoch 14/7/7 + 3m+15m struct,crypto,2.28,52.9,4.41,~0.5-1.5,15416,✅ BC_101
4,15m+1h struct (baseline),tradier,2.53,56.5,4.45,~0.5-1.5,3415,✅ Baseline
5,SL2/TP1 15m+1h,tradier,2.53,57.6,4.64,~0.5-1.5,3475,Not applied
6,K-zone 80/20 + 3m+15m,crypto,2.13,49.8,3.96,~0.4-1.0,,Superseded by 90/10
7,SL3/TP2 3m+15m,crypto,1.9,47.1,3.05,~0.3-0.8,15299,Not applied
8,stoch 14/5/5 baseline,crypto,1.85,47.4,3.22,~0.3-0.8,15426,Superseded by 7/7
9,HA candle filter,crypto,0.79,59.8,-1.65,negative,,❌ REJECTED (PF<1)
10,Vol >2.0x filter,crypto,1.06,36.7,0.3,~0.03,,❌ REJECTED
