config_id,engine,ENTRY_SCORE,MIN_GAIN_AGG,RATIO_MULT,REENTRY_K_MAX,STRICT_NO_LOSS,WT_HTF_MIN,WT_LTF_MIN,total_trades,realized_pnl,sharpe,win_rate,max_dd_pct,total_pnl_pct,opens,closes,winning,losing,fees,elapsed_s,machine,error
summary_crypto_20260330_031712,V5,,,,,,,,37,30.03,28.696,100.0,0.09,2.78,2,17,17,0,0,0,local,
summary_crypto_20260330_031727,V5,,,,,,,,37,30.03,28.696,100.0,0.09,2.78,2,17,17,0,0,0,local,
summary_crypto_20260330_014718,V5,,,,,,,,251,193.76,14.961,94.44,0.33,1.75,36,36,34,2,0,0,local,
summary_crypto_20260330_020406,V5,,,,,,,,251,193.74,14.96,94.44,0.33,1.75,36,36,34,2,0,0,local,
summary_crypto_20260330_020113,V5,,,,,,,,26,18.0,13.181,100.0,0.34,1.17,4,5,5,0,0,0,local,
summary_crypto_20260330_020144,V5,,,,,,,,26,18.0,13.181,100.0,0.34,1.17,4,5,5,0,0,0,local,
summary_crypto_20260330_020231,V5,,,,,,,,26,18.0,13.181,100.0,0.34,1.17,4,5,5,0,0,0,local,
summary_crypto_20260329_222355,V5,,,,,,,,0,0.0,11.358,0.0,0.01,-0.15,0,0,0,0,0,0,local,
summary_crypto_20260329_222431,V5,,,,,,,,0,0.0,11.358,0.0,0.01,-0.15,0,0,0,0,0,0,local,
summary_crypto_20260330_034302,V5,,,,,,,,18,0.0,11.19,0.0,1.21,1.77,2,0,0,0,0,0,local,
summary_crypto_20260330_034319,V5,,,,,,,,18,0.0,11.19,0.0,1.21,1.77,2,0,0,0,0,0,local,
summary_crypto_20260330_020056,V5,,,,,,,,20,23.99,9.928,83.33,1.38,2.26,4,6,5,1,0,0,local,
summary_crypto_20260330_043824,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_043923,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_043953,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_044245,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_070411,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_080240,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260330_080537,V5,,,,,,,,17,0.0,7.965,0.0,1.17,1.6,2,0,0,0,0,0,local,
summary_crypto_20260329_232653,V5,,,,,,,,25,0.0,4.447,0.0,0.07,-0.08,14,9,0,9,0,0,local,
summary_crypto_20260329_221315,V5,,,,,,,,12,0.0,3.106,0.0,1.27,0.26,0,0,0,0,0,0,local,
summary_crypto_20260329_221618,V5,,,,,,,,12,0.0,3.106,0.0,1.27,0.26,0,0,0,0,0,0,local,
summary_crypto_20260329_221849,V5,,,,,,,,12,0.0,3.106,0.0,1.27,0.26,0,0,0,0,0,0,local,
summary_crypto_20260330_021752,V5,,,,,,,,747,3898.29,2.96,94.87,28.23,37.51,154,117,111,6,0,0,local,
summary_crypto_20260329_233708,V5,,,,,,,,104,2.45,2.788,23.81,0.02,-0.01,34,21,5,16,0,0,local,
summary_crypto_20260330_014200,V5,,,,,,,,392,3580.02,2.078,94.9,17.13,150.84,23,98,93,5,0,0,local,
summary_tradier_20260330_223518,V5,,,,,,,,1223,61.24,1.615,100.0,5.78,8.34,218,175,175,0,0,0,local,
summary_crypto_20260331_054241,V5,,,,,,,,37,0.62,0.0,100.0,0.3,-0.23,2,2,2,0,0,0,local,
summary_crypto_20260331_055634,V7,,,,,,,,8,0.0,0.0,0.0,0.03,0.01,0,0,0,0,0.04,0,local,
summary_crypto_20260401_202743,V7,,,,,,,,7,0.0,0.0,0.0,0.03,0.02,0,0,0,0,0.02,0,local,
summary_crypto_20260401_203147,V7,,,,,,,,7,0.0,0.0,0.0,0.03,0.02,0,0,0,0,0.02,0,local,
summary_crypto_20260329_222302,V5,,,,,,,,14,0.0,-0.774,0.0,0.98,-0.31,0,0,0,0,0,0,local,
summary_crypto_20260329_222517,V5,,,,,,,,14,0.0,-0.774,0.0,0.98,-0.31,0,0,0,0,0,0,local,
summary_crypto_20260329_215445,V5,,,,,,,,15,0.0,-1.972,0.0,0.13,-0.31,0,0,0,0,0,0,local,
summary_crypto_20260329_223110,V5,,,,,,,,15,0.0,-1.972,0.0,0.13,-0.31,0,0,0,0,0,0,local,
summary_crypto_20260330_061825,V5,,,,,,,,61,0.0,-3.872,0.0,1.06,-0.55,10,0,0,0,0,0,local,
summary_crypto_20260330_070250,V5,,,,,,,,61,0.0,-3.872,0.0,1.06,-0.55,10,0,0,0,0,0,local,
summary_crypto_20260330_075529,V5,,,,,,,,61,0.0,-3.872,0.0,1.06,-0.55,10,0,0,0,0,0,local,
summary_crypto_20260330_081028,V5,,,,,,,,69,1.23,-4.799,100.0,1.11,-0.64,10,8,8,0,0,0,local,
summary_crypto_20260329_221632,V5,,,,,,,,10,0.0,-22.373,0.0,0.09,-0.31,0,0,0,0,0,0,local,
summary_crypto_20260329_221903,V5,,,,,,,,10,0.0,-22.373,0.0,0.09,-0.31,0,0,0,0,0,0,local,
