field,classification,family,lifecycle,live_hooked,hits_detail,num_files_with_hit
ABLATION_DISABLE_FAST_RISER,UNCONNECTED,GLOBAL,,YES,ez_manage.py:1886:check_scalp_eligible; tradier_manage.py:1537:_ee_reentry_boost; config.py:2593:<top>,4
ABLATION_DISABLE_SCALP_GUARD,UNCONNECTED,FILTER,,YES,ez_manage.py:1887:check_scalp_eligible; tradier_manage.py:1543:_ee_reentry_boost; config.py:2601:<top>,4
ACCOUNTS,UNCONNECTED,GLOBAL,,YES,ez_manage.py:187:_breakout_15m_vol_ok[EXH]; tradier_manage.py:2955:_ee_reentry_boost; ez_positions_quick.py:1225:calculate_dynamic_quantity,5
ACCOUNT_KEYS,UNCONNECTED,GLOBAL,,YES,ez_manage.py:2111:check_scalp_eligible; tradier_manage.py:2956:_ee_reentry_boost; ez_positions_quick.py:496:check_server_heartbeat,5
ACCOUNT_OVERRIDES,UNCONNECTED,ACCOUNT_OVERRIDES,,YES,ez_manage.py:2112:check_scalp_eligible; tradier_manage.py:2957:_ee_reentry_boost; config.py:458:<top>,4
ACCOUNT_SIDE_MAPPING,UNCONNECTED,ACCOUNT_SIDE_MAPPING,,YES,ez_manage.py:2112:check_scalp_eligible; tradier_manage.py:2958:_ee_reentry_boost; config.py:4175:<top>,4
ACCOUNT_TP_PCT,UNCONNECTED,ACCOUNT_TP_PCT,,YES,ez_manage.py:2112:check_scalp_eligible; tradier_manage.py:2959:_ee_reentry_boost; config.py:2373:<top>,4
ADAPTIVE_REGIME_DC_BREAKDOWN_THRESHOLD,UNCONNECTED,ADAPTIVE_REGIME_DC,,YES,ez_manage.py:189:_breakout_15m_vol_ok[EXH]; tradier_manage.py:1545:_ee_reentry_boost; config.py:2791:<top>,4
ADAPTIVE_REGIME_DC_BREAKOUT_THRESHOLD,UNCONNECTED,ADAPTIVE_REGIME_DC,,YES,ez_manage.py:187:_breakout_15m_vol_ok[EXH]; tradier_manage.py:1546:_ee_reentry_boost; config.py:2790:<top>,4
ADAPTIVE_REGIME_DECAY_HALFLIFE_H,UNCONNECTED,ADAPTIVE_REGIME_DECAY,,YES,ez_manage.py:189:_breakout_15m_vol_ok[EXH]; tradier_manage.py:1547:_ee_reentry_boost; config.py:2794:<top>,4
