symbol,n_bars,n_indicators,start,end,price_start,price_end,wt1_3m,wt2_3m,stoch_k_3m,ha_3m,wt1_1h,wt1_4h,wt1_D,dc_high_3m,atr_3m
1INCHUSDT,836965,308,2021-06-15,2026-03-24,3.6755,0.0937,True,True,True,True,True,True,True,True,False
ALGOUSDT,836965,308,2021-06-15,2026-03-24,1.0556,0.0865,True,True,True,True,True,True,True,True,False
ANKRUSDT,836965,308,2021-06-15,2026-03-24,0.087,0.0052,True,True,True,True,True,True,True,True,False
ATOMUSDT,754465,308,2021-06-15,2026-03-24,13.3128,1.769,True,True,True,True,True,True,True,True,False
AXSUSDT,814465,308,2021-06-15,2026-03-24,4.1744,1.113,True,True,True,True,True,True,True,True,False
BANDUSDT,836965,308,2021-06-15,2026-03-24,7.288,0.2195,True,True,True,True,True,True,True,True,False
BATUSDT,836965,308,2021-06-15,2026-03-24,0.6711,0.1062,True,True,True,True,True,True,True,True,False
BELUSDT,806725,308,2021-08-17,2026-03-24,2.1208,0.0964,True,True,True,True,True,True,True,True,False
BTCDOMUSDT,834015,308,2021-06-21,2026-03-24,1003.36,5067.1001,True,True,True,True,True,True,True,True,False
CELRUSDT,836965,308,2021-06-15,2026-03-24,0.0375,0.0026,True,True,True,True,True,True,True,True,False
CHRUSDT,836965,308,2021-06-15,2026-03-24,0.1932,0.0143,True,True,True,True,True,True,True,True,False
COMPUSDT,829465,308,2021-06-15,2026-03-24,336.702,19.09,True,True,True,True,True,True,True,True,False
COTIUSDT,836965,308,2021-06-15,2026-03-24,0.2111,0.0125,True,True,True,True,True,True,True,True,False
DASHUSDT,836965,308,2021-06-15,2026-03-24,177.922,33.95,True,True,True,True,True,True,True,True,False
DOTUSDT,829465,308,2021-06-15,2026-03-24,25.785,1.376,True,True,True,True,True,True,True,True,False
EGLDUSDT,836965,308,2021-06-15,2026-03-24,89.926,4.029,True,True,True,True,True,True,True,True,False
ENJUSDT,836965,308,2021-06-15,2026-03-24,1.4243,0.0207,True,True,True,True,True,True,True,True,False
ETCUSDT,784465,308,2021-06-15,2026-03-24,59.2472,8.509,True,True,True,True,True,True,True,True,False
GRTUSDT,836965,308,2021-06-15,2026-03-24,0.6831,0.025,True,True,True,True,True,True,True,True,False
GTCUSDT,836965,308,2021-06-15,2026-03-24,10.3904,0.083,True,True,True,True,True,True,True,True,False
HOTUSDT,836965,308,2021-06-15,2026-03-24,0.0083,0.0004,True,True,True,True,True,True,True,True,False
IOSTUSDT,842965,308,2021-06-15,2026-03-24,0.0294,0.0011,True,True,True,True,True,True,True,True,False
IOTAUSDT,836965,308,2021-06-15,2026-03-24,1.1282,0.0582,True,True,True,True,True,True,True,True,False
KAVAUSDT,769465,308,2021-06-15,2026-03-24,3.9941,0.0534,True,True,True,True,True,True,True,True,False
KNCUSDT,836965,308,2021-06-15,2026-03-24,1.9022,0.1422,True,True,True,True,True,True,True,True,False
KSMUSDT,836965,308,2021-06-15,2026-03-24,425.758,4.401,True,True,True,True,True,True,True,True,False
LRCUSDT,814465,308,2021-06-15,2026-03-24,0.3128,0.0237,True,True,True,True,True,True,True,True,False
MANAUSDT,836965,308,2021-06-15,2026-03-24,0.7117,0.0878,True,True,True,True,True,True,True,True,False
MTLUSDT,836965,308,2021-06-15,2026-03-24,2.2336,0.2744,True,True,True,True,True,True,True,True,False
NKNUSDT,836965,308,2021-06-15,2026-03-24,0.3044,0.0055,True,True,True,True,True,True,True,True,False
QTUMUSDT,806965,308,2021-06-15,2026-03-24,9.4108,0.913,True,True,True,True,True,True,True,True,False
RLCUSDT,836965,308,2021-06-15,2026-03-24,3.6704,0.4275,True,True,True,True,True,True,True,True,False
RSRUSDT,836965,308,2021-06-15,2026-03-24,0.032,0.0016,True,True,True,True,True,True,True,True,False
RVNUSDT,836965,308,2021-06-15,2026-03-24,0.0767,0.0056,True,True,True,True,True,True,True,True,False
SANDUSDT,836965,308,2021-06-15,2026-03-24,0.2839,0.0801,True,True,True,True,True,True,True,True,False
SKLUSDT,814465,308,2021-06-15,2026-03-24,0.3139,0.0063,True,True,True,True,True,True,True,True,False
SNXUSDT,836965,308,2021-06-15,2026-03-24,10.075,0.297,True,True,True,True,True,True,True,True,False
STORJUSDT,806965,308,2021-06-15,2026-03-24,0.9676,0.1021,True,True,True,True,True,True,True,True,False
SUSHIUSDT,791965,308,2021-06-15,2026-03-24,9.2654,0.1968,True,True,True,True,True,True,True,True,False
SXPUSDT,836965,308,2021-06-15,2026-03-24,2.0765,0.0656,True,True,True,True,True,True,True,True,False
THETAUSDT,836965,308,2021-06-15,2026-03-24,9.0496,0.1614,True,True,True,True,True,True,True,True,False
TRXUSDT,7615,308,2026-03-10,2026-03-26,0.2854,0.3102,True,True,True,True,True,True,True,True,False
VETUSDT,836965,308,2021-06-15,2026-03-24,0.1132,0.0071,True,True,True,True,True,True,True,True,False
XLMUSDT,836965,308,2021-06-15,2026-03-24,0.343,0.1663,True,True,True,True,True,True,True,True,False
XMRUSDT,836965,308,2021-06-15,2026-03-24,275.31,340.52,True,True,True,True,True,True,True,True,False
XTZUSDT,724460,308,2021-06-15,2026-03-24,3.3526,0.396,True,True,True,True,True,True,True,True,False
YFIUSDT,836965,308,2021-06-15,2026-03-24,39417.0,2580.0,True,True,True,True,True,True,True,True,False
ZENUSDT,836960,308,2021-06-15,2026-03-24,84.5896,5.648,True,True,True,True,True,True,True,True,False
