REASON,COUNT,PCT,ASSESSMENT
SEED_POSITION,2,5.4%,NOT A REAL TRADE — artificial seeding
QUICK_MAX_GAIN_3PCT_AUGMENT_3.10%,2,5.4%,Augments at 3% gain threshold
QUICK_BLOWPAST_g1.4%_wt=2/3_k_run=18%,2,5.4%,Augments existing position on momentum
QUICK_BLOWPAST_g1.7%_wt=2/3_k_run=35%,2,5.4%,Augments existing position on momentum
QUICK_BLOWPAST_g1.2%_wt=2/3_k_run=14%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.3%_wt=2/3_k_run=14%,1,2.7%,Augments existing position on momentum
K3M_BOUNCE_TURN_L_k3:91.7<prev:92.0_k15:34.4_k1h:85.6_lo3:1.,1,2.7%,Only real close signal that worked
QUICK_OPEN_BUY_k1:93/d194/k3:93.33333587646484/d3:94.4445114,1,2.7%,Entry signal — but may be augment on seeded pos
OS_HIGHER_LOW_k15:9.0_lo3:1.80>prev:1.80_QWH,1,2.7%,Structure-based entry
QUICK_OPEN_SELL_k1:18/d140/k3:18.18172264099121/d3:40.808006,1,2.7%,Entry signal — but may be augment on seeded pos
QUICK_TECH_SIGNAL_ha_red_15m,1,2.7%,Technical signal entry/augment
QUICK_BLOWPAST_g1.4%_wt=3/3_k_run=18%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.5%_wt=2/3_k_run=22%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.1%_wt=2/3_k_run=22%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.8%_wt=2/3_k_run=43%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.7%_wt=2/3_k_run=28%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.1%_wt=2/3_k_run=38%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.2%_wt=2/3_k_run=46%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g2.1%_wt=2/3_k_run=20%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.8%_wt=2/3_k_run=31%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g2.0%_wt=2/3_k_run=20%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.9%_wt=2/3_k_run=19%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.4%_wt=2/3_k_run=59%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.4%_wt=2/3_k_run=49%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g0.9%_wt=2/3_k_run=3%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.2%_wt=2/3_k_run=6%,1,2.7%,Augments existing position on momentum
QUICK_BLOWPAST_g1.1%_wt=2/3_k_run=12%,1,2.7%,Augments existing position on momentum
QUICK_MAX_GAIN_3PCT_AUGMENT_3.08%,1,2.7%,Augments at 3% gain threshold
QUICK_MAX_GAIN_3PCT_AUGMENT_3.13%,1,2.7%,Augments at 3% gain threshold
QUICK_BLOWPAST_g2.9%_wt=2/3_k_run=6%,1,2.7%,Augments existing position on momentum
QUICK_MAX_GAIN_3PCT_AUGMENT_3.05%,1,2.7%,Augments at 3% gain threshold
QUICK_MAX_GAIN_3PCT_AUGMENT_3.17%,1,2.7%,Augments at 3% gain threshold
QUICK_BLOWPAST_g1.7%_wt=2/3_k_run=29%,1,2.7%,Augments existing position on momentum
