strategy,trades,win_rate,avg_pnl,total_pnl,profit_factor,avg_hold_bars,max_drawdown,sharpe,long_wr,short_wr,longs,shorts
structure_break_3m_only_SL2_TP1,27156,40.58,0.0375,1017.45,1.221,5.1,-76.38,1.493,38.3,42.9,13717,13439
structure_break_3m+15m_confirm_SL2_TP1,11694,43.83,0.0760,888.38,1.549,4.8,-26.21,3.206,42.0,45.6,5801,5893
structure_break_3m+15m+1m_wide_SL3_TP15,7230,42.14,0.0687,496.93,1.480,5.0,-18.11,2.657,42.8,39.7,5608,1622
structure_break_3m+15m+1m_confirm_SL2_TP1,6263,40.20,0.0459,287.69,1.310,4.8,-17.89,1.961,40.5,39.1,4852,1411
combined_3m+15m_confirm_SL2_TP1,12611,42.91,0.0159,200.38,1.132,2.5,-38.57,0.878,41.7,44.1,6230,6381
structure_break_3m+15m+1m_tight_SL1_TP05,5462,39.91,0.0218,119.03,1.143,4.2,-14.40,1.050,39.6,41.1,4216,1246
combined_3m+15m+1m_wide_SL3_TP15,7662,40.62,0.0025,19.51,1.020,2.7,-42.17,0.132,42.0,35.9,5936,1726
structure_break_1m+3m_confirm_SL15_TP08,4587,33.07,-0.0168,-76.84,0.837,4.9,-78.92,-1.287,29.5,37.9,2631,1956
combined_3m+15m+1m_confirm_SL2_TP1,6600,38.61,-0.0151,-99.40,0.886,2.5,-99.68,-0.850,39.8,34.5,5116,1484
combined_3m+15m+1m_tight_SL1_TP05,5690,37.28,-0.0242,-137.92,0.821,2.3,-141.24,-1.449,38.1,34.4,4404,1286
combined_1m+3m_confirm_SL15_TP08,4898,31.65,-0.0338,-165.47,0.625,2.8,-165.37,-3.457,28.6,35.6,2796,2102
k_crossover_3m+15m+1m_wide_SL3_TP15,7623,37.89,-0.0333,-253.90,0.789,3.2,-254.21,-1.604,39.2,33.4,5906,1717
k_crossover_3m+15m_confirm_SL2_TP1,12434,40.19,-0.0206,-255.63,0.866,3.0,-259.47,-1.041,38.3,42.0,6138,6296
k_crossover_1m+3m_confirm_SL15_TP08,4808,28.35,-0.0597,-287.07,0.476,3.4,-286.97,-5.538,25.6,32.0,2757,2051
k_crossover_3m+15m+1m_tight_SL1_TP05,5676,35.87,-0.0515,-292.23,0.684,2.7,-292.36,-2.813,36.7,33.2,4391,1285
k_crossover_3m+15m+1m_confirm_SL2_TP1,6576,36.15,-0.0497,-326.67,0.694,3.0,-326.69,-2.577,37.3,32.3,5097,1479
combined_3m_only_SL2_TP1,31037,38.57,-0.0211,-655.69,0.852,2.7,-660.66,-1.144,37.1,40.1,15559,15478
k_crossover_3m_only_SL2_TP1,29934,34.66,-0.0743,-2223.17,0.609,3.2,-2224.74,-3.619,33.0,36.3,15014,14920
