test_name,total_trades,opens,closes,realized_pnl,wins,losses,win_rate,ibs_exits,wt_exits,avg_gain_win,avg_gain_loss
full_ALL_trb_20260331_050128,166,85,81,-56.63,69,12,85.2,64,17,0.253,-2.253
full_ALL_trb_20260331_050203,133,68,65,42.38,53,12,81.5,0,0,0.132,-0.005
full_ALL_trb_20260331_050242,33,18,15,-11.46,13,2,86.7,11,4,0.342,-3.205
full_ALL_trb_20260331_050508,2,1,1,18.38,1,0,100.0,1,0,3.063,0
full_ALL_trb_20260331_050655,5,3,2,36.41,2,0,100.0,2,0,3.034,0
full_ALL_trb_20260331_051059,34,19,15,-2.71,13,2,86.7,11,4,0.352,-2.538
full_ALL_trb_20260331_051320,133,69,64,-59.6,56,8,87.5,53,11,0.224,-2.824
full_ALL_trb_20260331_051321,133,69,64,-59.04,57,7,89.1,53,11,0.229,-3.29
full_ALL_trb_20260331_051755,34,18,16,-11.39,13,3,81.2,11,5,0.343,-2.137
full_ALL_trb_20260331_052033,100,50,50,51.85,48,2,96.0,0,0,0.202,-0.002
full_ALL_trb_20260331_052034,100,51,49,15.15,47,2,95.9,0,0,0.052,-0.003
full_ALL_trb_20260331_052035,34,17,17,13.71,17,0,100.0,0,0,0.11,0
full_ALL_trb_20260331_052100,33,18,15,-14.93,12,3,80.0,10,5,0.323,-2.137
full_ALL_trb_20260331_052311,128,64,64,57.11,58,6,90.6,0,0,0.165,-0.006
full_ALL_trb_20260331_052312,238,120,118,63.1,74,44,62.7,0,0,0.14,-0.004
full_ALL_trb_20260331_052313,34,17,17,8.96,14,3,82.4,0,0,0.108,-0.005
full_ALL_trb_20260331_052339,334,169,165,173.18,115,50,69.7,92,73,0.476,-0.537
full_ALL_trb_20260331_052340,334,170,164,85.67,110,54,67.1,67,97,0.307,-0.364
