strategy,timeframe,trades,win_rate,avg_pnl,total_pnl,profit_factor,avg_hold,max_dd,sharpe,long_wr,short_wr,gap_trades,gap_wr,gap_avg_pnl
structure_15m+1h_confirm,15m,3415,56.54,0.3275,1118.41,2.533,4.2,-10.66,4.454,55.4,59.3,122,44.3,0.2426
gap_structure_15m+1h_gap_fill,15m,3451,56.22,0.3116,1075.50,2.462,4.1,-12.80,4.313,55.1,58.9,153,42.5,0.0806
structure_1m+5m_confirm,1m,13403,55.20,0.0732,980.87,2.433,4.7,-9.52,3.769,53.7,56.7,173,39.3,0.0534
structure_5m+15m_confirm,5m,6534,56.08,0.1391,908.93,2.167,4.1,-8.44,3.705,55.4,56.8,184,53.3,0.0866
structure_5m_only,5m,15673,54.87,0.1594,2498.64,2.144,4.8,-28.65,3.427,53.3,56.4,386,52.6,0.1882
structure_15m_only,15m,7129,54.82,0.2991,2132.33,2.120,4.6,-15.75,3.506,54.7,54.9,309,46.0,0.0979
structure_D_only,D,8561,56.22,1.3480,11540.42,2.002,3.5,-130.54,1.811,57.9,54.4,2073,55.3,1.2021
structure_D_tight_SL3_TP2,D,9376,60.04,1.1053,10363.20,1.928,2.4,-150.25,1.585,61.3,58.7,2287,58.6,0.9035
gap_structure_D_gap_fill,D,9658,54.14,1.0977,10601.35,1.863,2.9,-130.54,1.564,55.4,52.8,3058,51.0,0.7713
structure_1h_only,1h,2011,52.36,0.3847,773.60,1.379,6.7,-93.52,1.714,51.9,52.7,234,51.7,0.8408
structure_4h_only,4h,7337,46.76,0.3192,2342.23,1.206,5.1,-185.47,1.012,49.9,43.5,1920,48.4,0.6582
structure_4h+D_confirm,4h,3097,44.30,0.1723,533.67,1.118,4.4,-255.43,0.567,46.7,41.6,791,42.6,0.2530
structure_1h+4h_confirm,1h,747,48.46,-0.1827,-136.50,0.848,5.5,-189.86,-0.846,46.3,50.2,87,34.5,-0.9302
gap_structure_1h+4h_gap_fill,1h,764,47.77,-0.2004,-153.07,0.829,5.4,-202.59,-0.954,46.1,49.2,102,36.3,-0.8039
