=== EXIT REASONS COMPARISON ===
Reason,LIVE_trades,LIVE_PnL,LIVE_WR%,BT_trades,BT_PnL,BT_WR%,MATCH?
ALGO,12,$0.00,0%,0,$0.00,0%,MISSING_BT 
DT,967,$0.00,0%,0,$0.00,0%,MISSING_BT 
EOD,12,$0.00,0%,0,$0.00,0%,MISSING_BT 
Extreme,13,$0.00,0%,0,$0.00,0%,MISSING_BT 
HARD,314,$0.00,0%,0,$0.00,0%,MISSING_BT 
IBS,117,$0.00,0%,1,$44.85,100%,YES 
K5M,139,$0.00,0%,0,$0.00,0%,MISSING_BT 
Market,223,$0.00,0%,0,$0.00,0%,MISSING_BT 
NOLOSS,0,$0.00,0%,255,$131.66,87%,MISSING_LIVE 
Overbought,1,$0.00,0%,0,$0.00,0%,MISSING_BT 
QUICK,5,$0.00,0%,0,$0.00,0%,MISSING_BT 
SENTIMENT,3738,$0.00,0%,0,$0.00,0%,MISSING_BT 
STRUCT,330,$0.00,0%,0,$0.00,0%,MISSING_BT 
Sentiment,67,$0.00,0%,0,$0.00,0%,MISSING_BT 
Structure,120,$0.00,0%,0,$0.00,0%,MISSING_BT 
Technical,11,$0.00,0%,0,$0.00,0%,MISSING_BT 
WT,104,$0.00,0%,0,$0.00,0%,MISSING_BT 

=== ENTRY REASONS COMPARISON ===
Reason,LIVE_count,BT_count,MATCH?
CONNORS,1,0,MISSING_BT
DC,51,0,MISSING_BT
Fast,1,66,YES
GAP,2,0,MISSING_BT
LONG,17,17,YES
REENTRY,70,0,MISSING_BT
ROTATION,3,0,MISSING_BT
SCALP,22,0,MISSING_BT
SHORT,6,176,YES
SNIPER,9,5,YES
WT,22,0,MISSING_BT

=== PER-SYMBOL COMPARISON (top 20) ===
Symbol,LIVE_trades,LIVE_PnL,BT_trades,BT_PnL,SIGN_MATCH?
SNDK,187,$0.00,0,$0.00,NO_BT_DATA
NFLX,92,$0.00,0,$0.00,NO_BT_DATA
WDAY,4,$0.00,2,$4.70,YES
SNOW,1,$0.00,0,$0.00,NO_BT_DATA
SCHW,2,$0.00,0,$0.00,NO_BT_DATA
AVGO,2,$0.00,0,$0.00,NO_BT_DATA
V,0,$0.00,3,$0.03,YES
ASTS,222,$0.00,0,$0.00,NO_BT_DATA
LRCX,5,$0.00,0,$0.00,NO_BT_DATA
T,0,$0.00,13,$3.07,YES
ADP,4,$0.00,0,$0.00,NO_BT_DATA
TMO,0,$0.00,21,$29.98,YES
GM,1,$0.00,0,$0.00,NO_BT_DATA
FDX,1,$0.00,0,$0.00,NO_BT_DATA
HD,1,$0.00,0,$0.00,NO_BT_DATA
INOD,1,$0.00,0,$0.00,NO_BT_DATA
APO,5,$0.00,0,$0.00,NO_BT_DATA
STZ,76,$0.00,7,$1.32,YES
MU,131,$0.00,0,$0.00,NO_BT_DATA
GLD,273,$0.00,0,$0.00,NO_BT_DATA
LYFT,3,$0.00,0,$0.00,NO_BT_DATA
BA,30,$0.00,0,$0.00,NO_BT_DATA
XOM,346,$0.00,4,$0.42,YES
ROKU,0,$0.00,5,$2.17,YES
RTX,2,$0.00,5,$1.00,YES
TSLA,0,$0.00,8,$47.09,YES
NKE,24,$0.00,0,$0.00,NO_BT_DATA
QLYS,0,$0.00,20,$6.86,YES
DHR,2,$0.00,0,$0.00,NO_BT_DATA
MSFT,677,$0.00,0,$0.00,NO_BT_DATA

=== SUMMARY ===
,LIVE,BACKTEST
Total closes,6173,256
Total PnL,$0.00,$176.51
Exit types,16,2
Missing in BT,"Sentiment, STRUCT, Market, K5M, HARD, SENTIMENT, Structure, WT, QUICK, EOD, Technical, DT, ALGO, Extreme, Overbought"
