path,rule,entry_bars,gain_pct,bh_pct,delta,tim_pct,dd_pct,trades,wr,sharpe,source
B02,GR_1h,127,139.70,673.53,-533.83,91.82,11.51,244,98.8,0.238,trade-return-list
B02,GR_4h,120,142.59,673.53,-530.94,96.78,11.42,254,98.0,0.237,trade-return-list
B02,GR_D,448,146.11,673.53,-527.42,96.83,11.24,254,98.8,0.243,trade-return-list
B02,GR_W,789,143.40,673.53,-530.13,95.96,11.39,252,98.8,0.239,trade-return-list
B02,WT_CROSS_15m,230,146.11,673.53,-527.42,96.83,11.24,254,98.8,0.243,trade-return-list
B04,GR_1h,20,205.14,673.53,-468.39,78.06,7.74,268,98.9,0.146,trade-return-list
B04,GR_4h,21,205.14,673.53,-468.39,78.06,7.74,268,98.9,0.146,trade-return-list
B04,GR_D,13,148.48,673.53,-525.05,62.27,11.04,259,98.8,0.248,trade-return-list
B04,GR_W,17,152.60,673.53,-520.93,63.12,10.90,272,98.9,0.248,trade-return-list
B10,GR_1h,669,143.79,673.53,-529.74,97.52,11.38,248,98.8,0.241,trade-return-list
B10,GR_4h,759,146.54,673.53,-526.99,97.94,11.23,253,98.8,0.244,trade-return-list
B10,GR_D,740,141.39,673.53,-532.14,97.44,11.46,246,98.8,0.239,trade-return-list
B10,GR_W,876,144.83,673.53,-528.70,95.85,11.39,256,98.8,0.238,trade-return-list
B11,GR_1h,8884,144.14,673.53,-529.38,98.08,11.37,249,98.8,0.242,trade-return-list
B11,GR_4h,14489,145.69,673.53,-527.84,97.96,11.27,253,98.8,0.243,trade-return-list
B11,GR_D,15472,142.14,673.53,-531.39,97.44,11.42,246,98.8,0.240,trade-return-list
B11,GR_W,18760,142.79,673.53,-530.74,95.99,11.47,250,98.8,0.238,trade-return-list
B11,WT_CROSS_15m,1402,146.40,673.53,-527.13,98.05,11.26,255,98.4,0.243,trade-return-list
B12,GR_1h,7541,145.68,673.53,-527.85,97.90,11.28,252,98.8,0.243,trade-return-list
B12,GR_4h,4985,145.68,673.53,-527.85,97.90,11.28,252,98.8,0.243,trade-return-list
