combination,side,asset_class,symbol,trades,pool_sharpe,win_rate,max_dd_pct,acc_gain_pct,avg_gain_trade,n_years,bh_pct
baseline,LONG,crypto,1000BONKUSDC,926,0.3000,59.61,15.26,215.55,0.2328,0.11,-73.91
baseline,LONG,crypto,1000FLOKIUSDT,837,0.4675,60.33,2.35,177.14,0.2116,0.10,-7.27
baseline,LONG,crypto,1000LUNCUSDT,842,0.5737,65.80,3.18,515.71,0.6125,0.10,92.99
baseline,LONG,crypto,1000PEPEUSDC,861,0.4630,59.58,1.28,165.60,0.1923,0.10,-4.60
baseline,LONG,crypto,1000SHIBUSDC,846,0.4133,56.38,1.32,103.23,0.1220,0.10,-8.63
baseline,LONG,crypto,1INCHUSDT,46335,0.3784,62.33,9.33,16901.02,0.3648,5.38,-96.67
baseline,LONG,crypto,AAVEUSDC,860,0.4285,56.86,1.29,157.02,0.1826,0.10,-2.01
baseline,LONG,crypto,ACEUSDT,588,-0.0612,25.68,162.46,-151.73,-0.2580,0.04,-99.02
baseline,LONG,crypto,ADAUSDC,10556,0.4197,60.27,3.79,2606.10,0.2469,1.22,-74.99
baseline,LONG,crypto,AIAUSDT,898,0.4647,62.47,2.41,543.47,0.6052,0.10,-12.08
baseline,LONG,crypto,ALGOUSDT,50334,0.4301,62.76,5.41,19437.67,0.3862,5.90,-55.04
baseline,LONG,crypto,ALTUSDT,828,0.2588,57.37,2.64,231.60,0.2797,0.10,-3.04
baseline,LONG,crypto,ANKRUSDT,44531,0.3944,62.46,5.98,17125.96,0.3846,5.21,-52.61
baseline,LONG,crypto,APEUSDT,850,0.2219,60.94,3.16,415.51,0.4888,0.10,32.68
baseline,LONG,crypto,API3USDT,853,0.2739,63.07,3.37,298.66,0.3501,0.10,6.43
baseline,LONG,crypto,ARBUSDC,836,0.4636,59.21,1.35,197.80,0.2366,0.10,-15.12
baseline,LONG,crypto,ARKMUSDT,848,0.4913,62.74,1.68,276.91,0.3265,0.10,8.86
baseline,LONG,crypto,ARPAUSDT,535,0.3685,59.07,1.03,91.71,0.1714,0.06,16.92
baseline,LONG,crypto,ARUSDT,807,0.4260,57.74,2.24,239.07,0.2962,0.09,0.23
baseline,LONG,crypto,ASTERUSDT,798,0.3987,57.52,1.01,119.89,0.1502,0.09,0.30
baseline,LONG,crypto,ATOMUSDT,49546,0.4405,62.32,7.26,18756.71,0.3786,5.79,-53.70
baseline,LONG,crypto,AVAXUSDC,18776,0.4404,60.59,4.88,5372.26,0.2861,2.18,-82.39
baseline,LONG,crypto,AWEUSDT,855,0.3436,55.67,2.04,180.57,0.2112,0.10,9.34
baseline,LONG,crypto,AXLUSDT,841,0.3864,60.64,2.23,303.68,0.3611,0.10,-1.83
baseline,LONG,crypto,AXSUSDT,45616,0.3902,62.37,5.92,19124.62,0.4193,5.34,128.61
baseline,LONG,crypto,B3USDT,204,0.3044,58.82,1.61,97.67,0.4788,0.10,-97.89
baseline,LONG,crypto,BANDUSDT,49025,0.4297,63.27,5.51,20774.46,0.4238,5.74,-93.83
baseline,LONG,crypto,BATUSDT,52768,0.4211,62.51,5.49,18641.87,0.3533,6.19,-65.10
baseline,LONG,crypto,BBUSDT,865,0.4156,58.27,2.64,378.19,0.4372,0.10,16.10
baseline,LONG,crypto,BCHUSDC,800,0.2350,48.75,1.92,65.75,0.0822,0.09,-25.40
baseline,LONG,crypto,BEATUSDT,900,0.4814,64.11,3.93,630.78,0.7009,0.10,88.35
baseline,LONG,crypto,BELUSDT,43455,0.4057,62.83,9.50,18123.37,0.4171,5.06,-89.49
baseline,LONG,crypto,BIOUSDC,837,0.4246,59.14,2.96,514.42,0.6146,0.10,23.12
