symbol_side,winning_tag,vectorized_sharpe,vectorized_trades,vectorized_gain_pct,sample_tag,cycle_id,ppl_enabled,ppl_gain_pct,ppl_arm_gain_pct,ppl_be_buffer_pct,ppl_frac,wt_3m_force_open,long_enabled,short_enabled,dc_long_enabled,dc_short_enabled,settings_stamp,raw_returns_count
1000BONKUSDC_LONG,vectorized_opt_1000BONKUSDC_1779680209,0.28201958537101746,161.0,,,,False,,,,,False,False,,,,,0
1000BONKUSDC_SHORT,vectorized_opt_1000BONKUSDC_1779680209,,,,,,False,,,,,False,,,,,,0
1000FLOKIUSDT_LONG,vectorized_opt_1000FLOKIUSDT_1779680216,0.24431747198104858,195.0,,,,False,,,,,False,True,,,,,0
1000FLOKIUSDT_SHORT,vectorized_opt_1000FLOKIUSDT_1779680216,,,,,,False,,,,,False,,,,,,0
1000LUNCUSDT_LONG,fotest_baseline_1000LUNCUSDT_LONG_2026-07-08,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,True,,,,,0
1000LUNCUSDT_SHORT,vectorized_opt_1000LUNCUSDT_1779680228,0.2385532557964325,235.0,,,,False,,,,,False,,,,,,0
1000PEPEUSDC_LONG,vectorized_opt_1000PEPEUSDC_1779680240,0.2912224531173706,156.0,,,,False,,,,,False,,,,,,0
1000PEPEUSDC_SHORT,fotest_baseline_1000PEPEUSDC_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
1000SHIBUSDC_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,True,,,,0
1INCHUSDT_LONG,vectorized_opt_1INCHUSDT_1779681479,0.2721405625343323,1528.0,,,,False,,,,,False,True,,,,,0
1INCHUSDT_SHORT,vectorized_opt_1INCHUSDT_1779681479,0.2721405625343323,1528.0,,,,False,,,,,False,,True,,,,0
1MBABYDOGEUSDT_SHORT,N/A,,0.0,,NO_TRADES,,False,,,,,False,,True,,,,0
AAPL_LONG,N/A,,,,,,False,,,,,False,,,,,,0
AAPL_SHORT,N/A,,,,,,False,,,,,False,,,,,,0
AAVEUSDC_LONG,fotest_baseline_AAVEUSDC_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,False,,,,,0
ABT_LONG,RULE_A_on_LONG,,,,,,False,,,,,False,True,False,True,False,,8
ABT_SHORT,R1R2_strict_SHORT,,,,,,False,,,,,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,36
ACEUSDT_LONG,vectorized_opt_ACEUSDT_1779681486,0.15443123877048492,151.0,,,,False,,,,,False,,,,,,0
ACEUSDT_SHORT,vectorized_opt_ACEUSDT_1779681486,0.15443123877048492,0.0,,NO_TRADES,,False,,,,,False,,False,,,,0
ACN_SHORT,NOLOSS_WT5of5_SHORT,,,,NO_TRADES,,False,,,,,False,False,False,False,True,,25
ACTUSDT_SHORT,fotest_baseline_ACTUSDT_SHORT_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
ADAUSDC_LONG,vectorized_opt_ADAUSDC_1779682753,0.3119770288467407,1470.0,,,,False,,,,,False,True,,,,,0
ADAUSDC_SHORT,vectorized_opt_ADAUSDC_1779682753,,,,,,False,,,,,False,,,,,,0
ADBE_SHORT,RULE_A_on_SHORT,,,,,,False,,,,,False,False,True,False,True,,11
AEM_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,True,,,,0
AGCO_SHORT,R1R2_strict_SHORT,,,,,,False,,,,,False,False,False,False,False,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,10
AGI_SHORT,PPL_v2_tight_SHORT,,,,,,True,0.3,0.5,0.02,0.625,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,52
AGLDUSDT_SHORT,fotest_baseline_AGLDUSDT_SHORT_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
AG_SHORT,R1R2_strict_SHORT,,,,,,False,,,,,False,False,False,False,False,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,56
AIAUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
