account,symbol,side,open_ts,close_ts,held_min,actual_pnl,mfe_15m,mfe_30m,mfe_1h,mfe_2h,mfe_4h,ttp_4h_min,scalp_n,scalp_pnl,scalp_wr,reason_prefix,full_reason
inf,ACEUSDT,SHORT,2026-04-10T04:28:43+00:00,2026-04-10T04:42:16+00:00,13.6,0.0,,0.4599,0.4599,0.7117,1.2992,212,3,1.5149,100.0,QUICK_HEDGE_ELECTED,QUICK_HEDGE_ELECTED_SAHARAUSDT_LONG
inf,ACEUSDT,SHORT,2026-04-10T05:04:26+00:00,2026-04-10T05:20:25+00:00,16.0,-0.0,,-0.1017,0.4021,0.738,1.3259,204,3,1.6031,100.0,DELTA_EXIT_DELTA,DELTA_EXIT_DELTA_EXIT_speed_decay_tfs_lost=DEAD|DECEL|PEAK|TFLOST|MFI cur=0.00 max=15.54 mfi3m=45 mfi15m=40_gain=0.44%_MANDATORY_REENTRY
inf,ACEUSDT,SHORT,2026-04-10T05:20:47+00:00,2026-04-10T05:36:31+00:00,15.7,0.0,,-0.5063,0.1688,0.2532,0.8439,188,3,1.6031,100.0,DELTA_EXIT_DELTA,DELTA_EXIT_DELTA_EXIT_speed_decay_tfs_lost=DEAD|PEAK|OPP|TFLOST|MFI cur=0.49 max=15.54 mfi3m=61 mfi15m=40_gain=-0.43%_MANDATORY_REENTRY
inf,ACEUSDT,SHORT,2026-04-10T06:53:09+00:00,2026-04-10T07:01:16+00:00,8.1,-0.0,,0.1689,0.3378,0.7601,0.7601,103,2,1.0157,100.0,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_DELTA_DECEL_wt3m=-61.1/-40.4_wt15m=-12.5/-5.1_g0.3
inf,ACTUSDT,SHORT,2026-03-28T22:50:18+00:00,2026-04-02T11:12:52+00:00,6502.6,4.624,,4.3738,4.9574,5.0408,5.0408,107,2,-0.8783,50.0,QUICK_REDUCE_STRONG,QUICK_REDUCE_STRONG_REDUCE_k_1m:16/d_1m:18/k_3m:25/d_3m:29_SIMPLE_TP_0.00%_wt=declining_bc112_REDUCE
inf,AIAUSDT,LONG,2026-04-03T08:08:19+00:00,2026-04-04T10:13:28+00:00,1565.2,0.0,,1.6639,2.7275,2.7275,5.7077,226,5,1.9734,80.0,QUICK_REDUCE_STRONG,QUICK_REDUCE_STRONG_REDUCE_k_1m:100/d_1m:100/k_3m:100/d_3m:100_SIMPLE_TP_0.00%_wt=declining_bc112_REDUCE
inf,AIAUSDT,LONG,2026-04-04T10:58:08+00:00,2026-04-04T11:43:50+00:00,45.7,0.0,,-0.1456,-0.0328,2.121,11.649,226,6,2.9252,66.7,QUICK_HEDGE_CLEANUP,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
inf,AIAUSDT,SHORT,2026-04-04T05:02:17+00:00,2026-04-04T05:51:25+00:00,49.1,0.0,,0.2549,0.2549,0.2549,0.2549,23,5,0.5946,60.0,QUICK_HEDGE_SAME,QUICK_HEDGE_SAME_SYM_LAST_RESORT
inf,AIUSDT,LONG,2026-04-04T15:21:00+00:00,2026-04-04T15:24:48+00:00,3.8,0.0,,0.0571,0.3218,0.3218,0.7982,215,1,0.7407,100.0,HEDGE_PROTECT_SHORT,HEDGE_PROTECT_SHORT_LOSS
inf,AIUSDT,SHORT,2026-04-04T13:31:23+00:00,2026-04-04T13:35:48+00:00,4.4,0.0,,1.647,1.647,1.647,1.647,24,5,-0.0654,60.0,SUBSTITUTION_FOR_inf:AIUSDT,SUBSTITUTION_FOR_inf:AIUSDT_SHORT_g-43.33
inf,AIUSDT,SHORT,2026-04-04T15:17:27+00:00,2026-04-04T15:52:18+00:00,34.9,0.0,,-0.163,0.2606,0.2606,0.2606,52,4,-0.5847,50.0,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.01_main=-0.08_wt3m=23.9/18.8_wt15m=14.4/-1.6
inf,ALGOUSDT,SHORT,2026-03-17T09:52:37+00:00,2026-03-17T10:05:38+00:00,13.0,0.0961,0.0646,0.2532,0.2532,0.2532,1.301,186,0,0.0,0,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
inf,ALTUSDT,LONG,2026-04-08T13:29:46+00:00,2026-04-08T13:31:28+00:00,1.7,-0.173,,-0.5128,-0.5128,-0.5128,-0.5128,28,4,-1.2142,50.0,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_wt1=2.6_wt2=9.8
inf,ANKRUSDT,SHORT,2026-03-18T11:09:32+00:00,2026-03-18T12:57:13+00:00,107.7,2.5763,2.9314,4.5446,5.2121,5.7313,7.4928,239,16,3.2124,81.2,Manual/System Detection,Manual/System Detection
inf,ANKRUSDT,SHORT,2026-03-18T15:16:41+00:00,2026-03-18T16:58:32+00:00,101.8,0.0,0.6202,0.6202,0.6202,0.6202,0.6202,1,10,-2.4709,30.0,Manual/System Detection,Manual/System Detection
inf,ARBUSDC,LONG,2026-04-04T16:04:52+00:00,2026-04-04T16:38:57+00:00,34.1,0.1079,,0.1079,0.6472,0.6472,0.863,141,3,0.8692,66.7,QUICK_HEDGE_SAME,QUICK_HEDGE_SAME_SYM_LAST_RESORT
inf,ARBUSDC,LONG,2026-04-04T21:17:56+00:00,2026-04-04T23:01:32+00:00,103.6,-0.0,,-0.3196,-0.2118,-0.2118,-0.2118,43,1,-0.6486,0.0,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.00_main=-0.20_wt3m=-12.8/-7.7_wt15m=-13.7/-13.2
inf,ARBUSDC,LONG,2026-04-14T17:11:00+00:00,2026-04-14T17:17:07+00:00,6.1,0.1342,,0.1302,0.1302,0.1302,0.1302,12,3,-1.9837,0.0,QUICK_HEDGE_WT,QUICK_HEDGE_WT_KILL_DELTA_DECEL_wt3m=62.6/41.5_wt15m=13.9/2.2_g0.3
inf,ARPAUSDT,LONG,2026-04-04T21:05:39+00:00,2026-04-04T21:09:06+00:00,3.5,0.141,,-0.1085,-0.1085,-0.1085,-0.1085,5,3,-0.7605,33.3,HEDGE_CLEANUP_R6,HEDGE_CLEANUP_R6_main_recovered_gain=0.25_main=gone_wt3m=3.4/-1.0_wt15m=-2.6/-6.2
inf,ASTERUSDT,LONG,2026-03-29T03:25:01+00:00,2026-03-29T04:40:53+00:00,75.9,-0.0,,,,,-0.1712,214,0,0.0,0.0,QUICK_HEDGE_CLEANUP,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
inf,AVAUSDT,SHORT,2026-03-22T06:59:09+00:00,2026-03-22T12:30:26+00:00,331.3,1.4313,,1.0197,1.4983,1.7376,2.2162,239,2,1.1153,100.0,Manual/System Detection,Manual/System Detection
inf,AXSUSDT,SHORT,2026-03-17T07:28:46+00:00,2026-03-17T08:21:44+00:00,53.0,-0.1215,0.0083,0.0407,0.0407,0.0407,0.0894,239,0,0.0,0,Manual/System Detection,Manual/System Detection
inf,AXSUSDT,SHORT,2026-03-17T10:22:17+00:00,2026-03-17T10:54:50+00:00,32.5,0.3152,-0.0077,-0.0077,0.2345,0.9609,1.1224,182,0,0.0,0,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
inf,AXSUSDT,SHORT,2026-03-19T21:51:09+00:00,2026-03-19T22:40:05+00:00,48.9,0.0,0.1268,0.1268,0.3269,0.3769,0.3769,61,0,0.0,0,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_STRICT_LOSS_-0.14%_REDUCE
