ts,pkey,sym,side,block_reason,px_at_block,gain_15m_pct,gain_1h_pct,gain_4h_pct,gain_D_pct
20:27:29,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05918,-0.69,-0.05,-0.05,-12.67
20:37:35,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05877,+0.03,+0.65,+0.65,-12.06
20:47:39,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05879,+0.02,+0.61,+0.61,-12.09
20:57:44,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05879,+0.02,+0.61,+0.61,-12.09
21:07:48,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.0588,+0.12,+0.60,+0.60,-12.11
21:17:53,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05887,+0.07,+0.48,+0.48,-12.21
21:27:58,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05887,+0.07,+0.48,+0.48,-12.21
21:38:04,fin:AIAUSDT_LONG,AIAUSDT,LONG,BLOCKED_ALREADY_AUGMENTED_fin:AIAUSDT_LONG,0.05891,+0.00,+0.41,+0.41,-12.27
20:27:29,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1241,-0.33,-0.52,+0.77,-1.30
20:37:35,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.117,-0.17,-0.19,+1.11,-0.97
20:47:39,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1135,-0.02,-0.02,+1.27,-0.80
20:57:44,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1135,-0.02,-0.02,+1.27,-0.80
21:07:48,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.113,+0.01,+0.00,+1.30,-0.78
21:17:53,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1133,-0.26,-0.01,+1.28,-0.79
21:27:58,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1133,-0.26,-0.01,+1.28,-0.79
21:38:04,fin:MORPHOUSDT_LONG,MORPHOUSDT,LONG,BLOCKED_NON_TRADEABLE_POSITION_KEY,2.1078,+0.00,+0.25,+1.55,-0.54
20:54:59,fin:SKYUSDT_LONG,SKYUSDT,LONG,fin:SKYUSDT_LONG_BLOCKED_DELTA_NO_SIGNAL_htf=4h_D,0.08186,+0.07,+0.15,-0.28,-2.30
20:56:02,fin:SKYUSDT_LONG,SKYUSDT,LONG,fin:SKYUSDT_LONG_BLOCKED_DELTA_NO_SIGNAL_htf=4h_D,0.08186,+0.07,+0.15,-0.28,-2.30
21:12:00,fin:SKYUSDT_LONG,SKYUSDT,LONG,fin:SKYUSDT_LONG_BLOCKED_DELTA_NO_SIGNAL_htf=4h_D,0.08192,+0.09,+0.07,-0.35,-2.37
21:14:58,fin:SKYUSDT_LONG,SKYUSDT,LONG,fin:SKYUSDT_LONG_BLOCKED_DELTA_NO_SIGNAL_htf=4h_D,0.08192,+0.09,+0.07,-0.35,-2.37
21:12:06,fin:ZROUSDT_LONG,ZROUSDT,LONG,fin:ZROUSDT_LONG_BLOCKED_ENTRY_VET_NO_STRUCT_OR_BREAKOUT,1.4519,+0.10,-0.19,+0.45,+2.90
21:12:35,fin:KSMUSDT_SHORT,KSMUSDT,SHORT,BLOCKED_NON_TRADEABLE_POSITION_KEY,5.926,-0.46,-0.27,+0.56,+4.39
21:12:35,fin:ORDIUSDC_SHORT,ORDIUSDC,SHORT,BLOCKED_NON_TRADEABLE_POSITION_KEY,5.576,+0.09,-0.59,+0.97,+7.80
21:12:39,fin:OPUSDT_SHORT,OPUSDT,SHORT,BLOCKED_NON_TRADEABLE_POSITION_KEY,0.1688,+0.65,-0.00,+3.32,+12.38
21:12:44,fin:FILUSDC_SHORT,FILUSDC,SHORT,BLOCKED_NON_TRADEABLE_POSITION_KEY,1.216,-1.48,-0.33,+0.90,+10.12
21:33:30,fin:AVAXUSDC_SHORT,AVAXUSDC,SHORT,BLOCKED_NON_TRADEABLE_POSITION_KEY,9.909,-0.00,+0.23,+0.01,+4.12
