symbol,side,episode,peak_move,close_type,mins_before_miss,close_price,close_reason
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,772,0.005355,OS_HIGHER_LOW_k15:0.8_lo3:0.01>prev:0.01
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,771,0.005371,Manual/System Detection
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,760,0.00538194,Manual/System Detection
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,716,0.005331,Manual/System Detection
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,665,0.00525415,Manual/System Detection
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,424,0.00502134,Manual/System Detection
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,3.508414391510998,REDUCE,400,0.00502134,Manual/System Detection
AXSUSDT,LONG,2026-03-18T10:30:00+00:00,3.3938424777618685,REDUCE,1415,1.235,Manual/System Detection
AXSUSDT,LONG,2026-03-23T11:15:00+00:00,4.557692254788774,REDUCE,1181,1.111,QUICK_CYCLE_TP_STOCH_AGAINST_1.93%_k15:86_k3:50
CHRUSDT,SHORT,2026-03-19T13:00:00+00:00,3.164551739097631,REDUCE,1189,0.01613557,Manual/System Detection
CHRUSDT,SHORT,2026-03-19T13:00:00+00:00,3.164551739097631,REDUCE,1182,0.01618006,Manual/System Detection
CHRUSDT,SHORT,2026-03-21T23:45:00+00:00,7.189542404090515,REDUCE,1155,0.01556975,QUICK_ACCOUNT_TP_inf_3.17%>=2.0%_tournament
CHRUSDT,SHORT,2026-03-21T23:45:00+00:00,7.189542404090515,REDUCE,791,0.01548418,QUICK_CYCLE_TP_STOCH_AGAINST_0.66%_k15:33_k3:50
CHRUSDT,SHORT,2026-03-21T23:45:00+00:00,7.189542404090515,REDUCE,774,0.0155,QUICK_CYCLE_TP_STOCH_AGAINST_0.66%_k15:33_k3:50
CHRUSDT,SHORT,2026-03-21T23:45:00+00:00,7.189542404090515,REDUCE,768,0.01543097,QUICK_CYCLE_TP_STOCH_AGAINST_0.66%_k15:33_k3:50
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,434,0.02485283,Manual/System Detection
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,433,0.02459,Manual/System Detection
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,305,0.0234,Manual/System Detection
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,305,0.0234,Manual/System Detection
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,303,0.02334499,Manual/System Detection
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,260,0.02308024,STOCH_CROSS_3M_EXIT_gain0.52_k94
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,REDUCE,227,0.02308,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1419,0.02713,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1416,0.02707,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1415,0.0268,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1412,0.02668,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1376,0.02650294,QUICK_GAIN_DECAY_CLOSE_peak14.60%_curr1.35%
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1371,0.02943,QUICK_ACCOUNT_TP_inf_9.41%>=8.0%_tournament
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1303,0.02624311,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1303,0.02623576,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1260,0.02580038,QUICK_ACCOUNT_TP_inf_11.96%>=8.0%_tournament
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1231,0.02608,QUICK_ACCOUNT_TP_inf_11.12%>=8.0%_tournament
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,1163,0.02586467,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,995,0.02586914,Manual/System Detection
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,5.044181586230252,REDUCE,958,0.02503255,Manual/System Detection
