symbol,side,open_ts,close_ts,held_min,avg_entry,exit_px,actual_pnl,pnl_+2h,pnl_+6h,pnl_+24h,reason_prefix,full_reason
1000BONKUSDC,LONG,2026-03-16T03:15:53+00:00,2026-03-16T23:20:14+00:00,1204.3,0.0063282913831032035,0.0061745,-2.4302,-9.5174,-9.5174,-9.5174,IN_GAIN_TREND,IN_GAIN_TREND_EXIT
1000BONKUSDC,SHORT,2026-03-15T19:56:31+00:00,2026-03-17T21:48:11+00:00,2991.7,0.006040154377366009,0.006718,-11.2223,5.2011,5.2011,5.2011,Manual/System Detection,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T07:04:45+00:00,2026-03-18T08:27:10+00:00,82.4,0.006656104999999999,0.006657,-0.0134,13.9737,13.9737,13.9737,Manual/System Detection,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T14:23:45+00:00,2026-03-18T14:33:02+00:00,9.3,0.006140839999999999,0.00614084,-0.0,6.7554,6.7554,6.7554,Manual/System Detection,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T14:35:32+00:00,2026-03-18T17:48:54+00:00,193.4,0.006099380000000001,0.00609938,0.0,6.1216,6.1216,6.1216,Manual/System Detection,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-19T12:55:11+00:00,2026-03-22T02:10:20+00:00,3675.2,0.005971316259541984,0.005762,3.5054,4.1082,4.1082,4.1082,QUICK_CYCLE_TP,QUICK_CYCLE_TP_STOCH_AGAINST_3.73%_k15:36_k3:50
1000LUNCUSDT,SHORT,2026-03-21T15:45:02+00:00,2026-03-22T12:34:16+00:00,1249.2,0.03850132591101696,0.03807,1.1203,5.4059,5.4059,5.4059,QUICK_SENTIMENT_CUT,QUICK_SENTIMENT_CUT_GAIN0.8_REDUCE
1000PEPEUSDC,LONG,2026-03-16T06:34:37+00:00,2026-03-17T22:34:36+00:00,2400.0,0.003941932000000002,0.003686,-6.4926,-14.9427,-14.9427,-14.9427,SUBSTITUTION_FOR_inf:PENGUUSDC,SUBSTITUTION_FOR_inf:PENGUUSDC_LONG_g0.00
1000PEPEUSDC,LONG,2026-03-18T03:07:28+00:00,2026-03-18T04:11:46+00:00,64.3,0.0037302999999999993,0.003788,1.5468,-10.1171,-10.1171,-10.1171,Manual/System Detection,Manual/System Detection
1000PEPEUSDC,LONG,2026-03-18T18:32:56+00:00,2026-03-18T21:36:58+00:00,184.0,0.0035053828169014085,0.00350358,-0.0514,-4.35,-4.35,-4.35,Manual/System Detection,Manual/System Detection
1000PEPEUSDC,SHORT,2026-03-21T22:20:47+00:00,2026-03-21T23:49:55+00:00,89.1,0.0034246,0.0033812,1.2673,2.0937,2.0937,2.0937,QUICK_HEDGE_ELECTED,QUICK_HEDGE_ELECTED_CHZUSDT_LONG
1000SHIBUSDC,LONG,2026-03-28T02:31:15+00:00,2026-03-28T02:34:37+00:00,3.4,0.00575544,0.00575533,-0.0019,4.0407,4.0407,4.0407,QUICK_AUTO_HEDGE,QUICK_AUTO_HEDGE_CLOSE_ORIG_RECOVERING
