symbol,side,open_ts,close_ts,held_min,entry_px,exit_px,pnl_pct,close_type,close_reason
1000BONKUSDC,LONG,2026-03-16T03:15:53+00:00,2026-03-16T23:20:14+00:00,1204.3,0.00632829,0.0061745,-2.430,CLOSE,IN_GAIN_TREND_EXIT
1000BONKUSDC,SHORT,2026-03-15T19:56:31+00:00,2026-03-17T21:48:11+00:00,2991.7,0.00604015,0.006718,-11.222,CLOSE,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T07:04:45+00:00,2026-03-18T08:27:10+00:00,82.4,0.0066561,0.006657,-0.013,CLOSE,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T14:23:45+00:00,2026-03-18T14:33:02+00:00,9.3,0.00614084,0.00614084,-0.000,CLOSE,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-18T14:35:32+00:00,2026-03-18T17:48:54+00:00,193.4,0.00609938,0.00609938,0.000,CLOSE,Manual/System Detection
1000BONKUSDC,SHORT,2026-03-19T12:55:11+00:00,2026-03-22T02:10:20+00:00,3675.2,0.00597132,0.005762,3.505,CLOSE,QUICK_CYCLE_TP_STOCH_AGAINST_3.73%_k15:36_k3:50
1000LUNCUSDT,SHORT,2026-03-21T15:45:02+00:00,2026-03-22T12:34:16+00:00,1249.2,0.0385013,0.03807,1.120,CLOSE,QUICK_SENTIMENT_CUT_GAIN0.8_REDUCE
1000PEPEUSDC,LONG,2026-03-16T06:34:37+00:00,2026-03-17T22:34:36+00:00,2400.0,0.00394193,0.003686,-6.493,CLOSE,SUBSTITUTION_FOR_inf:PENGUUSDC_LONG_g0.00
1000PEPEUSDC,LONG,2026-03-18T03:07:28+00:00,2026-03-18T04:11:46+00:00,64.3,0.0037303,0.003788,1.547,CLOSE,Manual/System Detection
1000PEPEUSDC,LONG,2026-03-18T18:32:56+00:00,2026-03-18T21:36:58+00:00,184.0,0.00350538,0.00350358,-0.051,CLOSE,Manual/System Detection
1000PEPEUSDC,SHORT,2026-03-21T22:20:47+00:00,2026-03-21T23:49:55+00:00,89.1,0.0034246,0.0033812,1.267,CLOSE,QUICK_HEDGE_ELECTED_CHZUSDT_LONG
1000SHIBUSDC,LONG,2026-03-28T02:31:15+00:00,2026-03-28T02:34:37+00:00,3.4,0.00575544,0.00575533,-0.002,CLOSE,QUICK_AUTO_HEDGE_CLOSE_ORIG_RECOVERING
1000SHIBUSDC,LONG,2026-03-28T17:27:45+00:00,2026-03-28T18:22:26+00:00,54.7,0.005942,0.00595261,0.179,CLOSE,QUICK_HEDGE_PREEMPTIVE_CLOSE_-0.219pct_age999m
1000SHIBUSDC,LONG,2026-03-28T18:22:59+00:00,2026-03-28T18:45:56+00:00,22.9,0.00594926,0.005951,0.029,CLOSE,QUICK_HEDGE_PROTECT_SHORT_LOSS
1INCHUSDT,LONG,2026-03-28T17:44:49+00:00,2026-03-28T19:12:11+00:00,87.4,0.0883,0.0883738,0.084,CLOSE,QUICK_HEDGE_PREEMPTIVE_CLOSE_0.000pct_age999m
1INCHUSDT,LONG,2026-04-06T05:34:23+00:00,2026-04-06T09:40:03+00:00,245.7,0.0906398,0.0908523,0.235,CLOSE,QUICK_BANDAID_OFF_wt15m_6.7>11.9_hgain0.29%
ACEUSDT,SHORT,2026-04-10T04:28:43+00:00,2026-04-10T04:42:16+00:00,13.6,0.119148,0.119148,0.000,CLOSE,QUICK_HEDGE_ELECTED_SAHARAUSDT_LONG
ACEUSDT,SHORT,2026-04-10T05:04:26+00:00,2026-04-10T05:20:25+00:00,16.0,0.119079,0.119079,-0.000,CLOSE,DELTA_EXIT_DELTA_EXIT_speed_decay_tfs_lost=DEAD|DECEL|PEAK|T
ACEUSDT,SHORT,2026-04-10T05:20:47+00:00,2026-04-10T05:36:31+00:00,15.7,0.1185,0.1185,0.000,CLOSE,DELTA_EXIT_DELTA_EXIT_speed_decay_tfs_lost=DEAD|PEAK|OPP|TFL
ACEUSDT,SHORT,2026-04-10T06:53:09+00:00,2026-04-10T07:01:16+00:00,8.1,0.1184,0.1184,-0.000,CLOSE,QUICK_HEDGE_WT_KILL_DELTA_DECEL_wt3m=-61.1/-40.4_wt15m=-12.5
ACTUSDT,SHORT,2026-03-28T22:50:18+00:00,2026-04-02T11:12:52+00:00,6502.6,0.0119946,0.01144,4.624,CLOSE,QUICK_REDUCE_STRONG_REDUCE_k_1m:16/d_1m:18/k_3m:25/d_3m:29_S
ADAUSDC,SHORT,2026-03-21T07:44:04+00:00,2026-03-21T09:08:06+00:00,84.0,0.26515,0.2654,-0.094,CLOSE,QUICK_HEDGE_ELECTED_ZROUSDT_LONG
AIAUSDT,LONG,2026-04-03T08:08:19+00:00,2026-04-04T10:13:28+00:00,1565.2,0.09496,0.09496,0.000,CLOSE,QUICK_REDUCE_STRONG_REDUCE_k_1m:100/d_1m:100/k_3m:100/d_3m:1
AIAUSDT,LONG,2026-04-04T10:58:08+00:00,2026-04-04T11:43:50+00:00,45.7,0.097502,0.097502,0.000,CLOSE,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
AIAUSDT,SHORT,2026-04-04T05:02:17+00:00,2026-04-04T05:51:25+00:00,49.1,0.09417,0.09417,0.000,CLOSE,QUICK_HEDGE_SAME_SYM_LAST_RESORT
AIUSDT,LONG,2026-04-04T15:21:00+00:00,2026-04-04T15:24:48+00:00,3.8,0.0188892,0.0188892,0.000,CLOSE,HEDGE_PROTECT_SHORT_LOSS
AIUSDT,SHORT,2026-04-04T13:31:23+00:00,2026-04-04T13:35:48+00:00,4.4,0.0188505,0.0188505,0.000,CLOSE,SUBSTITUTION_FOR_inf:AIUSDT_SHORT_g-43.33
AIUSDT,SHORT,2026-04-04T15:17:27+00:00,2026-04-04T15:52:18+00:00,34.9,0.0188892,0.0188892,0.000,CLOSE,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.01_main=-0.0
ALGOUSDT,SHORT,2026-03-17T09:52:37+00:00,2026-03-17T10:05:38+00:00,13.0,0.0954417,0.09535,0.096,CLOSE,Manual/System Detection
ALTUSDT,LONG,2026-04-08T13:29:46+00:00,2026-04-08T13:31:28+00:00,1.7,0.00676871,0.006757,-0.173,CLOSE,QUICK_HEDGE_WT_KILL_wt1=2.6_wt2=9.8
ALTUSDT,SHORT,2026-03-17T04:51:24+00:00,2026-03-17T05:24:44+00:00,33.3,0.00792,0.00792,0.000,CLOSE,Manual/System Detection
ALTUSDT,SHORT,2026-03-17T05:31:18+00:00,2026-03-17T05:45:24+00:00,14.1,0.00787502,0.00787502,0.000,CLOSE,Manual/System Detection
ANKRUSDT,SHORT,2026-03-18T11:09:32+00:00,2026-03-18T12:57:13+00:00,107.7,0.00539309,0.00525415,2.576,CLOSE,Manual/System Detection
ANKRUSDT,SHORT,2026-03-18T15:16:41+00:00,2026-03-18T16:58:32+00:00,101.8,0.00502134,0.00502134,0.000,CLOSE,Manual/System Detection
APEUSDT,SHORT,2026-03-18T14:36:03+00:00,2026-03-18T17:55:28+00:00,199.4,0.0965432,0.0965433,-0.000,CLOSE,Manual/System Detection
ARBUSDC,LONG,2026-04-04T16:04:52+00:00,2026-04-04T16:38:57+00:00,34.1,0.0927,0.0928,0.108,CLOSE,QUICK_HEDGE_SAME_SYM_LAST_RESORT
ARBUSDC,LONG,2026-04-04T21:17:56+00:00,2026-04-04T23:01:32+00:00,103.6,0.0927966,0.0927966,-0.000,CLOSE,HEDGE_CLEANUP_R6_all_tf_wt_against_hedge_gain=0.00_main=-0.2
ARBUSDC,LONG,2026-04-14T17:11:00+00:00,2026-04-14T17:17:07+00:00,6.1,0.111555,0.111704,0.134,CLOSE,QUICK_HEDGE_WT_KILL_DELTA_DECEL_wt3m=62.6/41.5_wt15m=13.9/2.
ARKMUSDT,SHORT,2026-03-18T11:33:15+00:00,2026-03-18T17:14:46+00:00,341.5,0.114104,0.113588,0.452,CLOSE,Manual/System Detection
ARPAUSDT,LONG,2026-04-04T21:05:39+00:00,2026-04-04T21:09:06+00:00,3.5,0.00922,0.009233,0.141,CLOSE,HEDGE_CLEANUP_R6_main_recovered_gain=0.25_main=gone_wt3m=3.4
ARUSDT,SHORT,2026-03-18T11:33:30+00:00,2026-03-18T12:24:27+00:00,51.0,1.83857,1.83857,0.000,CLOSE,Manual/System Detection
ASTERUSDT,LONG,2026-03-29T03:25:01+00:00,2026-03-29T04:40:53+00:00,75.9,0.659829,0.659829,-0.000,CLOSE,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
AVAUSDT,SHORT,2026-03-22T06:59:09+00:00,2026-03-22T12:30:26+00:00,331.3,0.20893,0.20594,1.431,CLOSE,Manual/System Detection
AVAXUSDC,SHORT,2026-03-18T11:31:41+00:00,2026-03-18T17:19:36+00:00,347.9,9.5994,9.54296,0.588,CLOSE,Manual/System Detection
AXLUSDT,SHORT,2026-03-17T10:22:01+00:00,2026-03-17T11:01:46+00:00,39.8,0.0580154,0.0580154,0.000,CLOSE,Manual/System Detection
AXLUSDT,SHORT,2026-03-18T17:50:11+00:00,2026-03-19T03:08:36+00:00,558.4,0.0533879,0.0535872,-0.373,CLOSE,Manual/System Detection
AXSUSDT,LONG,2026-03-28T02:26:34+00:00,2026-03-28T02:32:50+00:00,6.3,1.105,1.107,0.181,CLOSE,QUICK_HEDGE_MOMENTUM_FLIP_REDUCE
