symbol,side,episodes,captured,missed,capture_rate,max_move_pct,max_move_time
GTCUSDT,LONG,435,0,435,0.0,20.408167144200746,2026-03-12T02:06:00+00:00
GTCUSDT,SHORT,414,0,414,0.0,10.999999776482586,2026-03-18T17:00:00+00:00
CHRUSDT,SHORT,155,4,151,0.025806451612903226,7.189542404090515,2026-03-21T23:45:00+00:00
CHRUSDT,LONG,149,0,149,0.0,5.027934995555146,2026-03-18T05:15:00+00:00
SNXUSDT,SHORT,113,0,113,0.0,2.743903380873488,2026-03-09T19:30:00+00:00
KAVAUSDT,SHORT,98,2,96,0.02040816326530612,3.9156616704762994,2026-03-08T00:00:00+00:00
HOTUSDT,SHORT,93,0,93,0.0,4.771784307528702,2026-02-26T18:33:00+00:00
RSRUSDT,LONG,87,0,87,0.0,4.16666762909493,2026-03-23T11:03:00+00:00
HOTUSDT,LONG,82,0,82,0.0,9.803925065339172,2026-02-26T14:27:00+00:00
COTIUSDT,SHORT,81,1,80,0.012345679012345678,2.388289903064245,2026-03-15T02:39:00+00:00
ENJUSDT,SHORT,80,4,76,0.05,6.206901400966033,2026-03-18T09:09:00+00:00
COTIUSDT,LONG,79,0,79,0.0,3.2444974538942533,2026-03-23T11:15:00+00:00
KAVAUSDT,LONG,77,0,77,0.0,14.4268788089437,2026-03-02T06:54:00+00:00
ENJUSDT,LONG,75,0,75,0.0,7.260276081433485,2026-03-18T06:42:00+00:00
SKLUSDT,SHORT,73,0,73,0.0,4.822698642514809,2026-02-27T16:00:00+00:00
RSRUSDT,SHORT,72,0,72,0.0,2.984196807154781,2026-03-08T22:03:00+00:00
ANKRUSDT,LONG,70,0,70,0.0,16.239679016106873,2026-03-18T00:00:00+00:00
ANKRUSDT,SHORT,70,3,67,0.04285714285714286,3.754626960006731,2026-03-21T09:15:00+00:00
DOTUSDT,LONG,67,0,67,0.0,4.495911600630705,2026-02-28T13:45:00+00:00
DOTUSDT,SHORT,67,0,67,0.0,4.014820240633419,2026-02-26T16:00:00+00:00
DASHUSDT,SHORT,67,3,64,0.04477611940298507,2.7872452782933217,2026-03-21T23:48:00+00:00
LRCUSDT,LONG,62,0,62,0.0,14.891557333718264,2026-03-18T09:15:00+00:00
RLCUSDT,LONG,62,0,62,0.0,4.813297097962609,2026-03-17T20:54:00+00:00
AXSUSDT,SHORT,61,0,61,0.0,3.0576809758957824,2026-02-25T23:21:00+00:00
SKLUSDT,LONG,61,0,61,0.0,3.9999958607886645,2026-03-08T17:06:00+00:00
ZENUSDT,SHORT,61,1,60,0.01639344262295082,2.7495056251632453,2026-03-21T23:48:00+00:00
SNXUSDT,LONG,60,0,60,0.0,4.210524444544831,2026-03-23T11:03:00+00:00
LRCUSDT,SHORT,60,7,53,0.11666666666666667,19.003318973844625,2026-03-18T09:00:00+00:00
DASHUSDT,LONG,59,0,59,0.0,3.0741424001872626,2026-03-23T11:00:00+00:00
ZENUSDT,LONG,57,0,57,0.0,4.385044174081218,2026-03-15T04:45:00+00:00
CELRUSDT,SHORT,55,0,55,0.0,4.362417916458025,2026-03-20T01:30:00+00:00
CELRUSDT,LONG,52,0,52,0.0,5.249991220344896,2026-03-23T11:15:00+00:00
STORJUSDT,LONG,52,0,52,0.0,3.0172443208390254,2026-02-24T21:03:00+00:00
AXSUSDT,LONG,51,0,51,0.0,5.793451436276778,2026-03-14T08:00:00+00:00
BANDUSDT,LONG,50,0,50,0.0,3.432437773012114,2026-03-23T11:15:00+00:00
KSMUSDT,SHORT,49,0,49,0.0,2.5726259293248837,2026-03-21T23:48:00+00:00
KSMUSDT,LONG,48,0,48,0.0,3.1267206804803487,2026-03-23T11:15:00+00:00
RLCUSDT,SHORT,48,0,48,0.0,3.686159447827278,2026-03-17T21:21:00+00:00
BANDUSDT,SHORT,45,0,45,0.0,2.9874249201757026,2026-03-11T18:51:00+00:00
STORJUSDT,SHORT,45,0,45,0.0,2.127657807747849,2026-03-21T23:51:00+00:00
THETAUSDT,LONG,44,0,44,0.0,3.1766265720654343,2026-03-23T11:03:00+00:00
RVNUSDT,LONG,43,0,43,0.0,18.19756643965478,2026-03-17T00:00:00+00:00
XMRUSDT,SHORT,43,0,43,0.0,1.9850314020396707,2026-02-28T16:21:00+00:00
THETAUSDT,SHORT,42,0,42,0.0,2.4521500718054168,2026-03-21T23:48:00+00:00
KNCUSDT,SHORT,41,0,41,0.0,4.322086706055491,2026-03-02T07:00:00+00:00
QTUMUSDT,LONG,41,0,41,0.0,4.108106714865881,2026-03-15T10:21:00+00:00
XTZUSDT,LONG,41,0,41,0.0,3.18302238391541,2026-03-23T11:03:00+00:00
MANAUSDT,LONG,40,0,40,0.0,3.304014493831621,2026-03-23T11:15:00+00:00
SANDUSDT,LONG,38,0,38,0.0,3.93904091603168,2026-03-23T11:03:00+00:00
SUSHIUSDT,LONG,37,0,37,0.0,3.8421631225345094,2026-03-23T11:00:00+00:00
BATUSDT,SHORT,36,0,36,0.0,2.904932822129064,2026-02-27T04:18:00+00:00
BELUSDT,LONG,36,0,36,0.0,5.104167652963135,2026-03-04T14:30:00+00:00
RVNUSDT,SHORT,36,0,36,0.0,4.111604443106039,2026-03-17T00:30:00+00:00
SANDUSDT,SHORT,36,1,35,0.027777777777777776,2.436009031721212,2026-03-21T23:48:00+00:00
ATOMUSDT,SHORT,35,0,35,0.0,3.0947837175795994,2026-02-25T20:27:00+00:00
BELUSDT,SHORT,35,0,35,0.0,5.258034928640198,2026-03-04T16:15:00+00:00
COMPUSDT,LONG,35,0,35,0.0,8.616654552878224,2026-03-11T08:30:00+00:00
GRTUSDT,LONG,35,0,35,0.0,3.758056657079888,2026-03-13T00:15:00+00:00
BATUSDT,LONG,34,0,34,0.0,2.7144381813367735,2026-03-23T11:15:00+00:00
XLMUSDT,SHORT,34,0,34,0.0,1.813072991720266,2026-02-28T06:18:00+00:00
MANAUSDT,SHORT,34,1,33,0.029411764705882353,2.5345621526478017,2026-03-21T23:48:00+00:00
SUSHIUSDT,SHORT,34,3,31,0.08823529411764706,3.925800190089442,2026-02-25T22:39:00+00:00
EGLDUSDT,LONG,33,0,33,0.0,4.452953513571765,2026-03-04T00:00:00+00:00
EGLDUSDT,SHORT,33,1,32,0.030303030303030304,2.8220316561702443,2026-03-03T00:06:00+00:00
1INCHUSDT,LONG,32,0,32,0.0,3.303963167218759,2026-03-23T11:15:00+00:00
ETCUSDT,LONG,31,0,31,0.0,3.682121645143769,2026-03-23T11:03:00+00:00
KNCUSDT,LONG,31,0,31,0.0,10.391562800821404,2026-03-02T00:00:00+00:00
XLMUSDT,LONG,31,0,31,0.0,4.126687523208583,2026-03-23T11:00:00+00:00
XMRUSDT,LONG,31,0,31,0.0,2.518922598304037,2026-03-04T15:18:00+00:00
COMPUSDT,SHORT,30,0,30,0.0,5.936321320605736,2026-03-11T08:45:00+00:00
IOSTUSDT,SHORT,30,0,30,0.0,99.59957655976353,2026-03-23T20:45:00+00:00
QTUMUSDT,SHORT,30,0,30,0.0,2.9263354553028016,2026-03-15T11:36:00+00:00
GRTUSDT,SHORT,29,0,29,0.0,2.7330604243204695,2026-03-12T14:21:00+00:00
IOSTUSDT,LONG,29,0,29,0.0,23774.223770668617,2026-03-20T17:39:00+00:00
IOTAUSDT,LONG,29,0,29,0.0,2.347410888317898,2026-02-28T13:51:00+00:00
VETUSDT,LONG,29,0,29,0.0,3.570384241131925,2026-03-23T11:03:00+00:00
VETUSDT,SHORT,29,0,29,0.0,2.0209051092616623,2026-03-21T23:51:00+00:00
IOTAUSDT,SHORT,29,1,28,0.034482758620689655,2.291321853748392,2026-03-21T23:48:00+00:00
1INCHUSDT,SHORT,28,0,28,0.0,2.3231256184394864,2026-03-21T23:48:00+00:00
ETCUSDT,SHORT,28,0,28,0.0,2.3099922245005393,2026-03-21T23:51:00+00:00
ATOMUSDT,LONG,26,0,26,0.0,2.7695347288719816,2026-02-25T01:03:00+00:00
YFIUSDT,SHORT,26,0,26,0.0,1.9732205778717407,2026-02-25T23:33:00+00:00
ALGOUSDT,LONG,25,0,25,0.0,3.505059200218452,2026-03-23T11:15:00+00:00
XTZUSDT,SHORT,24,0,24,0.0,2.0201985993660987,2026-03-21T23:51:00+00:00
ALGOUSDT,SHORT,23,0,23,0.0,1.6322041501274989,2026-02-25T23:24:00+00:00
YFIUSDT,LONG,22,0,22,0.0,2.540690750297737,2026-03-23T11:03:00+00:00
MTLUSDT,LONG,19,0,19,0.0,2.152402377478439,2026-03-23T11:15:00+00:00
MTLUSDT,SHORT,17,0,17,0.0,2.06569549919343,2026-03-17T10:30:00+00:00
BTCDOMUSDT,SHORT,1,0,1,0.0,1.255525187563417,2026-03-23T11:15:00+00:00
