symbol,side,episode,r15,r3,k3,k15,htf_align,score,blocks,preceding_close_count
1INCHUSDT,LONG,2026-03-23T11:15:00+00:00,3.303963167218759,3.303963167218759,100.0,94.2,2/3,11,"STOCH_K3M_CAP,STOCH_K15M_CAP",0
ALGOUSDT,LONG,2026-03-23T11:15:00+00:00,3.505059200218452,3.4077518779883853,100.0,96.5,2/3,6,"STOCH_K3M_CAP,STOCH_K15M_CAP",0
ANKRUSDT,SHORT,2026-03-06T08:03:00+00:00,-3.2325729878134366,-0.6636737031611948,33.3,16.6,1/3,6,HTF_ALIGN(1/3),0
ANKRUSDT,SHORT,2026-03-19T00:03:00+00:00,-3.508414391510998,-0.7219478703344664,12.6,34.9,2/3,6,STOCH_K3M_FLOOR,7
ANKRUSDT,SHORT,2026-03-21T09:15:00+00:00,-3.754626960006731,-0.7705702472023002,80.2,22.0,2/3,16,NONE,0
ATOMUSDT,SHORT,2026-02-25T20:27:00+00:00,-3.0947837175795994,-0.6346677271454836,0.0,38.4,3/3,4,STOCH_K3M_FLOOR,0
AXSUSDT,LONG,2026-03-14T08:00:00+00:00,5.793451436276778,1.123590560691207,33.3,26.3,2/3,16,NONE,0
AXSUSDT,LONG,2026-03-18T10:30:00+00:00,3.3938424777618685,0.660826565407467,77.2,90.7,2/3,6,STOCH_K15M_CAP,1
AXSUSDT,LONG,2026-03-23T11:15:00+00:00,4.557692254788774,4.557692254788774,33.3,20.7,2/3,9,NONE,1
AXSUSDT,SHORT,2026-02-25T23:21:00+00:00,-3.0576809758957824,-0.6268720392991534,57.6,33.1,1/3,4,HTF_ALIGN(1/3),0
AXSUSDT,SHORT,2026-03-21T23:48:00+00:00,-3.035414306059702,-0.605010355341581,33.3,4.8,2/3,6,STOCH_K15M_FLOOR,0
CHRUSDT,LONG,2026-03-11T18:24:00+00:00,4.819280217799325,0.9280704607075351,100.0,84.3,3/3,6,STOCH_K3M_CAP,0
CHRUSDT,LONG,2026-03-18T05:15:00+00:00,5.027934995555146,0.9667048665657784,100.0,46.3,2/3,11,STOCH_K3M_CAP,0
CHRUSDT,LONG,2026-03-18T07:24:00+00:00,3.910618420062708,0.8676754310649604,38.2,22.6,3/3,6,NONE,0
CHRUSDT,LONG,2026-03-23T11:15:00+00:00,4.420729792021902,3.7878794292855233,100.0,22.6,2/3,4,STOCH_K3M_CAP,0
CHRUSDT,SHORT,2026-02-25T00:15:00+00:00,-3.2258109741644105,-0.5524852781562241,0.0,14.3,3/3,11,"STOCH_K3M_FLOOR,STOCH_K15M_FLOOR",0
CHRUSDT,SHORT,2026-02-25T22:39:00+00:00,-3.157889473966445,-0.647943059378655,0.0,46.4,2/3,4,STOCH_K3M_FLOOR,0
CHRUSDT,SHORT,2026-03-11T19:18:00+00:00,-4.02299232012147,-0.9489879351185193,89.6,87.8,0/3,6,HTF_ALIGN(0/3),0
CHRUSDT,SHORT,2026-03-17T04:30:00+00:00,-3.048775293784001,-0.5006295460251646,4.2,4.1,2/3,6,"STOCH_K3M_FLOOR,STOCH_K15M_FLOOR",0
CHRUSDT,SHORT,2026-03-18T05:30:00+00:00,-5.851063882487698,-1.2276826896761546,92.5,37.8,1/3,12,HTF_ALIGN(1/3),0
CHRUSDT,SHORT,2026-03-18T12:09:00+00:00,-3.55028998851332,-0.6097550587568003,22.2,12.5,2/3,6,STOCH_K15M_FLOOR,0
CHRUSDT,SHORT,2026-03-19T13:00:00+00:00,-3.164551739097631,-0.5201539600980953,0.0,24.9,3/3,6,STOCH_K3M_FLOOR,2
CHRUSDT,SHORT,2026-03-21T23:45:00+00:00,-7.189542404090515,-1.388886553396281,66.7,0.0,2/3,16,STOCH_K15M_FLOOR,4
COMPUSDT,LONG,2026-03-11T08:30:00+00:00,8.616654552878224,1.6010516666814825,100.0,62.5,3/3,6,STOCH_K3M_CAP,0
COMPUSDT,LONG,2026-03-11T13:48:00+00:00,3.820601076754309,0.7306311229409852,63.8,40.5,3/3,11,NONE,0
COMPUSDT,SHORT,2026-03-11T08:45:00+00:00,-5.936321320605736,-1.24645506010958,95.4,58.0,0/3,14,HTF_ALIGN(0/3),0
COMPUSDT,SHORT,2026-03-11T18:45:00+00:00,-4.025084078384156,-0.8210912852553469,67.1,71.6,1/3,4,HTF_ALIGN(1/3),0
DASHUSDT,LONG,2026-03-23T11:00:00+00:00,3.0741424001872626,0.5941515906203197,87.9,59.6,2/3,6,STOCH_K3M_CAP,0
DOTUSDT,LONG,2026-02-28T13:45:00+00:00,4.495911600630705,0.8679671672782727,41.1,76.6,2/3,6,NONE,0
DOTUSDT,LONG,2026-03-23T11:15:00+00:00,4.365023599785494,4.129665092471207,100.0,96.6,2/3,6,"STOCH_K3M_CAP,STOCH_K15M_CAP",0
DOTUSDT,SHORT,2026-02-26T16:00:00+00:00,-4.014820240633419,-0.816950361900017,73.7,42.9,2/3,6,NONE,0
ENJUSDT,LONG,2026-03-17T15:03:00+00:00,3.0451868921016163,0.5945531741594609,100.0,19.1,3/3,6,STOCH_K3M_CAP,0
ENJUSDT,LONG,2026-03-18T06:42:00+00:00,7.260276081433485,1.381098725900873,75.4,16.9,3/3,6,NONE,0
ENJUSDT,LONG,2026-03-18T16:00:00+00:00,5.929203167848306,1.1321359853625936,16.2,18.0,1/3,12,HTF_ALIGN(1/3),0
ENJUSDT,LONG,2026-03-18T22:24:00+00:00,4.975986025039771,0.9655727340651762,57.4,59.7,2/3,4,NONE,0
ENJUSDT,LONG,2026-03-19T00:30:00+00:00,5.260904958731018,1.0179789374756916,16.1,76.5,2/3,16,NONE,0
ENJUSDT,LONG,2026-03-19T05:09:00+00:00,3.22713867034726,0.6373053611981816,40.6,27.6,2/3,4,NONE,0
ENJUSDT,LONG,2026-03-19T06:18:00+00:00,4.029733528799328,0.7731396208748403,61.6,72.1,2/3,6,NONE,0
ENJUSDT,LONG,2026-03-19T15:48:00+00:00,3.3177347033929694,0.6547354043388242,89.9,77.9,2/3,4,STOCH_K3M_CAP,7
ENJUSDT,SHORT,2026-03-17T16:06:00+00:00,-3.3850489577068323,-0.6958502092618132,64.9,22.8,1/3,4,HTF_ALIGN(1/3),0
ENJUSDT,SHORT,2026-03-18T09:09:00+00:00,-6.206901400966033,-1.306242002727023,73.1,96.5,0/3,4,HTF_ALIGN(0/3),0
ENJUSDT,SHORT,2026-03-18T11:27:00+00:00,-3.190273271197528,-0.6547642641027238,49.6,13.1,1/3,4,"STOCH_K15M_FLOOR,HTF_ALIGN(1/3)",0
ENJUSDT,SHORT,2026-03-18T12:51:00+00:00,-3.0458889293231546,-0.6243909246948809,59.7,4.4,2/3,6,STOCH_K15M_FLOOR,0
ENJUSDT,SHORT,2026-03-18T14:54:00+00:00,-3.0097550017627617,-0.6168040012161968,9.7,3.0,2/3,6,"STOCH_K3M_FLOOR,STOCH_K15M_FLOOR",0
ENJUSDT,SHORT,2026-03-18T20:03:00+00:00,-3.4408622997346074,-0.6988708950006336,0.0,37.4,2/3,6,STOCH_K3M_FLOOR,0
ENJUSDT,SHORT,2026-03-19T02:51:00+00:00,-3.5685010665133152,-0.7346768066159292,33.8,53.2,1/3,4,HTF_ALIGN(1/3),0
GRTUSDT,LONG,2026-03-13T00:15:00+00:00,3.758056657079888,0.7296740791701845,100.0,14.8,2/3,6,STOCH_K3M_CAP,0
GRTUSDT,LONG,2026-03-23T11:15:00+00:00,3.1794777511629158,3.1452270413721313,100.0,79.9,2/3,4,STOCH_K3M_CAP,0
KAVAUSDT,SHORT,2026-03-02T11:00:00+00:00,-3.476824439285233,-0.6814298590970798,48.0,12.9,1/3,4,"STOCH_K15M_FLOOR,HTF_ALIGN(1/3)",0
KAVAUSDT,SHORT,2026-03-07T12:06:00+00:00,-3.2592591120873022,-0.669305536572103,37.4,64.5,1/3,4,HTF_ALIGN(1/3),0
KAVAUSDT,SHORT,2026-03-08T00:00:00+00:00,-3.9156616704762994,-0.8084552045411475,66.7,69.9,2/3,16,NONE,0
LRCUSDT,SHORT,2026-03-06T08:15:00+00:00,-3.903635980872072,-0.8121339777150981,2.7,3.3,2/3,16,"STOCH_K3M_FLOOR,STOCH_K15M_FLOOR",0
LRCUSDT,SHORT,2026-03-19T09:30:00+00:00,-5.044181586230252,-1.0512610444476398,94.8,79.7,1/3,4,HTF_ALIGN(1/3),13
RLCUSDT,SHORT,2026-03-17T21:21:00+00:00,-3.686159447827278,-0.7638449586207438,75.5,88.7,1/3,4,HTF_ALIGN(1/3),0
RLCUSDT,SHORT,2026-03-18T00:54:00+00:00,-3.4497339519853996,-0.7138534158806003,30.9,15.3,2/3,6,NONE,0
RSRUSDT,LONG,2026-03-02T14:36:00+00:00,3.594768158507449,0.6988543445362495,100.0,28.9,3/3,4,STOCH_K3M_CAP,0
RSRUSDT,LONG,2026-03-23T11:03:00+00:00,4.16666762909493,0.8064502909414366,100.0,50.7,2/3,6,STOCH_K3M_CAP,0
RVNUSDT,LONG,2026-03-17T00:00:00+00:00,18.19756643965478,3.177000531248373,100.0,48.4,3/3,11,STOCH_K3M_CAP,0
RVNUSDT,SHORT,2026-03-17T00:30:00+00:00,-4.111604443106039,-0.820169301547659,97.0,47.7,0/3,4,HTF_ALIGN(0/3),0
RVNUSDT,SHORT,2026-03-17T06:06:00+00:00,-3.048782348995666,-0.624997498889507,33.5,58.4,1/3,4,HTF_ALIGN(1/3),0
RVNUSDT,SHORT,2026-03-18T00:03:00+00:00,-3.0456849192239166,-0.62434634993729,18.5,49.4,2/3,6,STOCH_K3M_FLOOR,0
SKLUSDT,LONG,2026-02-26T20:18:00+00:00,3.181821260570511,0.6503084162802502,83.3,98.1,3/3,6,"STOCH_K3M_CAP,STOCH_K15M_CAP",0
SKLUSDT,LONG,2026-03-08T17:06:00+00:00,3.9999958607886645,0.8041349973748044,100.0,76.7,3/3,6,STOCH_K3M_CAP,0
SKLUSDT,LONG,2026-03-23T11:03:00+00:00,3.099511359514436,0.5728804335421942,52.5,55.7,2/3,6,NONE,0
SKLUSDT,SHORT,2026-02-27T16:00:00+00:00,-4.822698642514809,-1.032449380454135,94.9,78.2,1/3,9,HTF_ALIGN(1/3),0
SKLUSDT,SHORT,2026-02-28T06:21:00+00:00,-3.240056142703307,-0.6352065002145901,0.0,9.0,3/3,4,"STOCH_K3M_FLOOR,STOCH_K15M_FLOOR",0
