# [UNVERIFIED -- no trade list, Sharpe values unrecoverable]
variant,require_all,max_hold_min,dc_tfs,n_trades,total_pnl_pct,mean_pnl_pct,win_rate_pct,sharpe_rough,median_held_bars,stop_pct,variant_pct,time_pct
V1_WT_CONFIRM,True,15,15m+1h,4506,904.407,0.2007,76.8,152.15,3,40.3,50.1,9.6
V1_WT_CONFIRM,True,60,15m+1h,4498,839.419,0.1866,75.4,135.63,3,49.3,50.6,0.1
V1_WT_CONFIRM,False,15,15m+1h,14317,1705.547,0.1191,70.6,111.05,3,43.7,45.0,11.3
V1_WT_CONFIRM,False,60,15m+1h,14023,1505.947,0.1074,70.1,92.65,3,53.1,46.8,0.1
V2_LH_LL_3M,True,15,15m+1h,4665,545.565,0.1169,67.9,76.58,4,38.5,56.8,4.8
V2_LH_LL_3M,True,60,15m+1h,4662,518.699,0.1113,67.3,72.62,4,39.0,61.0,0.0
V2_LH_LL_3M,False,15,15m+1h,14759,869.187,0.0589,63.8,51.62,3,38.1,56.7,5.2
V2_LH_LL_3M,False,60,15m+1h,14677,788.25,0.0537,63.3,46.72,3,39.0,60.9,0.1
V4_HA_FLIP,True,15,15m+1h,4413,492.399,0.1116,66.4,63.58,6,55.5,0.0,44.5
V4_HA_FLIP,True,60,15m+1h,4361,97.799,0.0224,56.4,11.33,6,98.7,0.0,1.3
V4_HA_FLIP,False,15,15m+1h,13257,851.237,0.0642,63.1,51.59,6,54.6,0.0,45.4
V4_HA_FLIP,False,60,15m+1h,12270,-99.531,-0.0081,54.2,-5.28,6,98.5,0.0,1.5
V6_COMBINED_WT_HA,True,15,15m+1h,4413,492.399,0.1116,66.4,63.58,6,55.5,0.0,44.5
V6_COMBINED_WT_HA,True,60,15m+1h,4361,97.799,0.0224,56.4,11.33,6,98.7,0.0,1.3
V6_COMBINED_WT_HA,False,15,15m+1h,13257,851.237,0.0642,63.1,51.59,6,54.6,0.0,45.4
V6_COMBINED_WT_HA,False,60,15m+1h,12270,-99.531,-0.0081,54.2,-5.28,6,98.5,0.0,1.5
V7_TIGHT_TRAILING,True,15,15m+1h,4413,492.399,0.1116,66.4,63.58,6,55.5,0.0,44.5
V7_TIGHT_TRAILING,True,60,15m+1h,4361,97.799,0.0224,56.4,11.33,6,98.7,0.0,1.3
V7_TIGHT_TRAILING,False,15,15m+1h,13257,851.237,0.0642,63.1,51.59,6,54.6,0.0,45.4
V7_TIGHT_TRAILING,False,60,15m+1h,12270,-99.531,-0.0081,54.2,-5.28,6,98.5,0.0,1.5
V8_HTF_RECLAIM,True,15,15m+1h,5651,647.773,0.1146,82.9,175.25,1,17.3,82.6,0.2
V8_HTF_RECLAIM,True,60,15m+1h,5651,645.139,0.1142,82.7,174.33,1,17.4,82.6,0.0
V8_HTF_RECLAIM,False,15,15m+1h,20167,1299.265,0.0644,70.3,128.13,1,18.1,81.7,0.2
V8_HTF_RECLAIM,False,60,15m+1h,20160,1291.342,0.0641,70.3,126.9,1,18.1,81.9,0.0
