# [UNVERIFIED -- no trade list, Sharpe values unrecoverable]
variant,require_all,max_hold_min,n_trades,total_gross,total_net,mean_gross,mean_net,wr_pct,sharpe_net,med_held,stop_pct,var_pct,avg_comm_bps
V1_WT_CONFIRM,True,15,4506,904.41,634.05,0.2007,0.1407,66.8,106.66,3,40.3,50.1,6.0
V1_WT_CONFIRM,True,60,4498,839.42,569.54,0.1866,0.1266,65.9,92.02,3,49.3,50.6,6.0
V8_HTF_RECLAIM,True,15,5651,647.77,308.71,0.1146,0.0546,63.0,83.52,1,17.3,82.6,6.0
V8_HTF_RECLAIM,True,60,5651,645.14,306.08,0.1142,0.0542,62.9,82.71,1,17.4,82.6,6.0
WT_DC_SCORER_3of5,True,15,4758,595.37,309.89,0.1251,0.0651,60.9,45.74,3,41.7,29.0,6.0
WT_DC_SCORER_3of5,True,60,4720,335.54,52.34,0.0711,0.0111,55.6,7.06,3,69.4,29.9,6.0
WT_DC_SCORER_4of5,True,15,4420,505.48,240.28,0.1144,0.0544,59.0,31.09,6,54.9,1.6,6.0
WT_DC_SCORER_4of5,True,60,4368,131.52,-130.56,0.0301,-0.0299,50.7,-15.25,6,96.8,2.0,6.0
WT_DC_SCORER_5of5,True,15,4413,492.4,227.62,0.1116,0.0516,58.7,29.39,6,55.5,0.0,6.0
WT_DC_SCORER_5of5,True,60,4361,97.8,-163.86,0.0224,-0.0376,50.1,-18.98,6,98.7,0.0,6.0
LH_LL_15m,True,15,4414,758.06,493.22,0.1717,0.1117,64.7,67.49,3,47.6,26.3,6.0
LH_LL_15m,True,60,4369,666.07,403.93,0.1525,0.0925,61.9,53.74,3,64.0,36.0,6.0
LH_LL_1h,True,15,4420,532.22,267.02,0.1204,0.0604,59.5,34.63,6,54.3,4.1,6.0
LH_LL_1h,True,60,4369,231.48,-30.66,0.053,-0.007,52.6,-3.72,6,92.1,7.3,6.0
LH_LL_15m_AND_3m,True,15,4414,536.38,271.54,0.1215,0.0615,58.8,35.78,5,47.7,21.7,6.0
LH_LL_15m_AND_3m,True,60,4367,327.2,65.18,0.0749,0.0149,53.3,8.11,5,64.8,35.1,6.0
REDZONE_K70,True,15,4414,617.43,352.59,0.1399,0.0799,58.7,55.95,5,47.6,15.5,6.0
REDZONE_K70,True,60,4364,430.98,169.14,0.0988,0.0388,51.1,26.56,5,69.3,30.6,6.0
REDZONE_K80,True,15,4414,693.17,428.33,0.157,0.097,59.1,71.35,5,44.2,24.5,6.0
REDZONE_K80,True,60,4365,562.4,300.5,0.1288,0.0688,53.5,50.03,5,59.6,40.3,6.0
REDZONE_K90,True,15,4416,817.84,552.88,0.1852,0.1252,60.9,96.69,4,40.9,37.2,6.0
REDZONE_K90,True,60,4371,750.51,488.25,0.1717,0.1117,57.9,84.69,4,48.9,51.1,6.0
BREAKOUT_FAIL_15m,True,15,5651,647.77,308.71,0.1146,0.0546,63.0,83.52,1,17.3,82.6,6.0
BREAKOUT_FAIL_15m,True,60,5651,645.14,306.08,0.1142,0.0542,62.9,82.71,1,17.4,82.6,6.0
BREAKOUT_FAIL_1h,True,15,5675,655.64,315.14,0.1155,0.0555,63.2,84.83,1,16.7,83.2,6.0
BREAKOUT_FAIL_1h,True,60,5675,653.46,312.96,0.1151,0.0551,63.1,84.11,1,16.8,83.2,6.0
