system,param,current_value,vectorizable,why_logic
crypto,ABLATION_DISABLE_AUGMENTATION,False,MAYBE_STATE,kw
crypto,ABLATION_DISABLE_CHECK_NOLOSS,False,YES,IF-GATE
crypto,ABLATION_DISABLE_ENTRY_LEADERBOARD,False,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_ENTRY_RANKING,True,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_ENTRY_REVERSAL,False,MAYBE_STATE,kw
crypto,ABLATION_DISABLE_ENTRY_TECHNICAL,True,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_HEDGE,False,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_QUICK_ENTRY,False,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_QUICK_EXIT,False,MAYBE_STATE,IF-GATE
crypto,ABLATION_DISABLE_REENTRY,False,MAYBE_STATE,kw
crypto,ABLATION_DISABLE_REENTRY_ENFORCE,False,MAYBE_STATE,IF-GATE
crypto,ADX_RANGING_THRESHOLD,20,YES,IF-GATE
crypto,ADX_REGIME_FILTER_ENABLED,False,YES,IF-GATE
crypto,ADX_TF,1h,YES,kw
crypto,AGGRESSIVE_LOSS_CUT_ENABLED,False,YES,kw
crypto,ALL_TF_AGAINST_CLOSE_COOLDOWN_SEC,30,YES,kw
crypto,ALL_TF_AGAINST_CLOSE_ENABLED,True,YES,kw
crypto,ALL_TF_AGAINST_CLOSE_MIN_TFS,4,YES,kw
crypto,ATR_ADAPTIVE_SIZING_ENABLED,False,YES,IF-GATE
crypto,ATR_ADAPTIVE_SIZING_TARGET_PCT,2,YES,kw
crypto,ATR_ADAPTIVE_STOP_ENABLED,False,YES,IF-GATE
crypto,ATR_ADAPTIVE_STOP_MULT,2,YES,kw
crypto,ATR_ADAPTIVE_STOP_TF,1h,YES,kw
crypto,AUGMENTED_POSITIONS_GUARD_FLOOR_MULT,0.5,MAYBE_STATE,kw
crypto,AUGMENT_BLOWPAST_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,AUGMENT_HTF_TREND_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,AUGMENT_ONLY_WHEN_PROFITABLE,True,MAYBE_STATE,IF-GATE
crypto,AUGMENT_WT_3TF_ENABLED,True,YES,IF-GATE
crypto,AUGMENT_WT_CROSS_ENABLED,True,YES,IF-GATE
crypto,BASIS_CONDITION,False,MAYBE_STATE,IF-GATE
crypto,BB_BREAKOUT_CONT_ENABLED,True,YES,kw
crypto,BB_BREAKOUT_CONT_HOURS,72,YES,kw
crypto,BB_BREAKOUT_SCORE,20,YES,kw
crypto,BB_RSI_STOCH_SCALP_SCORE,25,YES,kw
crypto,BB_SQUEEZE_COOLDOWN,300,YES,kw
crypto,BB_SQUEEZE_ENABLED,True,YES,IF-GATE
crypto,BB_SQUEEZE_MIN_ALIGNMENT,10,YES,kw
crypto,BB_SQUEEZE_WIDTH_PERCENTILE,0.2,YES,kw
crypto,BEAR_MARKET_MODE,True,MAYBE_STATE,IF-GATE
crypto,BLACKLIST_SYMBOLS,None,MAYBE_STATE,IF-GATE
crypto,BOUNCE_AUGMENT_DC_LOW_D_TOLERANCE,0.02,YES,kw
crypto,BOUNCE_AUGMENT_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,BOUNCE_AUGMENT_K_D_CROSSING_UP,True,MAYBE_STATE,IF-GATE
crypto,BOUNCE_AUGMENT_K_D_THRESHOLD,20,YES,kw
crypto,BOUNCE_AUGMENT_MIN_LOSS_PCT,-0.5,YES,kw
crypto,BOUNCE_AUGMENT_PAPER,True,MAYBE_STATE,IF-GATE
crypto,BOUNCE_REENTRY_ENABLED,True,MAYBE_STATE,kw
crypto,BOUNCE_REENTRY_K_RESET_LONG,35,YES,kw
crypto,BOUNCE_REENTRY_K_RESET_SHORT,65,YES,kw
crypto,BREAKEVEN_DC_FIELD_MODE,DC4,YES,kw
crypto,BREAKEVEN_DC_LOW4_ENABLED,True,YES,IF-GATE
crypto,BREAKEVEN_GAIN_EROSION_REQUIRE_PROFIT,True,YES,kw
crypto,BREAKOUT_DC1H_BYPASS_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,BREAKOUT_GUARD_MOMENTUM_CHECK_ENABLED,False,MAYBE_STATE,kw
crypto,BREAKOUT_INJECT_LIVE,False,MAYBE_STATE,IF-GATE
crypto,BREAKOUT_INJECT_SHADOW_LOG,True,MAYBE_STATE,IF-GATE
crypto,BREAKOUT_LEASH_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,BREAKOUT_LEASH_REENTRY_MULT,1.5,MAYBE_STATE,kw
crypto,BREAKOUT_LEASH_TF,3m,MAYBE_STATE,kw
crypto,BREAKOUT_MAD_MULTIPLIER,2,MAYBE_STATE,kw
crypto,BREAKOUT_MAX_DD_RATIO,0.5,YES,kw
crypto,BREAKOUT_MIN_RET_PCT,5,YES,kw
crypto,BREAKOUT_TF_SIZE_CAP_MULT,5,MAYBE_STATE,kw
crypto,BREAKOUT_TF_SIZE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,BREAKOUT_TF_SIZE_MULT_15M,1,MAYBE_STATE,kw
crypto,BREAKOUT_TF_SIZE_MULT_1H,2,MAYBE_STATE,kw
crypto,BREAKOUT_TF_SIZE_MULT_3M,0.5,MAYBE_STATE,kw
crypto,BREAKOUT_TF_SIZE_MULT_4H,3,MAYBE_STATE,kw
crypto,BREAKOUT_TF_SIZE_MULT_D,4,MAYBE_STATE,kw
crypto,BTC_HARD_BLOCK_OTHER_ACCOUNTS,False,MAYBE_STATE,IF-GATE
crypto,BTC_PER_SYM_CONFIG_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,BTC_RZ_PROXIMITY_PCT,0.5,YES,kw
