exchange,nickname,uid,roi_30d,win_rate,sharpe,drawdown,followers,pnl,level,source,first_seen
Bybit,Nihilus,szDCxn4RyjtNf4XtRoaR5g==,1084.45,78.38,7.32,0.0,31,12203.05,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,dynamic-leader-list,2026-05-21
Bybit,2Moon,BUIrXxYBt14yzj0GGyu2sw==,3.83,93.18,2.11,0.54,282,8446.26,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,dynamic-leader-list,2026-05-21
Bybit,Utushkin,P8QX4e0gw3AUL63wGJWM+g==,5.86,91.67,1.69,0.01,104,7162.78,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,Liafe,eszLyKMh71HJZUfsJ+l1+Q==,14.92,98.66,1.64,3.54,180,10191.15,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,dynamic-leader-list,2026-05-21
Bybit,Dark Crypto Lord,WMi94kZ9kAYovIkCs8Ds2g==,33.17,54.39,1.41,7.09,39,3473.15,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,dynamic-leader-list,2026-05-21
Bybit,Ed Seykota Infinite,PjrHq+/d8xomSd8P+DIAcg==,96.18,78.38,1.3,1.15,305,137791.68,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,Papai,V61bxMC+BHTIXUbogJUzMA==,15.68,39.85,1.13,4.54,24,7985.64,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,Slowgainz,+ly56TH1a0LI8rdcgbBcog==,2.53,93.75,0.9,1.58,33,3140.36,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,One_hour_manip,sxgMC1FJdZ5er/X3XHn7hg==,1.64,50.0,0.8,0.83,235,4916.89,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,Boss Leon,xPCVo6AK/LIoIw5ypyFmrg==,14.24,45.45,0.79,10.12,58,8643.34,COPY_TRADE_LEADER_LEVEL_BRONZE_TRADER,dynamic-leader-list,2026-05-21
Bybit,DAILY TREND X2,+U5he531dqRT/qNS4dMiRw==,5.99,66.67,0.74,2.85,314,7683.06,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,bluntz,zB0S6rEIH0eDfqLF59TO6Q==,8.72,83.33,0.73,5.69,555,9901.87,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,DataPEDIA BTC Bot,u0XxokWNUste9tjflaPg9w==,1.93,92.86,0.72,1.86,370,8835.37,COPY_TRADE_LEADER_LEVEL_SILVER_TRADER,dynamic-leader-list,2026-05-21
Bybit,Empire X Capital,jZnUlFHZ9ufCR+L17qAoog==,0.03,81.82,0.0,3.05,20,14622.28,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,dynamic-leader-list,2026-05-21
Bybit,wizard31337,pWOCK0qxEm7vvnv0bg8b9g==,0,0,0,0,0,3413.17,,leaderboard,2026-05-21
Bybit,XWave_EX,AVeSABzJbNPcnwE+mnukmg==,0,0,0,0,0,411.65,,leaderboard,2026-05-21
Bybit,Cryptolog BTC,wly2sj60N4u93T1y4phdTQ==,0,0,0,0,0,244.4,,leaderboard,2026-05-21
Bybit,TradingWizard,hQWMlI1H3fDNzcEl2hiT1Q==,0,0,0,0,0,160.19,,leaderboard,2026-05-21
Bybit,Elchip11,R5MsjilNoNK7LpwmnnngUA==,0,0,0,0,0,93.01,,leaderboard,2026-05-21
Bybit,digital trading systems ISA,q5wPVsX46k3wTEnSO1pq4A==,0,0,0,0,0,83.03,,leaderboard,2026-05-21
Bybit,Art2000,A1TTifS6/eAIdNZTP682FQ==,0,0,0,0,0,18853.43,,leaderboard,2026-05-21
Bybit,Alpha Trading Group,wrLxx/6HruadNVn4B+Wr+g==,0,0,0,0,0,8919.76,,leaderboard,2026-05-21
Bybit,Qira,yde6oBq6DqYa+TZ4oESNXg==,0,0,0,0,0,2950.35,,leaderboard,2026-05-21
Bybit,profit is king,KJMtrDIZ4D0f0miM4Dt4Ag==,0,0,0,0,0,2861.73,,leaderboard,2026-05-21
Bybit,sevenout,CLMJH+Jf/GE0XlqRj07E7A==,0,0,0,0,0,1597.28,,leaderboard,2026-05-21
Bybit,winter<,rNXj7ht8anNGqzSI5HyRsA==,0,0,0,0,0,941.84,,leaderboard,2026-05-21
Bybit,100K PROJECT,i05Dabl265w3xsH/VnMKlQ==,0,0,0,0,0,793.72,,leaderboard,2026-05-21
Bybit,Yozhyk,OAT3b7vHnrZlVVOL8MzGnQ==,0,0,0,0,0,774.98,,leaderboard,2026-05-21
Bybit,ENDGAME,7e1+OOvD0zrEGo6566CbYg==,0,0,0,0,0,532.0,,leaderboard,2026-05-21
Bybit,Crypto007,LoBhIFYWpFQAPwAPlZ99Sw==,0,0,0,0,0,53765.52,,leaderboard,2026-05-21
Bybit,refaelelk,zuWbNwhbM2katquvERZShA==,0,0,0,0,0,27207.5,,leaderboard,2026-05-21
Bybit,LeadingROI,egz89Tj/L4Ej5LTC6TUo4A==,0,0,0,0,0,6098.39,,leaderboard,2026-05-21
Bybit,ChendakoffCapital,DRcD2jrfCo2qwvijIvE61g==,0,0,0,0,0,5533.2,,leaderboard,2026-05-21
Bybit,Control3x,sT+7qmHkz1k+C7t8E9fGiw==,0,0,0,0,0,5427.04,,leaderboard,2026-05-21
Bybit,Kurd crypto,yjaxV1q6E7q9yMlLVMRoyQ==,0,0,0,0,0,5127.64,,leaderboard,2026-05-21
Bybit,Im a dog,eIYmv6b3iDlu4vJAM1ZwIg==,0,0,0,0,0,4171.94,,leaderboard,2026-05-21
Bybit,JoinPotatoSquad,7kmksx+nzVHAz+Jzzdjgvw==,0,0,0,0,0,4040.43,,leaderboard,2026-05-21
Bybit,ar_neo,Z39RSUfwW1cGGJVjuVw/Yg==,0,0,0,0,0,3916.04,,leaderboard,2026-05-21
Bitget,BTC-Victory,b1b44b778db53d54a694,1846.85,91.51,0,96.04,0,0.0,,bitget_api,2026-05-21
Bitget,vitalik-ETH,b9b049778fb03d5ead97,2151.38,91.72,0,37.88,0,0.0,,bitget_api,2026-05-21
Bitget,Sun-q,b9b44c7087b43c50ac93,492.68,86.35,0,73.25,0,0.0,,bitget_api,2026-05-21
Bitget,universe-w,b9bc4c728cb63950a19c,443.34,81.93,0,59.38,0,0.0,,bitget_api,2026-05-21
Bitget,sunrise-w,bcb54b748bb73a5ea391,479.05,88.06,0,77.19,0,0.0,,bitget_api,2026-05-21
Bitget,Youtube-ashlie79,bcbd4b748bb43856a09c,-122.92,86.73,0,337.92,0,0.0,,bitget_api,2026-05-21
Bitget,Satoshit2024,bbb04e7287b13d54a29d,-597.17,83.32,0,308.43,0,0.0,,bitget_api,2026-05-21
Bitget,bluechip11,bcbc487f8ab63153a194,2599.43,69.18,0,154.58,0,0.0,,bitget_api,2026-05-21
Bitget,Techlover,bcb547778eb13c53a494,-216.42,83.24,0,173.38,0,0.0,,bitget_api,2026-05-21
Bitget,LamboCopyTrade,babd4b7f8cbb3f52a092,-107.91,62.96,0,162.69,0,0.0,,bitget_api,2026-05-21
Bitget,JAVEEDHUSSAIN,bdb64d718bb63e55ad90,-101.73,92.26,0,124.77,0,0.0,,bitget_api,2026-05-21
Bitget,RAJJ,bfb44e7489b43852a590,-38.78,43.14,0,100.51,0,0.0,,bitget_api,2026-05-21
Bitget,ZuLu,b9b04b7587b23c53a294,209.59,79.29,0,63.79,0,0.0,,bitget_api,2026-05-21
