system,param,is_long_short,sweep_tier,assessability,current_value,candidate_value,is_current_value,tested_ever,priority_rank,assessment_method,notes
crypto,HEDGE_EXIT_BYPASS_NOLOSS,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,False,True,,,4,no consumer — verify dead & remove (not a test target),
crypto,HEDGE_EXIT_BYPASS_NOLOSS,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,False,False,Y,,4,no consumer — verify dead & remove (not a test target),
crypto,DELTA_EXIT_DECAY_RATIO,Y,ENGINE_SCREEN,BACKTESTABLE,0.9,0.45,,,5,OFAT/Tier-2 sweep on NPZ (in grind),
crypto,DELTA_EXIT_DECAY_RATIO,Y,ENGINE_SCREEN,BACKTESTABLE,0.9,0.675,,,5,OFAT/Tier-2 sweep on NPZ (in grind),
crypto,DELTA_EXIT_DECAY_RATIO,Y,ENGINE_SCREEN,BACKTESTABLE,0.9,0.9,Y,,5,OFAT/Tier-2 sweep on NPZ (in grind),
crypto,DELTA_EXIT_DECAY_RATIO,Y,ENGINE_SCREEN,BACKTESTABLE,0.9,1.125,,,5,OFAT/Tier-2 sweep on NPZ (in grind),
crypto,DELTA_EXIT_DECAY_RATIO,Y,ENGINE_SCREEN,BACKTESTABLE,0.9,1.35,,,5,OFAT/Tier-2 sweep on NPZ (in grind),
crypto,DELTA_EXIT_OPPOSING_RATIO,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,1.5,0.75,,,5,no consumer — verify dead & remove (not a test target),
crypto,DELTA_EXIT_OPPOSING_RATIO,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,1.5,1.125,,,5,no consumer — verify dead & remove (not a test target),
crypto,DELTA_EXIT_OPPOSING_RATIO,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,1.5,1.5,Y,,5,no consumer — verify dead & remove (not a test target),
crypto,DELTA_EXIT_OPPOSING_RATIO,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,1.5,1.875,,,5,no consumer — verify dead & remove (not a test target),
crypto,DELTA_EXIT_OPPOSING_RATIO,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,1.5,2.25,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_HEDGE_LOSS_KILL_ENABLED,Y,DEAD,DEAD_REVIEW,True,True,Y,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_HEDGE_LOSS_KILL_ENABLED,Y,DEAD,DEAD_REVIEW,True,False,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_HEDGE_ORPHAN_KILL_ENABLED,Y,DEAD,DEAD_REVIEW,True,True,Y,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_HEDGE_ORPHAN_KILL_ENABLED,Y,DEAD,DEAD_REVIEW,True,False,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_FULL_SCORE,Y,DEAD,DEAD_REVIEW,100,50,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_FULL_SCORE,Y,DEAD,DEAD_REVIEW,100,75,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_FULL_SCORE,Y,DEAD,DEAD_REVIEW,100,100,Y,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_FULL_SCORE,Y,DEAD,DEAD_REVIEW,100,125,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_FULL_SCORE,Y,DEAD,DEAD_REVIEW,100,150,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_PARTIAL_SCORE,Y,DEAD,DEAD_REVIEW,40,20,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_PARTIAL_SCORE,Y,DEAD,DEAD_REVIEW,40,30,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_PARTIAL_SCORE,Y,DEAD,DEAD_REVIEW,40,40,Y,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_PARTIAL_SCORE,Y,DEAD,DEAD_REVIEW,40,50,,,5,no consumer — verify dead & remove (not a test target),
crypto,EXIT_SCORER_PARTIAL_SCORE,Y,DEAD,DEAD_REVIEW,40,60,,,5,no consumer — verify dead & remove (not a test target),
crypto,HEDGE_EXIT_DELTA_CHECK_ENABLED,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,False,True,,,5,no consumer — verify dead & remove (not a test target),
crypto,HEDGE_EXIT_DELTA_CHECK_ENABLED,Y,ENGINE_SCREEN_LIVECALL,DEAD_REVIEW,False,False,Y,,5,no consumer — verify dead & remove (not a test target),
