system,param,current_value,type,sweep_tier,consumed_vec,consumed_tier2,consumed_live,test_status,n_runs_obs,distinct_values_tested,best_value_seen,best_mean_pool_sharpe,priority_rank,suggested_action,suggested_path,sweep_enabled,test_values,user_set_value,notes
crypto,MITIGATOR_TIER1_DROP,0.08,float,DEAD,0,0,0,OBSOLETE,,,,,0,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.04|0.06|0.08|0.1|0.12,,
crypto,MITIGATOR_TIER1_PEAK,0.15,float,DEAD,0,0,0,OBSOLETE,,,,,0,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.075|0.1125|0.15|0.1875|0.225,,
crypto,MITIGATOR_TIER1_REDUCE_PCT,0.25,float,DEAD,0,0,0,OBSOLETE,,,,,0,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.125|0.1875|0.25|0.3125|0.375,,
crypto,OBLIGATORY_REENTRY_TIER1_HTF_REQUIRED,3,int,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,1.5|2.25|3|3.75|4.5,,
crypto,R1_DC_LOW4_3M_EMERGENCY_ENABLED,True,bool,VEC_SCREEN,1,0,1,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,R1_NEWBORN_WINDOW_MIN,15,float,VEC_SCREEN,1,0,0,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,7.5|11.25|15|18.75|22.5,,
crypto,R1_TF,3m,str,VEC_SCREEN,1,0,0,BLOCKED,,,,,0,BLOCKED,Sweepable=False (no test range). Needs a range in baseline spec before it can be screened.,N,,,
crypto,R1_USE_DC_4BAR,True,bool,VEC_SCREEN,1,0,0,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,REENTRY_TIER1_SIZE_MULT,1.5,float,ENGINE_SCREEN_LIVECALL,0,0,1,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,0.75|1.125|1.5|1.875|2.25,,
crypto,VEC_FIX_R1_REASON_STRING_FOR_DIFF,False,bool,VEC_SCREEN,1,0,0,UNTESTED,,,,,0,SCREEN_HIGH,UNTESTED churn/exit/entry/sizing lever -> HIGH priority Tier-2 OFAT (biggest gain/mo + sharpe leverage). Screen first.,Y,True|False,,
crypto,MITIGATOR_TIER2_DROP,0.02,float,DEAD,0,0,0,OBSOLETE,,,,,1,OBSOLETE,Referenced in no engine/live source -> dead knob. Ignore; candidate for removal once config unlocked. Do NOT sweep (0-effect lying rows).,N,0.01|0.015|0.02|0.025|0.03,,
