field,primary_path,secondary_paths,role_confidence,role_evidence,native_tfs,opportune_test_tfs,source_numbers_sha256
ABLATION_DISABLE_FAST_RISER,CONFIG_ONLY,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ABLATION_DISABLE_SCALP_GUARD,FILTER,,LOW_NAME_INFERENCE,inventory:lifecycle_consumers/family,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_DC_BREAKDOWN_THRESHOLD,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_DC_BREAKOUT_THRESHOLD,ENTRY,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_DECAY_HALFLIFE_H,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_HEAT_TRIGGER,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_LOOKBACK_DAYS,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_MIN_SIGNALS,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_NPZ_CACHE_HOURS,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ADAPTIVE_REGIME_SHARPE_FLOOR,FILTER,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
AGGRESSIVE_LOSS_CUT_ENABLED,REVIEW_REQUIRED,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ALL_TF_AGAINST_CLOSE_ENABLED,EXIT,,HIGH_DIRECT_READ,v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv,3m,15m|1h|4h|D,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ALL_TF_AGAINST_CLOSE_MIN_TFS,EXIT,,HIGH_DIRECT_READ,v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv,3m,15m|1h|4h|D,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ASYMMETRIC_STOPS_ENABLED,EXIT,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
ASYMMETRIC_WINNER_GAIN_PCT,REVIEW_REQUIRED,,NAME_OR_CONFIG_FALLBACK,field/family:name_fallback,,1m|3m|5m|15m|30m|1h|4h|D|W|M,b96561b92ace607b7054cd81e5df67b91dccf6d2af74fcf24a10c756a9b3394a
