diagram_group,field,diagram_values,diagram_paired_to,diagram_duplicate,inventory_present,connection_status,connected_crypto,connected_tradier,lifecycle_consumers,native_tf_crypto,native_tf_tradier,crystallizer_source_of_truth
KINDERGARTEN_EMA_ABOVE,KINDERGARTEN_EMA_GATE_ENABLED,2,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
KINDERGARTEN_EMA_ABOVE,EMA_9_21_FILTER_ENABLED,2,KINDERGARTEN_EMA_ABOVE,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F1_GOLDEN_RULE_LADDER,GOLDEN_RULE_HTF_MIN_TFS,5,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F1_GOLDEN_RULE_LADDER,GOLDEN_RULE_MIN_IND,3,F1_GOLDEN_RULE_LADDER,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F1b_GOLDEN_RULE_MIN_IND,GOLDEN_RULE_MIN_IND,4,—,true,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F3_HH_HL_STRUCTURE,REENTRY_GR_HLHH_MODE,3,—,false,true,CONNECTED_TRADIER,False,True,REENTRY,N/A_NOT_CONNECTED,native=5m;required=15m|1h|4h|D,current_inventory_contracts
F3_HH_HL_STRUCTURE,REENTRY_GR_MIN_TFS,3,F3_HH_HL_STRUCTURE,false,true,CONNECTED_TRADIER,False,True,REENTRY,N/A_NOT_CONNECTED,native=5m;required=15m|1h|4h|D,current_inventory_contracts
F3b_LH_HL_FILTER,LH_HL_FILTER_ENABLED,2,—,false,true,CONNECTED_BOTH,True,True,AUGMENT|ENTRY|REENTRY,native=3m;required=1h|4h,native=5m;required=1h|4h,current_inventory_contracts
F3b_LH_HL_FILTER,LH_HL_FILTER_TF_REQ,2,F3b_LH_HL_FILTER,false,true,CONNECTED_BOTH,True,True,AUGMENT|ENTRY|REENTRY,native=3m;required=1h|4h,native=5m;required=1h|4h,current_inventory_contracts
F3b_LH_HL_FILTER,LH_HL_FILTER_MODE,2,F3b_LH_HL_FILTER,false,true,CONNECTED_BOTH,True,True,AUGMENT|ENTRY|REENTRY,native=3m;required=1h|4h,native=5m;required=1h|4h,current_inventory_contracts
F4_WT_DC_HIERARCHY,WT_DC_HTF_GATE,4,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F4_WT_DC_HIERARCHY,WT_DC_ENTRY_THRESHOLD,3,F4_WT_DC_HIERARCHY,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F4_WT_DC_HIERARCHY,TRA_WT_DC_ENTRY_THRESHOLD,3,F4_WT_DC_HIERARCHY,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F2_GR_HTF_DIRECT,GR_HTF_DIRECT_ENTRY_SCORE_MIN,3,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F2_GR_HTF_DIRECT,GR_HTF_DIRECT_ENTRY_DOUBLE_SCORE,2,F2_GR_HTF_DIRECT,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F2_GR_HTF_DIRECT,GR_HTF_DIRECT_ENTRY_ENABLED,2,F2_GR_HTF_DIRECT,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
F5_WT_CHAN_CROSS,WT_CHAN_15m,3,—,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
F5_WT_CHAN_CROSS,WT_AVG_15m,3,F5_WT_CHAN_CROSS,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
F5_WT_CHAN_CROSS,FUNDING_GATE_ENABLED,2,F5_WT_CHAN_CROSS,false,true,CONNECTED_CRYPTO,True,False,ENTRY,native=3m;required=15m|1h|4h|D,N/A_NOT_CONNECTED,current_inventory_contracts
F5_WT_CHAN_CROSS,SPY_REGIME_GATE_ENABLED,2,F5_WT_CHAN_CROSS,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
EXIT_WT_DC,WT_DC_EXIT_THRESHOLD,3,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
MIN_HOLD_COOLDOWN,MIN_HOLD_BARS_15m,3,—,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
MIN_HOLD_COOLDOWN,COOLDOWN_BARS_15m,3,MIN_HOLD_COOLDOWN,false,true,UNCONNECTED,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
EXIT_AT_GAIN,BREAKEVEN_EXIT_AFTER_BARS_ENABLED,2,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_GAIN,WIN_TRAIL_EROSION_PCT,3,EXIT_AT_GAIN,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_GAIN,PEAK_GIVEBACK_PROTECTION_ENABLED,2,EXIT_AT_GAIN,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_GAIN,PARTIAL_PROFIT_LOCK_ENABLED,2,EXIT_AT_GAIN,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_TOP_LONGS,STRUCTURAL_EXIT_GATE_ENABLED,2,—,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_TOP_LONGS,MTF_DC_REJECT_EXIT_ENABLED,2,EXIT_AT_TOP_LONGS,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_TOP_LONGS,MTF_BB_REJECT_EXIT_ENABLED,2,EXIT_AT_TOP_LONGS,false,false,ABSENT_FROM_CURRENT_INVENTORY,,,,,,not_current_source
EXIT_AT_TOP_LONGS,QUALITY_TOP_EXIT_ENABLED,2,EXIT_AT_TOP_LONGS,false,true,REJECTED_INERT,False,False,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,current_inventory_contracts
