switch_sheet,switch,switch_value,filter,filter_value,baseline_gain,new_gain,delta,baseline_trades,new_trades,delta_trades,baseline_bh,new_bh,delta_bh,baseline_tim,new_tim,delta_tim,baseline_dd,new_dd,delta_dd,baseline_sharpe,new_sharpe,delta_sharpe,window_days,symside,valid
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,20,0.924093,2.257268,1.333174,13,44,31,4.374676,4.374676,0.000000,97.950000,97.810000,-0.140000,0.683087,1.202739,0.519652,0.188966,0.160447,-0.028519,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,25,0.924093,1.796358,0.872265,13,41,28,4.374676,4.374676,0.000000,97.950000,98.330000,0.380000,0.683087,1.208119,0.525032,0.188966,0.153035,-0.035931,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,15,0.924093,2.430567,1.506474,13,43,30,4.374676,4.374676,0.000000,97.950000,97.850000,-0.100000,0.683087,1.200728,0.517642,0.188966,0.193927,0.004961,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,10,0.924093,1.796358,0.872265,13,41,28,4.374676,4.374676,0.000000,97.950000,98.330000,0.380000,0.683087,1.208119,0.525032,0.188966,0.153035,-0.035931,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,OFF,0.924093,1.483038,0.558945,13,46,33,4.374676,4.374676,0.000000,97.950000,98.400000,0.450000,0.683087,1.058385,0.375298,0.188966,0.132616,-0.056350,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,D,0.924093,1.796358,0.872265,13,41,28,4.374676,4.374676,0.000000,97.950000,98.330000,0.380000,0.683087,1.208119,0.525032,0.188966,0.153035,-0.035931,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,4h,0.924093,1.519466,0.595373,13,45,32,4.374676,4.374676,0.000000,97.950000,98.300000,0.350000,0.683087,1.058009,0.374922,0.188966,0.137726,-0.051240,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,1h,0.924093,1.436696,0.512603,13,46,33,4.374676,4.374676,0.000000,97.950000,97.990000,0.040000,0.683087,1.048994,0.365907,0.188966,0.129174,-0.059792,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,15m,0.924093,1.113662,0.189568,13,39,26,4.374676,4.374676,0.000000,97.950000,97.990000,0.040000,0.683087,1.009190,0.326104,0.188966,0.113298,-0.075668,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,BANDAID_OFF_LOSER_RECOVER_PCT,0,0.924093,1.113662,0.189568,13,39,26,4.374676,4.374676,0.000000,97.950000,97.990000,0.040000,0.683087,1.009190,0.326104,0.188966,0.113298,-0.075668,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,20,0.924093,2.532270,1.608177,13,17,4,4.374676,4.374676,0.000000,97.950000,97.470000,-0.480000,0.683087,0.634596,-0.048491,0.188966,0.310504,0.121539,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,25,0.924093,2.693772,1.769679,13,16,3,4.374676,4.374676,0.000000,97.950000,97.150000,-0.800000,0.683087,0.633604,-0.049483,0.188966,0.357074,0.168108,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,15,0.924093,2.547526,1.623433,13,17,4,4.374676,4.374676,0.000000,97.950000,97.670000,-0.280000,0.683087,0.575970,-0.107116,0.188966,0.344153,0.155187,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,10,0.924093,2.431045,1.506952,13,17,4,4.374676,4.374676,0.000000,97.950000,97.010000,-0.940000,0.683087,0.817883,0.134796,0.188966,0.376923,0.187957,30,BNBUSDC_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ATR_TRAIL_FILTER_TF,OFF,0.924093,2.532270,1.608177,13,17,4,4.374676,4.374676,0.000000,97.950000,97.470000,-0.480000,0.683087,0.634596,-0.048491,0.188966,0.310504,0.121539,30,BNBUSDC_LONG,True
