Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Timeframe,TF_Param,Value,Moves_Reference,Delta_vs_BH,Reference_Delta_vs_BH,Marginal_Delta,Gain_Pct,Trades,TIM_Pct,Max_DD_Pct,Pool_Sharpe,Behavior_Fingerprint,Reference_Fingerprint,Valid,Invalid_Reason,Applied_Overrides_JSON
BB_BREAKOUT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,3m,NATIVE_BASE_FIXED,false,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":false,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,3m,NATIVE_BASE_FIXED,true,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,3m,NATIVE_BASE_FIXED,20,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":20,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,3m,NATIVE_BASE_FIXED,10,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":10,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,3m,NATIVE_BASE_FIXED,15,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":15,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,3m,NATIVE_BASE_FIXED,25,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":25,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_SCORE,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,3m,NATIVE_BASE_FIXED,30,False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_SCORE"":30,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,3m,,"""3m""",False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""3m"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,15m,,"""15m""",False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""15m"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
BB_BREAKOUT_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,TF_ALIAS,two or more timeframes have identical executed ledgers,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,True,True,True,False,1h,,"""1h""",False,43.772920109004794,43.772920109004794,0.0,-0.8458694878949088,24,0.01,0.8458694878949173,-1.4856167472755848,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,654f4acdc19091b7a5c3529e9ccd0de1064db30d9b372e929854868283bb77cb,False,trades 24 < 30,"{""BASE_TF"":""3m"",""BB_BREAKOUT_ENABLED"":true,""BB_BREAKOUT_TF"":""1h"",""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0}"
