Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
FORMATION_CUP_HANDLE_ENTRY_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_cup_handle_bull_score_15m,formation_cup_handle_bull_score_1h,formation_cup_handle_bull_score_4h,formation_cup_handle_bull_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_cup_handle_bull_score_15m,formation_cup_handle_bull_score_1h,formation_cup_handle_bull_score_4h,formation_cup_handle_bull_score_D",ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,False,False,False,"[true,false]",,0,0,0
FORMATION_CUP_HANDLE_EXIT_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_cup_handle_bear_score_15m,formation_cup_handle_bear_score_1h,formation_cup_handle_bear_score_4h,formation_cup_handle_bear_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_cup_handle_bear_score_15m,formation_cup_handle_bear_score_1h,formation_cup_handle_bear_score_4h,formation_cup_handle_bear_score_D",ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,True,False,False,"[true,false]",,0,0,0
FORMATION_DOUBLE_TOP_BOTTOM_ENTRY_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_double_top_bottom_bull_score_15m,formation_double_top_bottom_bull_score_1h,formation_double_top_bottom_bull_score_4h,formation_double_top_bottom_bull_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_double_top_bottom_bull_score_15m,formation_double_top_bottom_bull_score_1h,formation_double_top_bottom_bull_score_4h,formation_double_top_bottom_bull_score_D",ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,False,False,False,"[true,false]",,0,0,0
FORMATION_DOUBLE_TOP_BOTTOM_EXIT_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_double_top_bottom_bear_score_15m,formation_double_top_bottom_bear_score_1h,formation_double_top_bottom_bear_score_4h,formation_double_top_bottom_bear_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_double_top_bottom_bear_score_15m,formation_double_top_bottom_bear_score_1h,formation_double_top_bottom_bear_score_4h,formation_double_top_bottom_bear_score_D",ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,True,False,False,"[true,false]",,0,0,0
FORMATION_EXIT_MIN_GAIN_PCT,N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bear_score_15m,formation_head_shoulders_bear_score_1h,formation_head_shoulders_bear_score_4h,formation_head_shoulders_bear_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bear_score_15m,formation_head_shoulders_bear_score_1h,formation_head_shoulders_bear_score_4h,formation_head_shoulders_bear_score_D",ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,"[0.0,1.0,2.0,1]",,0,0,0
FORMATION_FLAG_PENNANT_ENTRY_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_flag_pennant_bull_score_15m,formation_flag_pennant_bull_score_1h,formation_flag_pennant_bull_score_4h,formation_flag_pennant_bull_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_flag_pennant_bull_score_15m,formation_flag_pennant_bull_score_1h,formation_flag_pennant_bull_score_4h,formation_flag_pennant_bull_score_D",ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,False,False,False,"[true,false]",,0,0,0
FORMATION_FLAG_PENNANT_EXIT_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_flag_pennant_bear_score_15m,formation_flag_pennant_bear_score_1h,formation_flag_pennant_bear_score_4h,formation_flag_pennant_bear_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_flag_pennant_bear_score_15m,formation_flag_pennant_bear_score_1h,formation_flag_pennant_bear_score_4h,formation_flag_pennant_bear_score_D",ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,True,False,False,"[true,false]",,0,0,0
FORMATION_HEAD_SHOULDERS_ENTRY_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bull_score_15m,formation_head_shoulders_bull_score_1h,formation_head_shoulders_bull_score_4h,formation_head_shoulders_bull_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bull_score_15m,formation_head_shoulders_bull_score_1h,formation_head_shoulders_bull_score_4h,formation_head_shoulders_bull_score_D",ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,False,False,False,"[true,false]",,0,0,0
FORMATION_HEAD_SHOULDERS_EXIT_ENABLED,N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bear_score_15m,formation_head_shoulders_bear_score_1h,formation_head_shoulders_bear_score_4h,formation_head_shoulders_bear_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bear_score_15m,formation_head_shoulders_bear_score_1h,formation_head_shoulders_bear_score_4h,formation_head_shoulders_bear_score_D",ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,True,True,False,False,"[true,false]",,0,0,0
FORMATION_MIN_SCORE,N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bull_score_15m,formation_head_shoulders_bull_score_1h,formation_head_shoulders_bull_score_4h,formation_head_shoulders_bull_score_D",N/A_DATA,"exact persisted formation arrays absent: formation_head_shoulders_bull_score_15m,formation_head_shoulders_bull_score_1h,formation_head_shoulders_bull_score_4h,formation_head_shoulders_bull_score_D",ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,False,False,True,False,False,"[0.325,0.4875,0.65,0.8125,0.975]",,0,0,0
