field,group,1yr_delta,1mo_delta,note
ABLATION_DISABLE_ENTRY_LEADERBOARD,ENTRY,-517.55,103.38,1mo testing but 1yr hook
ABLATION_DISABLE_ENTRY_RANKING,ENTRY,-542.55,78.38,1mo testing but 1yr hook
ABLATION_DISABLE_PERIODIC_REENTRY,REENTRY,-507.45,113.48,1mo testing but 1yr hook
ABLATION_DISABLE_REENTRY,REENTRY,-523.35,97.58,1mo testing but 1yr hook
ABLATION_DISABLE_AUGMENTATION,AUGMENT,-610.45,10.48,1mo testing but 1yr hook
ABLATION_DISABLE_HIGH_GAIN_AUGMENT,AUGMENT,-488.15,132.78,1mo testing but 1yr hook
ABLATION_DISABLE_QUICK_EXIT,EXIT,-540.85,80.08,1mo testing but 1yr hook
ABLATION_DISABLE_SPIKE_FADE_EXIT,EXIT,-606.45,14.48,1mo testing but 1yr hook
ABLATION_DISABLE_DC_BREACH_REDUCE,REDUCE,-637.05,-16.12,1mo testing but 1yr hook
DELTA_SERVICE_REDUCE_GATE,REDUCE,-635.95,-15.02,1mo testing but 1yr hook
ABLATION_DISABLE_AGGRESSIVE_HEDGE,FILTER,-575.05,45.88,1mo testing but 1yr hook
ABLATION_DISABLE_HEDGE,FILTER,-548.75,72.18,1mo testing but 1yr hook
