field,historical_venues,stocks_1yr_metric_count,crypto_1yr_metric_count,historical_delta_min,historical_delta_max,current_classification,current_connection_sites,reuse_decision,engine_replay_required,inventory_engine_sha256
ABLATION_DISABLE_HEDGE,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ABLATION_DISABLE_QUICK_ENTRY,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ADX_TRENDING_THRESHOLD,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
AI_PREMARKET_SIZE_MULT_MAX,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AI_PREMARKET_SIZE_MULT_MAX_DEFAULT,CRYPTO_1YR,,4,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_ADAPTIVE_SIZING_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_ADAPTIVE_SIZING_ENABLED_DEFAULT,CRYPTO_1YR,,4,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_ADAPTIVE_SIZING_TARGET_PCT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_PARITY_EQUITY_BASE_USD,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_PARITY_QTY_CAP_MULT,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_PARITY_QTY_CAP_MULT_DEFAULT,CRYPTO_1YR,,1,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_TRAIL_2X_EXIT_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_TRAIL_ENABLED_TRADIER,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
ATR_TRAIL_ENABLED_TRADIER_DEFAULT,CRYPTO_1YR,,7,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
AUGMENTATION_COOLDOWN_MINUTES,CRYPTO_1YR,,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENTATION_COOLDOWN_MINUTES_DEFAULT,CRYPTO_1YR,,7,0.0,0.0,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
AUGMENTATION_COOLDOWN_SECONDS,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
AUGMENT_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AUGMENT_LEVELS_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
BAND_SLOPE_SIZING_V2_SLOPE_NORM_PCT_DAY,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
BASIS_CONDITION,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
BB_AUTO_TUNE_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
