field,historical_venues,stocks_1yr_rows,stocks_1yr_metric_count,stocks_1yr_nonzero,stocks_1yr_delta_min,stocks_1yr_delta_max,crypto_1yr_rows,crypto_1yr_metric_count,crypto_1yr_nonzero,crypto_1yr_delta_min,crypto_1yr_delta_max,current_classification,current_connected_crypto,current_connected_tradier,current_lifecycle_consumers,in_beam_diagram_overlap,historical_evidence_status,reuse_decision,current_connection_sites,engine_replay_required
ABLATION_DISABLE_HEDGE,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
ABLATION_DISABLE_HEDGE_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ABLATION_DISABLE_HEDGE_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ABLATION_DISABLE_QUICK_ENTRY,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
ABLATION_DISABLE_QUICK_ENTRY_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ABLATION_DISABLE_QUICK_ENTRY_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ADX_TRENDING_THRESHOLD,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
ADX_TRENDING_THRESHOLD_DEFAULT,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ADX_TRENDING_THRESHOLD_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
AI_PREMARKET_SIZE_MULT_MAX,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,UNCONNECTED,False,False,,true,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
AI_PREMARKET_SIZE_MULT_MAX_DEFAULT,CRYPTO_1YR,,,,,,133,4,4,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
AI_PREMARKET_SIZE_MULT_MAX_DELTA,CRYPTO_1YR,,,,,,133,0,0,,,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_field_no_numeric_metrics,HISTORICAL_DEFAULT_ONLY_NO_SCORE,,no
ATR_ADAPTIVE_SIZING_ENABLED,CRYPTO_1YR,,,,,,133,133,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
ATR_ADAPTIVE_SIZING_ENABLED_DEFAULT,CRYPTO_1YR,,,,,,133,4,4,1.0,1.0,ABSENT_FROM_CURRENT_INVENTORY,,,,false,historical_metric_values,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,,yes
