switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
VOL_SLOPE_4h,3.0,5.8496,7,POSITIVE,3.0,5.8496,14.056,7.205,13.427,5.774,3.416,6.107,-15.091,11.903,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_15m,3.0,5.6796,7,POSITIVE,3.0,5.6796,15.223,4.188,9.757,8.065,1.706,7.47,-9.823,8.851,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_D,3.0,5.5129,7,POSITIVE,3.0,5.5129,9.795,6.334,13.32,6.228,3.264,5.802,-13.431,12.791,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_1h,3.0,5.1209,7,POSITIVE,3.0,5.1209,13.71,5.415,9.652,6.634,2.269,6.027,-11.87,9.13,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_15m,3.0,4.5167,7,POSITIVE,3.0,4.5167,10.712,3.99,7.991,3.864,1.633,5.107,-5.24,8.077,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_4h,2.0,4.0275,7,POSITIVE,3.0,5.8496,9.844,4.849,9.367,3.888,2.29,4.163,-10.167,7.986,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_D,2.0,3.7908,7,POSITIVE,3.0,5.5129,6.811,4.3,9.142,4.187,2.191,4.014,-8.956,8.637,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_1h,2.0,3.5639,7,POSITIVE,3.0,5.1209,9.364,3.625,7.116,4.442,1.536,4.133,-8.014,6.309,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_15m,2.0,3.4692,7,POSITIVE,3.0,5.6796,9.272,2.306,5.935,5.011,0.991,4.585,-5.713,5.367,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_15m,2.0,3.1831,7,POSITIVE,3.0,4.5167,7.451,2.784,5.664,2.751,1.128,3.564,-3.545,5.668,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_4h,1.0,2.0135,7,POSITIVE,3.0,5.8496,4.922,2.424,4.683,1.944,1.145,2.081,-5.084,3.993,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_D,1.0,1.8954,7,POSITIVE,3.0,5.5129,3.406,2.15,4.571,2.093,1.095,2.007,-4.478,4.319,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_1h,1.0,1.7817,7,POSITIVE,3.0,5.1209,4.682,1.812,3.558,2.221,0.768,2.066,-4.007,3.154,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_15m,1.0,1.5915,7,POSITIVE,3.0,4.5167,3.725,1.392,2.832,1.376,0.564,1.782,-1.773,2.834,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_15m,1.0,1.3594,7,POSITIVE,3.0,5.6796,3.687,0.678,2.179,2.059,0.348,1.868,-1.975,2.031,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_4h,0.5,1.0068,7,POSITIVE,3.0,5.8496,2.461,1.212,2.342,0.972,0.572,1.04,-2.542,1.997,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_D,0.5,0.9476,7,POSITIVE,3.0,5.5129,1.703,1.075,2.285,1.047,0.548,1.003,-2.239,2.159,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_1h,0.5,0.8908,7,POSITIVE,3.0,5.1209,2.341,0.906,1.779,1.11,0.384,1.033,-2.004,1.577,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_SLOPE_15m,0.5,0.7957,7,POSITIVE,3.0,4.5167,1.863,0.696,1.416,0.688,0.282,0.891,-0.887,1.417,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_1h,3.0,0.6181,6,POSITIVE,3.0,0.6181,1.511,0.64,6.477,1.041,0.411,1.988,-6.895,-0.228,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_15m,0.5,0.6062,7,POSITIVE,3.0,5.6796,1.689,0.247,0.907,0.965,0.151,0.856,-0.843,0.878,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
VOL_BAND_1h,2.0,0.0262,5,POSITIVE,3.0,0.6181,-0.346,0.128,4.107,0.609,0.093,0.781,-4.118,-1.044,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
ADX_MIN_1h,20,0.006,3,POSITIVE,20,0.006,-0.048,-0.01,0.041,-0.076,-0.008,0.004,0.151,-0.006,51.5,60.9,47.5,46.4,48.9,48.6,51.6,46.1
ADX_MIN_1h,15,0.0011,3,POSITIVE,20,0.006,0.017,-0.01,0.017,-0.072,-0.009,-0.006,0.075,-0.003,52.2,60.9,47.7,46.5,49.3,49.0,51.8,46.3
DCPOS_MAX_15m,1.0,0.0,0,REDO_FUNCTION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
DCPOS_MAX_1h,1.0,0.0,0,REDO_FUNCTION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
DCPOS_MAX_4h,1.0,0.0,0,REDO_FUNCTION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
DCPOS_MAX_D,1.0,0.0,0,REDO_FUNCTION,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
ADX_MIN_1h,10,-0.0083,4,RETUNE,20,0.006,-0.004,0.002,0.017,-0.072,-0.003,0.003,0.012,-0.021,52.6,61.0,47.7,46.5,49.3,49.0,51.8,46.4
ADX_MIN_1h,30,-0.0126,2,RETUNE,20,0.006,-0.251,-0.052,-0.049,-0.123,-0.019,-0.17,0.546,0.017,49.3,59.7,42.7,46.0,46.9,46.6,50.2,45.0
