switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
BASELINE_gain_vs_bh,,,,,,,28.682,-27.362,1.792,-1.337,37.49,-32.863,-14.614,15.901,-226.164,216.369,8.817,-7.8,-218.939,215.3,21.859,-20.346,44.101,-42.288,3.936,-3.44
BASELINE_bh_pct,,,,,,,81.1,-81.1,427.9,-427.9,51.1,-51.1,-67.6,67.6,-14.2,14.2,63.9,-63.9,-22.0,22.0,44.4,-44.4,92.5,-92.5,874.4,-874.4
BASELINE_gain_pct,,,,,,,2326.6,2219.5,766.8,571.9,1916.0,1679.5,987.5,1074.5,3213.0,3073.8,563.3,498.3,4811.7,4731.7,970.4,903.3,4079.6,3911.9,3442.0,3007.7
BASELINE_trades,,,,,,,21817,21817,38619,38618,21902,21901,6516,6516,22015,22014,1982,1982,21774,21775,2128,2129,22003,22002,6308,6308
BASELINE_pool_sharpe,,,,,,,0.261,0.2367,0.0762,0.064,0.0582,0.1294,0.2905,0.2734,0.1307,0.2179,0.2884,0.3859,0.3578,0.3546,0.4178,0.4105,0.2943,0.2917,0.2279,0.3676
BASELINE_max_dd_pct,,,,,,,8.6,13.5,138.9,191.9,20.6,11.8,3.9,5.8,3.9,6.9,2.9,9.5,3.1,5.8,5.1,7.2,3.7,5.8,19.4,10.7
BASELINE_gain_per_mo,,,,,,,76.3,72.78,14.05,10.47,62.83,55.07,100.86,109.74,105.36,100.79,133.72,118.3,157.76,155.13,322.01,299.73,133.74,128.25,351.27,306.95
BASELINE_time_in_mkt_pct,,,,,,,50.4,49.6,50.3,49.7,49.9,50.1,54.3,45.7,50.0,50.0,33.0,67.0,50.3,49.7,50.1,49.9,50.0,50.0,46.1,53.9
BASELINE_win_rate,,,,,,,47.8,45.3,36.8,36.4,44.3,43.5,49.8,50.3,49.7,48.3,54.3,54.9,54.4,53.3,58.9,58.8,50.7,50.6,57.7,59.4
SIZE_SLOPE_4h,12.0,48.0725,10,POSITIVE,12.0,48.0725,163.72,-90.646,11.498,-7.667,143.585,-174.442,-7.73,112.738,-714.732,1080.685,52.913,-0.268,-802.11,1014.799,124.02,-24.535,238.813,-163.975,14.835,-10.052
SIZE_SLOPE_D,12.0,42.0037,11,POSITIVE,12.0,42.0037,109.875,-25.266,18.25,0.425,102.044,-114.982,-19.197,106.593,-396.424,752.081,54.584,-13.069,-560.29,587.096,165.294,-40.612,162.26,-61.295,22.557,-9.85
SIZE_SLOPE_1h,12.0,40.5115,10,POSITIVE,12.0,40.5115,141.715,-122.663,14.408,-8.198,148.931,-171.422,-23.859,108.233,-745.212,1124.603,42.578,-27.788,-836.13,1043.618,130.378,-53.499,236.291,-199.919,19.995,-11.83
SIZE_SLOPE_4h,8.0,32.0484,10,POSITIVE,12.0,48.0725,109.147,-60.431,7.666,-5.111,95.724,-116.294,-5.153,75.159,-476.488,720.457,35.275,-0.179,-534.74,676.532,82.68,-16.357,159.208,-109.317,9.89,-6.701
SIZE_SLOPE_D,8.0,28.0024,11,POSITIVE,12.0,42.0037,73.25,-16.844,12.166,0.283,68.029,-76.655,-12.798,71.062,-264.282,501.387,36.389,-8.712,-373.527,391.397,110.196,-27.074,108.173,-40.863,15.038,-6.566
