Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Timeframe,TF_Param,Value,Moves_Reference,Delta_vs_BH,Reference_Delta_vs_BH,Marginal_Delta,Gain_Pct,Trades,TIM_Pct,Max_DD_Pct,Pool_Sharpe,Behavior_Fingerprint,Reference_Fingerprint,Valid,Invalid_Reason,Applied_Overrides_JSON
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,5m,BASE_TF,false,False,-677.8203271781889,-677.8203271781889,0.0,3.5004176539830207,9,1.76,0.05470274361668483,1.322485154843305,1bb23cab2f27964bfb5d082f601855900713d6dc73275f564b05e6793f101ae5,1bb23cab2f27964bfb5d082f601855900713d6dc73275f564b05e6793f101ae5,False,trades 9 < 30,"{""BASE_TF"":""5m"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":false,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,5m,BASE_TF,true,True,-677.3225415485196,-677.8203271781889,0.4977856296693517,3.998203283652409,11,1.89,0.05470274361668483,1.544276692689545,23a9355e2720470751ae52a7b22e46ba7a60e0687d75b47ba8b67963e1b9993d,1bb23cab2f27964bfb5d082f601855900713d6dc73275f564b05e6793f101ae5,False,trades 11 < 30,"{""BASE_TF"":""5m"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":true,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,15m,BASE_TF,false,False,-680.3410937642334,-680.3410937642334,0.0,0.9796510679385846,1,0.47,0.0,0.0,eb977fd2f7ac80dc7bc228882bd491b1643bd415d25a5d48f05cffaec966d6d7,eb977fd2f7ac80dc7bc228882bd491b1643bd415d25a5d48f05cffaec966d6d7,False,trades 1 < 30,"{""BASE_TF"":""15m"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":false,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,15m,BASE_TF,true,False,-680.3410937642334,-680.3410937642334,0.0,0.9796510679385846,1,0.47,0.0,0.0,eb977fd2f7ac80dc7bc228882bd491b1643bd415d25a5d48f05cffaec966d6d7,eb977fd2f7ac80dc7bc228882bd491b1643bd415d25a5d48f05cffaec966d6d7,False,trades 1 < 30,"{""BASE_TF"":""15m"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":true,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,1h,BASE_TF,false,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""1h"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":false,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,1h,BASE_TF,true,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""1h"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":true,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,4h,BASE_TF,false,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""4h"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":false,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,4h,BASE_TF,true,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""4h"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":true,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,D,BASE_TF,false,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""D"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":false,""MIN_HOLD_BARS"":0}"
EMA_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 15m,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,D,BASE_TF,true,False,-681.320744832172,-681.320744832172,0.0,0.0,0,0.0,0.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,trades 0 < 30,"{""BASE_TF"":""D"",""COOLDOWN_BARS"":0,""EMA_TF_5M_ENABLED"":true,""MIN_HOLD_BARS"":0}"
WT_TF_5M_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,QUICK_CONFIG,QUICK_CONFIG,True,True,False,False,False,False,5m,BASE_TF,false,False,-677.8203271781889,-677.8203271781889,0.0,3.5004176539830207,9,1.76,0.05470274361668483,1.322485154843305,1bb23cab2f27964bfb5d082f601855900713d6dc73275f564b05e6793f101ae5,1bb23cab2f27964bfb5d082f601855900713d6dc73275f564b05e6793f101ae5,False,trades 9 < 30,"{""BASE_TF"":""5m"",""COOLDOWN_BARS"":0,""MIN_HOLD_BARS"":0,""WT_TF_5M_ENABLED"":false}"
