SymSide,Group,Param,Value,Gain_Pct,BH_Gain_Pct,Delta_vs_BH,Pool_Sharpe,Trades,TIM_Pct,Max_DD_Pct,Overrides_JSON
MU_LONG,KINDERGARTEN_EMA_ABOVE,KINDERGARTEN_EMA_GATE_ENABLED,True,149.8,-15.491013727559535,165.29101372755954,0.6799999999999999,303,88.0,23.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 2, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""KINDERGARTEN_EMA_GATE_ENABLED"": true}"
MU_LONG,F1_GOLDEN_RULE_LADDER,GOLDEN_RULE_HTF_MIN_TFS,1,135.4,-15.491013727559535,150.89101372755954,0.24000000000000005,259,24.0,4.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""GOLDEN_RULE_HTF_MIN_TFS"": 2}"
MU_LONG,F1b_GOLDEN_RULE_MIN_IND,GOLDEN_RULE_MIN_IND,1,132.2,-15.491013727559535,147.69101372755952,-0.07999999999999999,127,72.0,22.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 1, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""REENTRY_GR_HLHH_MODE"": ""OR""}"
MU_LONG,F3_HH_HL_STRUCTURE,REENTRY_GR_HLHH_MODE,OR,139.8,-15.491013727559535,155.29101372755954,0.6799999999999999,303,68.0,23.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""REENTRY_GR_HLHH_MODE"": ""OR""}"
MU_LONG,F3b_LH_HL_FILTER,LH_HL_FILTER_ENABLED,False,88.4,-15.491013727559535,103.89101372755954,0.54,189,34.0,9.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""LH_HL_FILTER_ENABLED"": false, ""REENTRY_GR_HLHH_MODE"": ""OR""}"
MU_LONG,F4_WT_DC_HIERARCHY,WT_DC_HTF_GATE,4h,141.2,-15.491013727559535,156.69101372755952,-0.18,217,82.0,12.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""WT_DC_HTF_GATE"": ""4h"", ""GOLDEN_RULE_HTF_MIN_TFS"": 2}"
MU_LONG,F2_GR_HTF_DIRECT,GR_HTF_DIRECT_ENTRY_SCORE_MIN,12.0,142.8,-15.491013727559535,158.29101372755954,-0.019999999999999962,233,18.0,3.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""GR_HTF_DIRECT_ENTRY_SCORE_MIN"": 12.0, ""GOLDEN_RULE_HTF_MIN_TFS"": 1}"
MU_LONG,F5_WT_CHAN_CROSS,WT_CHAN_15m,10,140.3,-15.491013727559535,155.79101372755954,-0.27,208,73.0,3.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 2, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""WT_CHAN_15m"": 10}"
MU_LONG,EXIT_WT_DC,WT_DC_EXIT_THRESHOLD,30,125.1,-15.491013727559535,140.59101372755953,0.21000000000000002,156,81.0,1.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 15, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""WT_DC_EXIT_THRESHOLD"": 30, ""GOLDEN_RULE_HTF_MIN_TFS"": 2}"
MU_LONG,MIN_HOLD_COOLDOWN,MIN_HOLD_BARS_15m,8,126.6,-15.491013727559535,142.09101372755953,0.36000000000000004,171,16.0,16.0,"{""WT_EXITS_ENABLED"": false, ""GOLDEN_RULE_MIN_IND"": 1, ""GOLDEN_RULE_HTF_MIN_TF"": 1, ""WT_CROSS_ENABLED"": true, ""WT_CROSS_TF"": ""15m"", ""MIN_HOLD_BARS_15m"": 8}"
