switch,delta,new_gain,tim,elapsed_ms
WT_15M_BOUNCE_OPEN_ENABLED,32.6140,16.6786,70.00,91
WT_15M_BOUNCE_OPEN_ENABLED,32.6140,16.6786,70.00,89
BB_SQUEEZE_ENTRY_ENABLED,1.9004,-14.0350,30.72,67
BB_PULLBACK_GATE_TF,1.9004,-14.0350,30.72,67
BB_PULLBACK_GATE_TF,1.9004,-14.0350,30.72,67
BB_PULLBACK_GATE_TF,1.9004,-14.0350,30.72,67
BB_PULLBACK_GATE_TF,1.9004,-14.0350,30.72,67
BB_PULLBACK_GATE_TF,1.9004,-14.0350,30.72,67
DELTA_GATE_BB_SQUEEZE,0.8638,-15.0717,31.74,67
BB_SQUEEZE_WIDTH_PERCENTILE,1.9004,-14.0350,30.72,67
BB_SQUEEZE_WIDTH_PERCENTILE,1.9004,-14.0350,30.72,66
BB_SQUEEZE_WIDTH_PERCENTILE,1.9004,-14.0350,30.72,66
BB_SQUEEZE_WIDTH_PERCENTILE,1.9004,-14.0350,30.72,66
BB_SQUEEZE_WIDTH_PERCENTILE,1.9004,-14.0350,30.72,66
WT_DIV_EXIT_ENABLED,1.9004,-14.0350,30.72,67
WT_DIV_EXIT_ENABLED,1.9004,-14.0350,30.72,68
WT_MOMENTUM_EXIT_THRESHOLD,3.7101,-12.2254,31.65,67
WT_MOMENTUM_EXIT_THRESHOLD,3.7101,-12.2254,31.65,68
WT_MOMENTUM_EXIT_THRESHOLD,3.7101,-12.2254,31.65,68
WT_ACCEL_EXIT_ENABLED,3.7101,-12.2254,31.65,68
