Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Timeframe,TF_Param,Value,Moves_Reference,Delta_vs_BH,Reference_Delta_vs_BH,Marginal_Delta,Gain_Pct,Trades,TIM_Pct,Max_DD_Pct,Pool_Sharpe,Behavior_Fingerprint,Reference_Fingerprint,Valid,Invalid_Reason,Applied_Overrides_JSON
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,58.0,False,101.42448458164726,101.42448458164726,0.0,1.4244845816472629,7899,15.51,21.64920792816987,0.020546410688989637,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":58.0,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,29.0,True,112.0767363721843,101.42448458164726,10.652251790537036,12.0767363721843,10746,21.1,23.409365605694997,0.024122779598731017,6fea7264cb5683f05567849e3e549ed42146788bfc2f350a481c83ae0a5be0d1,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":29.0,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,43.5,True,105.95893996473256,101.42448458164726,4.534455383085302,5.958939964732565,9649,18.94,24.280778131366308,0.021219241509486928,1dceb446dd4d1ee183ff72fb3675398d94c3a0f5647d2c920cdaaedb55c33191,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":43.5,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,72.5,True,95.9073088463716,101.42448458164726,-5.517175735275657,-4.092691153628394,5200,10.21,22.870126668247455,0.016962086881095403,604d40b0551c7fc379465e9eff73ac2cae8079f71c941e8c62331c80d7684b16,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":72.5,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,87.0,True,93.1893226023307,101.42448458164726,-8.235161979316558,-6.8106773976692905,3915,7.69,18.212542233197752,0.01268026479630854,e148b3cf89612ec204d2d6bbfae5c183dc607c2d6ba38740eaf281cd499ad9e9,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":87.0,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,5m,WT_TF_5M_ENABLED,58.1,True,101.41985949093713,101.42448458164726,-0.004625090710135282,1.4198594909371274,7897,15.5,21.65333273107471,0.02053507329571725,4a28ba9fe77af21586e65e91288f881a1c752826f8ae700cb532870581cab0e2,cac6a817f6c6a51ba0d87af9ba97f6f5ba7e1b0c1ec9c7dc258a4312eedade76,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":58.1,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":false,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":true,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,15m,WT_TF_15M_ENABLED,58.0,False,72.32101381774297,72.32101381774297,0.0,-27.67898618225704,6878,13.5,38.59924509217444,-0.02050829102366779,7f03b64f1b3a9ced2a65e21fe087a890f5b1cd3ce87eeeef52b3169ac82ccd89,7f03b64f1b3a9ced2a65e21fe087a890f5b1cd3ce87eeeef52b3169ac82ccd89,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":58.0,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":true,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,15m,WT_TF_15M_ENABLED,29.0,True,69.88599754442905,72.32101381774297,-2.43501627331392,-30.114002455570958,9762,19.17,42.39767255473657,-0.021069587908958652,cfff48aa8a2f1d099ce6f02c8ef58b73f58ac045a37a344d6924ae56dc4b1329,7f03b64f1b3a9ced2a65e21fe087a890f5b1cd3ce87eeeef52b3169ac82ccd89,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":29.0,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":true,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,15m,WT_TF_15M_ENABLED,43.5,True,72.04413877846564,72.32101381774297,-0.2768750392773285,-27.955861221534366,8647,16.98,41.111975543302364,-0.019900166083898507,135ede33a6447f262f5f16f47ee1db10666577ffa96b0355847bbad9ffdccadf,7f03b64f1b3a9ced2a65e21fe087a890f5b1cd3ce87eeeef52b3169ac82ccd89,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":43.5,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":true,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
RSI_ENTRY_SHORT_TRADIER,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,VALUE_ALIAS,distinct active values alias at 15m,ENGINE_AUTO_WIRED|ENTRY|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,False,False,True,15m,WT_TF_15M_ENABLED,72.5,True,67.24052395148684,72.32101381774297,-5.08048986625613,-32.75947604851316,4188,8.22,39.46441225949718,-0.033812275677679166,4868981e9761dd65614cff0e9ab384de5bccf8e39af526f15ee01dd4ce83951d,7f03b64f1b3a9ced2a65e21fe087a890f5b1cd3ce87eeeef52b3169ac82ccd89,True,,"{""BACKTEST_VALIDATED_GATES_TRADIER"":false,""BASE_TF"":""5m"",""COMBINED_STOCH_GATE_TRADIER"":100.0,""COOLDOWN_BARS"":0,""COOLDOWN_BARS_TRADIER"":0,""DELTA_ENGINE_ENABLED"":true,""DELTA_MAX_HOLD_BARS"":1,""D_TREND_REQUIRED"":false,""HTF_ALIGNMENT_ENABLED"":false,""K3M_FLOOR"":0.0,""KINDERGARTEN_EMA_GATE_ENABLED"":false,""K_ZONE_ENTRY_ENABLED_TRADIER"":false,""MFI_ENTRY_ENABLED"":false,""MIN_HOLD_BARS"":0,""MIN_HOLD_BARS_BEFORE_EXIT"":0,""MIN_HOLD_MINUTES_TRADIER"":0.0,""MTF_ARMED_WT_DIRECTION_SUSPEND_ENABLED"":false,""RSI_ENTRY_LONG_TRADIER"":101.0,""RSI_ENTRY_SHORT_TRADIER"":72.5,""START_POSITION_SIZE"":10000.0,""STOCH_CROSS_ENTRY_TRADIER"":false,""TRADIER_ENTRY_SCORE_THRESHOLD"":0,""WT_COMPOSITE_SCORING_ENABLED_TRADIER"":false,""WT_DC_HTF_GATE"":""none"",""WT_TF_15M_ENABLED"":true,""WT_TF_1H_ENABLED"":false,""WT_TF_4H_ENABLED"":false,""WT_TF_5M_ENABLED"":false,""WT_TF_D_ENABLED"":false}"
