param,verdict,n_values,max_keys,best_value,best_mean_delta_gain_mo
ATR_PARITY_EQUITY_BASE_USD,DROP_INERT,5,16,17500,0.0
ATR_PARITY_QTY_CAP_MULT,DROP_INERT,5,16,2.5,0.0
ATR_PARITY_USE_DAILY,DROP_INERT,2,16,False,0.0
AUGMENTATION_COOLDOWN_SECONDS,DROP_INERT,5,16,150,0.0
BB_RSI_STOCH_BB_MAX,DROP_INERT,5,16,0.15,0.0
BB_RSI_STOCH_K_MAX,DROP_INERT,5,16,15,0.0
BB_RSI_STOCH_RSI_MAX,DROP_INERT,5,16,30,0.0
BREAKEVEN_GRACE_MINUTES,DROP_INERT,5,16,7.5,0.0
BREAKOUT_RETEST_ARMED_ENABLED,DROP_INERT,2,16,True,0.0
BREAKOUT_RETEST_ARMED_HTF_STACK_MIN,DROP_INERT,5,16,1.5,0.0
BREAKOUT_RETEST_ARMED_K_3M_PREV_MAX,DROP_INERT,5,16,15,0.0
BREAKOUT_RETEST_ARMED_RETEST_ATR_MULT,DROP_INERT,5,16,0.15,0.0
BREAKOUT_RETEST_ARMED_VOLUME_MULT,DROP_INERT,5,16,0.9375,0.0
BREAKOUT_RETEST_ARMED_WINDOW_DAYS,DROP_INERT,5,16,3.5,0.0
BREAKOUT_SIZE_LADDER_ENABLED,DROP_INERT,2,16,True,0.0
BREAKOUT_SIZE_MAX_MULT,DROP_INERT,5,16,2.25,0.0
CATALYST_VOLUME_RATIO,DROP_INERT,5,16,0.75,0.0
CIRCUIT_BREAKER_ENABLED,DROP_INERT,2,16,True,0.0
CONNORS_RSI2_REQUIRE_ABOVE_200SMA,DROP_INERT,2,16,False,0.0
CONNORS_RSI2_THRESHOLD,DROP_INERT,5,16,5,0.0
DC_BREAK_LOW_REQUIRE_HTF_MIN_TFS,DROP_INERT,5,16,1,0.0
DELTA_ENTRY_Z_THRESHOLD,DROP_INERT,5,16,1.875,0.0
DELTA_SPEED_SMOOTH,DROP_INERT,5,16,2.5,0.0
DELTA_TF_Z_THRESHOLD,DROP_INERT,5,16,0.75,0.0
DUP_GUARD_GAIN_MULTIPLIER,DROP_INERT,5,16,0.375,0.0
DUP_GUARD_USE_GAIN_GATE,DROP_INERT,2,16,True,0.0
EXIT_SCORER_K_EXTREME,DROP_INERT,5,226,42.5,0.0
EXIT_SCORER_MIN_CONDITIONS,DROP_INERT,3,16,2,0.0
EZ_REENTRY_PPL_DOUBLE_GAIN_ENABLED,DROP_INERT,2,16,True,0.0
GHOST_CLOSE_REQUIRE_CONFIRMATION,DROP_INERT,2,16,True,0.0
GOLDEN_RULE_HTF_VETO_ENABLED,DROP_INERT,2,16,True,0.0
GOLDEN_RULE_MIN_IND,DROP_INERT,5,16,1,0.0
GR_HTF_GATE_ENABLED,DROP_INERT,2,16,True,0.0
GR_HTF_REQUIRE_BEAR,DROP_INERT,5,16,0.75,0.0
GR_HTF_REQUIRE_BULL,DROP_INERT,5,16,0.75,0.0
HEDGE_FAILED_FALLBACK_CLOSE_ENABLED,DROP_INERT,2,16,False,0.0
HTF_TREND_VETO_SCORE_MIN_ABS,DROP_INERT,5,16,2,0.0
LIVE_ENTRY_ENGINE_BOOST_SCORE,DROP_INERT,5,16,4,0.0
LIVE_ENTRY_ENGINE_DC_ENABLED,DROP_INERT,2,16,True,0.0
LIVE_ENTRY_ENGINE_ENABLED,DROP_INERT,2,16,True,0.0
LIVE_ENTRY_ENGINE_HTF_ENABLED,DROP_INERT,2,16,True,0.0
LIVE_ENTRY_ENGINE_MIN_SCORE,DROP_INERT,5,16,0.25,0.0
LIVE_ENTRY_ENGINE_STDEV_MACRO_ENABLED,DROP_INERT,2,16,True,0.0
LIVE_ENTRY_ENGINE_STOCH_ENABLED,DROP_INERT,2,16,True,0.0
LIVE_ENTRY_ENGINE_WT_ENABLED,DROP_INERT,2,16,True,0.0
MTF_ATR_TRAIL_ENABLED,DROP_INERT,2,16,True,0.0
MTF_ATR_TRAIL_MULT,DROP_INERT,5,16,1,0.0
MTF_BB_REJECT_EXIT_ENABLED,DROP_INERT,2,16,True,0.0
MTF_BB_REJECT_EXIT_LOOKBACK,DROP_INERT,5,16,2.5,0.0
MTF_DC_REJECT_EXIT_ENABLED,DROP_INERT,2,16,True,0.0
MTF_EXIT_USE_COMPOUND,DROP_INERT,2,16,True,0.0
MTF_GR_EXIT_GATE_ENABLED,DROP_INERT,2,16,True,0.0
MTF_GR_EXIT_MIN_IND,DROP_INERT,5,16,2.5,0.0
MTF_GR_EXIT_MIN_TFS,DROP_INERT,5,16,1.5,0.0
MTF_REQUIRE_ARMED_ANY,DROP_INERT,2,16,False,0.0
MTF_WT_CROSS_EXIT_ENABLED,DROP_INERT,2,16,True,0.0
OBLIGATORY_HEDGE_MIN_LOSS_PCT,DROP_INERT,5,16,-0.75,0.0
OBLIGATORY_HEDGE_PCT,DROP_INERT,3,16,0,0.0
PEAK_GIVEBACK_DROP_PCT,DROP_INERT,5,16,2.5,0.0
PEAK_GIVEBACK_MIN_PEAK_PCT,DROP_INERT,5,16,1,0.0
PEAK_GIVEBACK_NEGATIVE_GAIN_FLOOR_PCT,DROP_INERT,5,16,-0.75,0.0
PEAK_GIVEBACK_PROTECTION_ENABLED,DROP_INERT,2,16,True,0.0
PEAK_GIVEBACK_REQUIRE_NEGATIVE_GAIN,DROP_INERT,2,16,False,0.0
R1_DC_LOW4_3M_EMERGENCY_ENABLED,DROP_INERT,2,16,True,0.0
R1_NEWBORN_WINDOW_MIN,DROP_INERT,5,16,7.5,0.0
R1_USE_DC_4BAR,DROP_INERT,2,16,True,0.0
R3_HTF_FLIP_4H_TIER_ENABLED,DROP_INERT,2,16,True,0.0
REENTRY_B09_SNAPBACK_ENABLED,DROP_INERT,2,16,True,0.0
REENTRY_B10_STOCH_REV_ENABLED,DROP_INERT,2,16,True,0.0
REENTRY_LIVE_MONITOR_DC_BREAK_ENABLED,DROP_INERT,2,16,True,0.0
REENTRY_LIVE_MONITOR_DC_BREAK_USE_4BAR,DROP_INERT,2,16,True,0.0
REENTRY_MAX_PRICE_DIVERGENCE_PCT,DROP_INERT,5,16,10,0.0
REGIME_BTC_MARKET_WEIGHT,DROP_INERT,5,16,0.25,0.0
REGIME_ENTER_TRENDING_THRESHOLD,DROP_INERT,5,16,15,0.0
REGIME_EXIT_TRENDING_THRESHOLD,DROP_INERT,5,16,7.5,0.0
REGIME_MIN_DWELL_BARS,DROP_INERT,5,16,8,0.0
REGIME_RANGING_EXIT_GAIN_MIN,DROP_INERT,5,16,0.075,0.0
REGIME_RANGING_NOLOSS_MIN,DROP_INERT,5,16,0.0375,0.0
REGIME_RANGING_SLOT_RESERVE_PCT,DROP_INERT,5,16,0.3,0.0
REGIME_RANGING_WT_REDUCE_FRAC_LOW,DROP_INERT,5,16,0.2,0.0
REGIME_TRENDING_EXIT_GAIN_MIN,DROP_INERT,5,16,1,0.0
REGIME_TRENDING_K_RESET_THRESHOLD,DROP_INERT,5,16,20,0.0
REGIME_TRENDING_NOLOSS_MIN,DROP_INERT,3,16,0,0.0
REGIME_TRENDING_SLOT_RESERVE_PCT,DROP_INERT,5,16,0.2,0.0
REGIME_TRENDING_WT_REDUCE_FRAC_LOW,DROP_INERT,5,16,0.05,0.0
RZ_BOT_BB_THRESHOLD,DROP_INERT,3,16,0.1,0.0
RZ_TOP_BB_THRESHOLD,DROP_INERT,3,16,0.8,0.0
TRADIER_ENTRY_SCORE_THRESHOLD,DROP_INERT,5,16,22.5,0.0
TRADIER_MIN_HOLD_MINUTES,DROP_INERT,5,16,21,0.0
WT_15M_VEL_NEAR_ZERO_THRESHOLD,DROP_INERT,5,16,0.075,0.0
DC_LOW_FROZEN_STOP_USE_4BAR,DROP_NEG,2,226,False,0.0
EXIT_SCORER_DC_EXTREME,DROP_NEG,5,226,0.6,0.0
UNIVERSAL_NOLOSS_GATE,DROP_NEG,2,16,False,0.0
WT_15M_VEL_SLOW_GAIN_FLOOR_PCT,DROP_NEG,5,16,0.0075,0.0
BB_ENTRY_LONG_THRESHOLD,DROP_NEG,5,226,0.15,-0.0001
BB_ENTRY_SHORT_THRESHOLD,DROP_NEG,5,226,0.35,-0.0001
DC_LOW_FROZEN_STOP_FLOOR_PCT,DROP_NEG,5,226,-1498.5,-0.0001
GR_BB_EXTENDED_LONG,DROP_NEG,5,226,0.375,-0.0001
GR_DC_EXTENDED_LONG,DROP_NEG,5,226,0.4,-0.0001
MFI_LONG_THRESHOLD_D,DROP_NEG,5,226,40,-0.0001
PENNY_STOCK_LONG_BLOCK_ENABLED,DROP_NEG,2,226,False,-0.0001
PENNY_STOCK_LONG_BLOCK_PRICE_USD,DROP_NEG,5,226,2.5,-0.0001
SPY_REGIME_BLOCK_LONGS_BELOW,DROP_NEG,2,226,True,-0.0001
SPY_REGIME_BLOCK_SHORTS_ABOVE,DROP_NEG,2,226,True,-0.0001
WT_3M_FORCE_OPEN_BYPASS_GATES,DROP_NEG,2,226,True,-0.0001
WT_3M_FORCE_OPEN_BUILD_TO_TARGET,DROP_NEG,2,8,True,-0.2707
WT_3M_FORCE_OPEN_DIST_PCT,DROP_NEG,3,8,1,-0.2707
WT_3M_FORCE_OPEN_SIZE_USD,DROP_NEG,5,8,1250,-0.2707
WT_3M_FORCE_OPEN_TARGET_USD,DROP_NEG,5,8,37500,-0.2707
BOUNCE_REENTRY_K_RESET_SHORT_TRADIER,DROP_NEG,5,6,32.5,-0.3609
CONVICTION_SHORT_THRESHOLD,DROP_NEG,5,6,10,-0.3609
CT_MFI_15M_SHORT_MAX,DROP_NEG,5,6,27.5,-0.3609
WT_3M_FORCE_OPEN_USE_SMA200,DROP_NEG,2,6,True,-0.3609
MTF_ARMED_ENTRY_ENABLED,KEEP,2,16,True,18.9817
BB_BREAKOUT_ENABLED,KEEP,2,16,True,9.5781
GOLDEN_RULE_REQUIRE_ACTIVATION,KEEP,2,16,False,5.1977
BB_PULLBACK_GATE_ENABLED,KEEP,2,16,False,4.8457
BB_RSI_STOCH_SCALP_ENABLED,KEEP,2,16,True,4.5208
STOP_PACK,KEEP,46,197,ARROW_ONLY_1H,2.7153
HTF_TREND_VETO_ENABLED,KEEP,2,16,False,1.1468
WT_3M_FORCE_OPEN_ENABLED,KEEP,2,226,True,1.1274
MIN_POSITION_SIZE,KEEP,5,16,150,1.0955
BB_PULLBACK_GATE_SHORT_MIN,KEEP,5,226,0.35,0.604
MIN_GAIN,KEEP,5,16,2.25,0.3403
MIN_GAIN_TO_BUY_AGGRESSIVELY,KEEP,5,16,4.5,0.2939
TF_EXCLUDE,KEEP,6,9,D,0.2882
MTF_GR_MIN_IND,KEEP,5,16,2.5,0.2813
R3_HTF_FLIP_EXIT_ENABLED,KEEP,2,16,True,0.271
MAX_AUGMENTS_PER_POSITION,KEEP,5,16,1.5,0.2204
MTF_ENTRY_REQUIRE_GR_FILTER,KEEP,2,16,False,0.1987
MTF_GR_FILTER_ENABLED,KEEP,2,16,False,0.1987
BB_PULLBACK_GATE_LONG_MAX,KEEP,5,226,0.45,0.1888
PARTIAL_PROFIT_LOCK_FRAC_TRADIER,KEEP,5,16,0.3125,0.1816
PARTIAL_PROFIT_LOCK_GAIN_PCT_TRADIER,KEEP,5,16,1.875,0.1207
MTF_GR_MIN_TFS,KEEP,5,16,1.5,0.1189
REGIME_DETECTION_ENABLED,KEEP,2,16,True,0.1112
DC_LOW_STOP_ENABLED,KEEP,2,226,True,0.0993
GOLDEN_RULE_HTF_MIN_TFS,KEEP,5,16,1,0.0726
PARTIAL_PROFIT_LOCK_ARM_GAIN_PCT_TRADIER,KEEP,5,16,1.3125,0.0702
START_POSITION_SIZE,KEEP,5,16,250,0.0699
DC_BREAK_LOW_REQUIRE_HTF_ENABLED,KEEP,2,16,True,0.0646
DC_LOW4_STOP_ENABLED,KEEP,2,226,True,0.0442
WT_VEL_DECEL_RATIO,KEEP,5,16,0.25,0.0111
WT_CROSSUNDER_FINAL_ENABLED,KEEP,2,16,False,0.0078
REENTRY_B02_BC156_BOTTOM_ENABLED,KEEP,2,16,False,0.005
REENTRY_B04_DC_RETEST_ENABLED,KEEP,2,16,False,0.0048
WT_VEL_USE_DECEL_RATIO_ONLY,KEEP,2,16,False,0.0048
WT_15M_VEL_SLOW_AT_ZERO_GAIN_ENABLED,KEEP,2,16,False,0.0029
REENTRY_B11_DC_BREAK_ENABLED,KEEP,2,16,False,0.0025
R2_PEAK_MIN_PCT,KEEP,5,16,0.75,0.002
PARTIAL_PROFIT_LOCK_BE_BUFFER_PCT_TRADIER,KEEP,5,16,0.03,0.0018
DELTA_ENTRY_MIN_TF,KEEP,5,16,1.5,0.0009
COMBO,PENDING,2,1,COMBO_PROBE,3.8557
COMBO_PROBE,PENDING,44,1,BASE|COMBO_PROBE,3.8557
ABLATION_DISABLE_QUICK_EXIT,PENDING,2,1,True,0.0
ABLATION_DISABLE_SPIKE_FADE_EXIT,PENDING,2,1,True,0.0
ATR_ADAPTIVE_STOP_ENABLED,PENDING,2,1,True,0.0
ATR_ADAPTIVE_STOP_MULT,PENDING,5,1,1,0.0
ATR_TRAIL_2X_EXIT_ENABLED,PENDING,2,1,True,0.0
BB_RECOVERY_EXIT_ENABLED_TRADIER,PENDING,2,1,True,0.0
BB_RECOVERY_EXIT_TOLERANCE_ATR_MULT_TRADIER,PENDING,3,1,0,0.0
BB_RECOVERY_EXIT_TOLERANCE_PCT_TRADIER,PENDING,5,1,0.15,0.0
CONNORS_RSI_EXIT_THRESHOLD,PENDING,5,1,35,0.0
