rank,key,symbol,side,status,strategy_return_pct,bh_return_pct,alpha_vs_bh_pp,alpha_vs_bh_per_month_pp,real_close_trades,tim_pct,entry_family,exit_family,source_receipt,blockers
1,AMAT_SHORT,AMAT,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,34.39844851007532,-102.66359895159927,137.06204746167458,17.194789381739383,124,12.170304,ENTRY_CLASSIC_FORMATION_WEDGE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_positive_combo_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
2,AXON_SHORT,AXON,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,137.1867823233615,6.651017850035599,130.5357644733259,16.874745780462693,86,16.003539,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
3,WPM_SHORT,WPM,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,70.46431453975472,-0.8477914497772765,71.312105989532,9.211935176897104,106,6.858238,ENTRY_CLASSIC_FORMATION_CUP_HANDLE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
4,AGCO_SHORT,AGCO,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,45.83213552643333,-14.190870881781294,60.02300640821463,7.76645324104637,36,9.96487,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
5,ALB_SHORT,ALB,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,70.31623481547281,11.132685092332382,59.18354972314043,7.6459846561397296,113,7.498563,ENTRY_CLASSIC_FORMATION_CUP_HANDLE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
6,ORCL_SHORT,ORCL,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,100.27016028313714,42.83343075975459,57.43672952338255,7.419436362593706,177,21.989066,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_positive_combo_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
7,QRVO_LONG,QRVO,LONG,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,54.62151914213431,6.090862242267642,48.53065689986667,6.096585531444987,16,2.808828,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
8,NOC_SHORT,NOC,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,45.31022786493165,5.347763677986276,39.96246418694537,5.166142563122346,65,8.060877,ENTRY_CLASSIC_FORMATION_WEDGE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
9,RGLD_SHORT,RGLD,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,41.46545314297735,2.8870620219747116,38.57839112100264,4.987069598836607,81,7.762752,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
10,NEM_SHORT,NEM,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,31.277163203979327,-2.2450252058410842,33.52218840982041,4.330319829066987,107,7.886826,ENTRY_CLASSIC_FORMATION_CUP_HANDLE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
11,TDG_SHORT,TDG,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,37.02535428691432,8.799855539057987,28.225498747856335,3.6511631500119326,73,6.107783,ENTRY_CLASSIC_FORMATION_CUP_HANDLE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
12,HII_SHORT,HII,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,36.77653836031827,8.76148145680002,28.01505690351825,3.624743381149223,71,6.078139,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_TREND_STRUCTURE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v4_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
13,COE_SHORT,COE,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,81.38871915492192,57.90238131568545,23.486337839236462,2.952167904597813,18,4.069459,ENTRY_CLASSIC_FORMATION_TREND_STRUCTURE,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
14,VALE_SHORT,VALE,SHORT,CHEAP_SHARED_ROUTE_CANARY_CANDIDATE,5.316737231968766,-16.703509423611894,22.02024665558066,2.8454477163657548,64,9.444559,ENTRY_CLASSIC_FORMATION_HEAD_SHOULDERS,EXIT_CLASSIC_FORMATION_WEDGE,data/reports/vec_research/capacity_cohort_classic_formations_gate_aware_v2_20260803/campaign_receipt.json,DIRECT_ENTRY_GATE_MASK_NOT_PROVEN
