host,path,mtime_utc,size_bytes,records,status
mac,/Users/niels/Documents/binance/SPREADSHEETS/ALL_PATHS_FILTERS_EXITS_AUGMENTS_REDUCTIONS_REENTRIES_EVERY_ENTRY.xlsx,2026-08-24T03:43:02.195585+00:00,995421,20332,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/ALL_PATHS_FILTERS_EXITS_AUGMENTS_REDUCTIONS_REENTRIES_EVERY_ENTRY_MARKED_20260824.xlsx,2026-08-24T01:30:59.026528+00:00,997262,20359,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/BEAM_PATH_COMBINATIONS_DIAGRAM.xlsx,2026-08-23T15:29:53.434872+00:00,27380,396,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/BOX_15MIN_REPORT.csv,2026-08-25T13:45:32.271374+00:00,244,1,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/CRYPTO_1YR_REAL_MATRIX_NEXT_GEN.csv,2026-08-21T06:13:42.262836+00:00,2254087,274,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/CRYPTO_1YR_REAL_MATRIX_NEXT_GEN.xlsx,2026-08-21T06:13:41.909820+00:00,1108785,431,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/MASTER_SWITCHES_AND_SYMBOLS.xlsx,2026-08-21T06:09:45.630168+00:00,972966,31792,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/MASTER_per_symbol.csv,2026-08-20T22:30:17+00:00,49040,957,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/MASTER_switch_x_symbol.csv,2026-08-20T22:30:17+00:00,62,0,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/MASTER_switches.csv,2026-08-20T22:30:04+00:00,134017,3129,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/PERSYM_APPLIED_REVIEW.xlsx,2026-08-20T23:30:33+00:00,918444,15769,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/STOCKS_1YR_HONEST_PARALLEL_TEST_20260824.csv,2026-08-24T01:11:35.777897+00:00,1258,7,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/STOCKS_1YR_HONEST_PARALLEL_TEST_20260824.xlsx,2026-08-24T01:11:35.770199+00:00,7254,12,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/STOCKS_1YR_LAST_IMPROVED.csv,2026-08-20T23:33:03+00:00,16002,173,ok
mac,/Users/niels/Documents/binance/SPREADSHEETS/STOCKS_1YR_REAL_MATRIX_NEXT_GEN.csv,2026-08-25T13:24:43.900148+00:00,81147,34,ok
