host,path,mtime_utc,size_bytes,records,status
s1,/home/niels/binance-sandbox/SPREADSHEETS/ALL_PATHS_FILTERS_EXITS_AUGMENTS_REDUCTIONS_REENTRIES_EVERY_ENTRY.xlsx,2026-08-24T02:58:11.438324+00:00,995421,20332,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/ALL_PATHS_FILTERS_EXITS_AUGMENTS_REDUCTIONS_REENTRIES_EVERY_ENTRY_MARKED_20260824.xlsx,2026-08-24T01:30:59.026528+00:00,997262,20359,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/BEAM_PATH_COMBINATIONS_DIAGRAM.xlsx,2026-08-23T15:29:53.434872+00:00,27380,396,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/BOX_15MIN_REPORT.csv,2026-08-24T03:00:14.356408+00:00,244,1,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/CLUSTER_AUDIT.xlsx,2026-08-21T17:10:59.664288+00:00,8757,85,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/CRYPTO_1YR_REAL_MATRIX_NEXT_GEN.csv,2026-08-25T18:36:05.685777+00:00,1038821,134,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/CRYPTO_1YR_REAL_MATRIX_NEXT_GEN.xlsx,2026-08-25T18:36:05.517775+00:00,530600,291,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/MASTER_SWITCHES_AND_SYMBOLS.xlsx,2026-08-21T06:09:45.630168+00:00,972966,31792,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/MASTER_per_symbol.csv,2026-08-20T22:30:17+00:00,49040,957,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/MASTER_switch_x_symbol.csv,2026-08-20T22:30:17+00:00,62,0,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/MASTER_switches.csv,2026-08-20T22:30:04+00:00,134017,3129,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/OPT_SWITCH_MATRIX_STOCK.D_GAIN_MO.csv,2026-08-21T05:59:18.085371+00:00,149447,35,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/OPT_SWITCH_MATRIX_STOCK.xlsx,2026-08-21T05:59:18.035371+00:00,731556,315,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/PERSYM_APPLIED_REVIEW.xlsx,2026-08-20T23:30:33.352062+00:00,918444,15769,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_1YR_HONEST_PARALLEL_TEST_20260824.csv,2026-08-24T01:11:35.777897+00:00,1258,7,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_1YR_HONEST_PARALLEL_TEST_20260824.xlsx,2026-08-24T01:11:35.770199+00:00,7254,12,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_1YR_LAST_IMPROVED.csv,2026-08-20T23:33:03.452346+00:00,16002,173,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_1YR_REAL_MATRIX_NEXT_GEN.csv,2026-08-25T18:36:03.160753+00:00,76725,32,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_1YR_REAL_MATRIX_NEXT_GEN.xlsx,2026-08-25T18:36:03.143753+00:00,56971,189,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_INT_VS_FRAC_184.csv,2026-08-23T02:36:54.192586+00:00,17763,37,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/STOCKS_INT_VS_FRAC_184.xlsx,2026-08-23T02:36:54.189586+00:00,55031,238,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/SWITCHES_NOT_CONNECTED.csv,2026-08-21T16:46:49.864744+00:00,137232,1156,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/SWITCHES_NOT_CONNECTED.xlsx,2026-08-21T16:46:49.853744+00:00,155835,3214,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/SWITCH_STATUS.xlsx,2026-08-22T00:10:56.651204+00:00,155868,2973,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/TRB_INT_vs_FRACT_sidebyside_20260822.xlsx,2026-08-22T20:27:46.590865+00:00,28494,188,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/V12_1MO_UNTESTED_RANK_20260824.csv,2026-08-24T02:03:38.242534+00:00,4123,40,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/V12_1MO_UNTESTED_RANK_20260824.xlsx,2026-08-24T02:03:38.240784+00:00,9308,53,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/WINNING_10X_66.csv,2026-08-21T06:05:03.178625+00:00,2371,61,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/WINNING_REALITY_500_300.csv,2026-08-21T05:56:19.407388+00:00,373,8,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/WINNING_SWITCHES_162.csv,2026-08-21T05:52:09.867205+00:00,13938,162,ok
s1,/home/niels/binance-sandbox/SPREADSHEETS/WINNING_SWITCHES_EVEN_STOCKS_88.csv,2026-08-21T05:55:45.854434+00:00,7490,88,ok
