field,classification,connected_crypto,connected_tradier,source_venue_applicability,family,lifecycle_consumers,exact_native_tf_crypto,exact_native_tf_tradier,required_npz_arrays,timeframe_applicability,v12_causal_read_sites,integrated_contract_sites,classification_reason,current_quickconfig_presence_not_used_as_credit,prior_vector_census_not_used_as_credit,prior_live_census_not_used_as_credit,engine_sha256
ABLATION_DISABLE_FAST_RISER,UNCONNECTED,False,False,BOTH,GLOBAL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ABLATION_DISABLE_SCALP_GUARD,UNCONNECTED,False,False,BOTH,FILTER,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_DC_BREAKDOWN_THRESHOLD,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_DC,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_DC_BREAKOUT_THRESHOLD,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_DC,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_DECAY_HALFLIFE_H,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_DECAY,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_HEAT_TRIGGER,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_HEAT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_LOOKBACK_DAYS,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_LOOKBACK,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_MIN_SIGNALS,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_MIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_NPZ_CACHE_HOURS,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_NPZ,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ADAPTIVE_REGIME_SHARPE_FLOOR,UNCONNECTED,False,False,BOTH,ADAPTIVE_REGIME_SHARPE,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
AGGRESSIVE_LOSS_CUT_ENABLED,UNCONNECTED,False,False,BOTH,AGGRESSIVE_LOSS_CUT,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ALL_TF_AGAINST_CLOSE_ENABLED,CONNECTED_CRYPTO,True,False,BOTH,EXIT,EXIT,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv""]",trusted causal route is crypto-native/source-scoped; no Tradier connection credit,False,True,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ALL_TF_AGAINST_CLOSE_MIN_TFS,CONNECTED_CRYPTO,True,False,BOTH,EXIT,EXIT,native=3m;required=3m|15m|1h|4h|D,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],"[""v12_exit_reduce_gap_batch2:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH2_CONTRACT.csv""]",trusted causal route is crypto-native/source-scoped; no Tradier connection credit,False,False,True,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_STOPS_ENABLED,UNCONNECTED,False,False,BOTH,ASYMMETRIC_STOPS_ENABLED,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""close_{tf}"",""high_{tf}"",""low_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,True,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ASYMMETRIC_WINNER_GAIN_PCT,UNCONNECTED,False,False,BOTH,ASYMMETRIC_WINNER_GAIN,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,[],"[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_PARITY_TARGET_RISK_PCT,UNCONNECTED,False,False,BOTH,ATR_PARITY_TARGET,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_{tf}""]","[""ANY_AVAILABLE""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
ATR_TRAIL_FILTER_TF,UNCONNECTED,False,False,BOTH,VEC_ATR_TRAIL,,N/A_NOT_CONNECTED,N/A_NOT_CONNECTED,"[""atr_15m"",""atr_1h"",""atr_1m"",""atr_3m"",""atr_4h"",""atr_D"",""close_15m"",""close_1h"",""close_1m"",""close_3m"",""close_4h"",""close_D"",""high_15m"",""high_1h"",""high_1m"",""high_3m"",""high_4h"",""high_D"",""low_15m"",""low_1h"",""low_1m"",""low_3m"",""low_4h"",""low_D""]","[""1m"",""3m"",""15m"",""1h"",""4h"",""D""]",[],[],no trusted frozen-engine lifecycle read and no imported+consumed SOURCE_EXACT contract,False,False,False,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
