field,operational_field,approved_debug_artifact_excluded,historical_missing_from_baseline_quickconfig,present_in_current_quickconfig,current_growth_since_baseline,authoritative_type,authoritative_default,authoritative_grid,authoritative_grid_source,authoritative_definition_selected,authoritative_definition_sites,inventory_sources,inventory_groups,catalog_present,family,required_npz_arrays,required_npz_arrays_basis,side_applicability,venue_applicability,timeframe_applicability,existing_vector_read,existing_vector_read_sites,rejected_vector_census_sites,existing_live_read,existing_live_read_sites,rejected_live_census_sites,recommended_disjoint_vector_tranche
ABLATION_DISABLE_FAST_RISER,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":2577,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":2577,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":2037,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""GLOBAL"",""RECENT_5D""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:45934:process_position:getattr"",""tradier_manage.py:2710:<module>:getattr""]",[],11_CROSS_CUTTING_OTHER
ABLATION_DISABLE_SCALP_GUARD,True,False,True,False,False,bool,False,"[false,true]",TYPE_COMPLETE_BOOL_GRID,"{""annotation"":""bool"",""default"":false,""line"":2585,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""}","[{""annotation"":""bool"",""default"":false,""line"":2585,""literal_default_available"":true,""source"":""config.py"",""type"":""bool""},{""annotation"":""bool"",""default"":false,""line"":2076,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""bool""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""FILTER"",""RECENT_5D""]",False,FILTER,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""tradier_manage.py:2716:<module>:getattr""]",[],11_CROSS_CUTTING_OTHER
ACCOUNTS,True,False,True,False,False,"Dict[str, Dict[str, str]]",,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Dict[str, Dict[str, str]]"",""default"":null,""line"":1964,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Dict[str, Dict[str, str]]""}","[{""annotation"":""Dict[str, Dict[str, str]]"",""default"":null,""line"":1964,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Dict[str, Dict[str, str]]""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED"",""GLOBAL""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""tradier_manage.py:25293:main:attribute""]",[],10_EXTERNAL_STATE_INPUTS
ACCOUNT_KEYS,True,False,True,False,False,list,"[""tra"",""trb"",""trc""]","[[""tra"",""trb"",""trc""]]",DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":"""",""default"":[""tra"",""trb"",""trc""],""line"":1013,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""list""}","[{""annotation"":""List[str]"",""default"":null,""line"":3696,""literal_default_available"":false,""source"":""config.py"",""type"":""List[str]""},{""annotation"":"""",""default"":[""tra"",""trb"",""trc""],""line"":1013,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""list""}]","[""DISCONNECTED_LIVE_PATHS"",""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED"",""GLOBAL""]",False,GLOBAL,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],True,"[""ez_manage.py:10404:log_btcusdc_refresh:attribute"",""ez_manage.py:11296:initialize_clients:attribute"",""ez_manage.py:11298:initialize_clients:attribute"",""ez_manage.py:13359:close_clients:attribute"",""ez_manage.py:13361:close_clients:attribute"",""ez_manage.py:15167:get_relevant_accounts_for_symbol:attribute"",""ez_manage.py:16749:find_position_by_symbol:attribute"",""ez_manage.py:16833:get_current_price:attribute"",""ez_manage.py:17482:_enforce_positions_sync:getattr"",""ez_manage.py:17650:_load_positions_all_accounts:attribute"",""ez_manage.py:2514:check_server_heartbeat:attribute"",""ez_manage.py:2559:check_server_heartbeat:attribute"",""ez_manage.py:2598:update_server_heartbeat:attribute"",""ez_manage.py:2677:delete_server_heartbeat:attribute"",""ez_manage.py:2689:delete_server_heartbeat:attribute"",""ez_manage.py:2745:restore_heartbeat_on_ban_lifted:attribute"",""ez_manage.py:2767:periodic_heartbeat_update:attribute"",""ez_manage.py:29260:monitor_dc_breach_reduce:attribute"",""ez_manage.py:30431:momentum_sma_watchdog_loop:attribute"",""ez_manage.py:30550:momentum_sma_watchdog_loop:attribute"",""ez_manage.py:3101:monitor_system_state:attribute"",""ez_manage.py:31032:ratio_rebalance_loop:attribute"",""ez_manage.py:31033:ratio_rebalance_loop:attribute"",""ez_manage.py:31055:ratio_rebalance_loop:attribute"",""ez_manage.py:3525:<module>:attribute"",""ez_manage.py:35752:_filter_position_keys:getattr"",""ez_manage.py:37004:evaluate_reentry_2:getattr"",""ez_manage.py:39682:monitor_stale_augmentations:getattr"",""ez_manage.py:39884:process_position:getattr"",""ez_manage.py:47123:periodic_tasks:attribute"",""ez_manage.py:47872:outlier_scan_loop:attribute"",""ez_manage.py:48111:capital_reallocation_loop:attribute"",""ez_manage.py:48763:_price_level_reentry_monitor:getattr"",""ez_manage.py:49226:periodic_evaluate_reentry_loop:getattr"",""ez_manage.py:49455:load_accounts:attribute"",""ez_manage.py:49456:load_accounts:attribute"",""ez_manage.py:50463:_load_positions:attribute"",""ez_manage.py:50960:main:attribute"",""ez_manage.py:51314:main:attribute"",""ez_manage.py:51593:main:attribute"",""ez_manage.py:6265:mark_price_guard_loop:attribute"",""ez_manage.py:6705:quick_price:attribute"",""ez_manage.py:7790:__init__:attribute"",""ez_manage.py:8258:_get_position_obj:getattr"",""ez_manage.py:8564:_load_positions_from_files:attribute"",""ez_positions_quick.py:1007:restore_heartbeat_on_ban_lifted:attribute"",""ez_positions_quick.py:16359:reentry_enforcement_loop_epq:getattr"",""ez_positions_quick.py:17208:evaluate_reentry_2_epq:getattr"",""ez_positions_quick.py:496:check_server_heartbeat:attribute"",""ez_positions_quick.py:518:update_server_heartbeat:attribute"",""ez_positions_quick.py:5562:monitor_hedge_health_loop:attribute"",""ez_positions_quick.py:6186:breathing_hedge_scan:attribute"",""ez_positions_quick.py:6364:breathing_hedge_scan:attribute"",""ez_positions_quick.py:982:delete_server_heartbeat:attribute"",""ez_positions_quick.py:989:delete_server_heartbeat:attribute"",""tradier_manage.py:15212:evaluate_reentry:_cfg_auto"",""tradier_manage.py:4055:_own_accounts_from_argv:_cfg_auto"",""tradier_manage.py:4068:<module>:_cfg_auto""]",[],10_EXTERNAL_STATE_INPUTS
ACCOUNT_OVERRIDES,True,False,True,False,False,"Dict[str, Dict]",,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Dict[str, Dict]"",""default"":null,""line"":459,""literal_default_available"":false,""source"":""config.py"",""type"":""Dict[str, Dict]""}","[{""annotation"":""Dict[str, Dict]"",""default"":null,""line"":459,""literal_default_available"":false,""source"":""config.py"",""type"":""Dict[str, Dict]""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,ACCOUNT_OVERRIDES,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],10_EXTERNAL_STATE_INPUTS
ACCOUNT_SIDE_MAPPING,True,False,True,False,False,"Dict[str, List[str]]",,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Dict[str, List[str]]"",""default"":null,""line"":116,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Dict[str, List[str]]""}","[{""annotation"":""Dict[str, List[str]]"",""default"":null,""line"":4169,""literal_default_available"":false,""source"":""config.py"",""type"":""Dict[str, List[str]]""},{""annotation"":""Dict[str, List[str]]"",""default"":null,""line"":116,""literal_default_available"":false,""source"":""config_tradier.py"",""type"":""Dict[str, List[str]]""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,ACCOUNT_SIDE_MAPPING,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],10_EXTERNAL_STATE_INPUTS
ACCOUNT_TP_PCT,True,False,True,False,False,"Dict[str, float]",,[],NO_AUTHORITATIVE_GRID,"{""annotation"":""Dict[str, float]"",""default"":null,""line"":2357,""literal_default_available"":false,""source"":""config.py"",""type"":""Dict[str, float]""}","[{""annotation"":""Dict[str, float]"",""default"":null,""line"":2357,""literal_default_available"":false,""source"":""config.py"",""type"":""Dict[str, float]""}]","[""ENGINE_AUTO_WIRED""]","[""ENGINE_AUTO_WIRED""]",False,ACCOUNT_TP_PCT,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],10_EXTERNAL_STATE_INPUTS
ADAPTIVE_REGIME_DC_BREAKDOWN_THRESHOLD,True,False,True,False,False,float,0.1,[0.1],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":0.1,""line"":2775,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":0.1,""line"":2775,""literal_default_available"":true,""source"":""config.py"",""type"":""float""},{""annotation"":""float"",""default"":0.1,""line"":2078,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,ADAPTIVE_REGIME_DC,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],09_TIMING_POSITION_LIFECYCLE
ADAPTIVE_REGIME_DC_BREAKOUT_THRESHOLD,True,False,True,False,False,float,0.9,[0.9],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":0.9,""line"":2774,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":0.9,""line"":2774,""literal_default_available"":true,""source"":""config.py"",""type"":""float""},{""annotation"":""float"",""default"":0.9,""line"":2079,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,ADAPTIVE_REGIME_DC,"[""dc_basis_{tf}"",""dc_high_{tf}"",""dc_low_{tf}""]",CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],09_TIMING_POSITION_LIFECYCLE
ADAPTIVE_REGIME_DECAY_HALFLIFE_H,True,False,True,False,False,float,24.0,[24.0],DEFAULT_ONLY_NEEDS_AUTHORIZED_GRID,"{""annotation"":""float"",""default"":24.0,""line"":2778,""literal_default_available"":true,""source"":""config.py"",""type"":""float""}","[{""annotation"":""float"",""default"":24.0,""line"":2778,""literal_default_available"":true,""source"":""config.py"",""type"":""float""},{""annotation"":""float"",""default"":24.0,""line"":2080,""literal_default_available"":true,""source"":""config_tradier.py"",""type"":""float""}]","[""ENGINE_AUTO_WIRED"",""RECENT_RESULTS_5D""]","[""ENGINE_AUTO_WIRED"",""RECENT_5D""]",False,ADAPTIVE_REGIME_DECAY,[],CONSERVATIVE_NAME_FAMILY_INFERENCE_NOT_IMPLEMENTATION_PROOF,BOTH,BOTH,"[""ANY_AVAILABLE""]",False,[],[],False,[],[],11_CROSS_CUTTING_OTHER
