field,status,blocked_reason,authoritative_read_site
BB4H_BREAKOUT_LADDER_BASIS_PCT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:3948:evaluate_bb4h_breakout_ladder:getattr
BB4H_BREAKOUT_LADDER_BREAKOUT_PCT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:3947:evaluate_bb4h_breakout_ladder:getattr
BB4H_BREAKOUT_LADDER_WT_CROSS_PCT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:3949:evaluate_bb4h_breakout_ladder:getattr
BB_BREAKOUT_CONT_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:41909:process_position:getattr
BB_BREAKOUT_CONT_HOURS,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:41908:process_position:getattr
BTC_BREAKOUT_ENTRY_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:2679:simulate_one_symbol:getattr
BTC_ENTRY_DIV_ONLY_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:2693:simulate_one_symbol:getattr
COLD_START_OPEN_BYPASS_SUPPRESS_SEC,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:24240:execute_now:getattr
DC_BB_CROSSBACK_HYSTERESIS_PCT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:41905:process_position:getattr
DELTA_ENTRY_MIN_TF,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:7712:__init__:getattr
DELTA_ENTRY_SCORE_BONUS,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2397:rate:getattr
DELTA_ENTRY_SCORE_PENALTY,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2398:rate:getattr
DG_REPEAT_OPEN_PER_DAY_MAX,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,tradier_manage.py:18631:_disaster_guard_for_entry:_cfg_auto
ENTRY_VET_NO_STRUCT_OR_BREAKOUT_REQUIRED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:1148:check_entry_vetting:getattr
ENTRY_VET_RELAX_MODE,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:1149:check_entry_vetting:getattr
GOLDEN_RULE_ENTRY_TF_LIST,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:10658:_oat_mask:getattr
HEDGE_OPEN_OB_CHECK_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:7563:_execute_same_symbol_hedge_inner:getattr
HEDGE_OPEN_OB_IMB_BOUND,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:7564:_execute_same_symbol_hedge_inner:getattr
K3M_CAP_BREAKOUT_BYPASS,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2744:rate:getattr
LEADERBOARD_ENTRY_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:3908:simulate_one_symbol:getattr
MANDATORY_PRICE_CROSS_EPQ_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:4083:simulate_one_symbol:getattr
MOMENTUM_BREAKOUT_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:6416:simulate_one_symbol:getattr
MTF_ARROW_SHORT_ENTRY_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,tradier_manage.py:7080:process_position:_cfg
MTS_ENTRY_QUALITY_BONUS,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2699:rate:getattr
MTS_ENTRY_QUALITY_MIN,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2689:rate:getattr
MTS_ENTRY_QUALITY_MIN_SHORT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2692:rate:getattr
MTS_ENTRY_QUALITY_STRONG,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:2698:rate:getattr
OPEN_RATE_BREAKER_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:24296:execute_now:getattr
OPEN_RATE_MAX,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:24298:execute_now:getattr
OPEN_RATE_WINDOW_SEC,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:24297:execute_now:getattr
PRICE_CROSSED_HTF_AGAINST_VETO_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_manage.py:36284:process_single_reentry_evaluation:getattr
QUALITY_BOTTOM_ENTRY_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:6369:simulate_one_symbol:getattr
QUICK_OPEN_STRONG_BB_LONG_MAX,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:324:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_BB_SHORT_MIN,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:326:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_DC_LONG_MAX,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:331:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_DC_SHORT_MIN,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:333:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_K_LONG_MAX,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:317:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_K_SHORT_MIN,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:319:check_quick_open_strong_entry:getattr
QUICK_OPEN_STRONG_VEC_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,v12_wide_engine.py:7815:simulate_one_symbol:getattr
QUICK_OPEN_STRONG_VEL_MIN,BLOCKED,AUTHORITATIVE_VEC_HELPER_SELF_LABELS_5_OF_10_APPROXIMATION,vec_paths/live_only_signals_batch5.py:300:check_quick_open_strong_entry:getattr
RZ_BASELINE_BOUNCE_SHORT_ENABLED,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:8028:__init__:getattr
SCALP_V2_ENTRY_MODE,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,vec_paths/scalp_v2.py:137:check_scalp_v2_entry:getattr
SCALP_V3_REQUIRE_SR_ON_ENTRY,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:18738:_scalp_v3_attempt_open:getattr
SCALP_V3_SCAN_MIN_DIVERGENCE,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:18065:_scalp_v3_scan_once:getattr
STDEV_BREAKOUT_HTF_LIST,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:11769:detect_stdev_breakout:getattr
STDEV_BREAKOUT_PCTB_LONG,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:11771:detect_stdev_breakout:getattr
STDEV_BREAKOUT_PCTB_SHORT,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:11772:detect_stdev_breakout:getattr
STDEV_BREAKOUT_RETEST_TF_LIST,BLOCKED,PATTERN_ONLY_EXACT_ARRAY_BINDING_NOT_PROVEN,ez_positions_quick.py:11770:detect_stdev_breakout:getattr
