field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
GOLDEN_RULE_ACTIVATION_TF_LIST,List[str],[],[],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,golden_rule_htf.py:104-153;vec_paths/golden_rule_enforce.py:220-231,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BASE_USD,float,5.0,[5.0],GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,"ez_manage.py:_golden_rule_loop;vec_paths/golden_rule_enforce.py:105,316-321",FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BB_15M_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:107-129,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BB_1H_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:109-177,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BB_4H_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:111-178,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BB_D_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:113-179,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_BB_W_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:115-180,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_DC_15M_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:106-129,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_DC_1H_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:108-177,FAIL_CLOSED_N_A_DATA
GOLDEN_RULE_DC_4H_ENABLED,bool,true,"[false,true]",GOLDEN_RULE,close|wt1_{native}|wt2_{native}|dc_high_15m|dc_low_15m|bb_upper_15m|bb_lower_15m|dc_high_1h|dc_low_1h|bb_upper_1h|bb_lower_1h|dc_high_4h|dc_low_4h|bb_upper_4h|bb_lower_4h|dc_high_D|dc_low_D|bb_upper_D|bb_lower_D|dc_high_W|dc_low_W|bb_upper_W|bb_lower_W|wt1_{tf}|wt2_{tf}|rsi_{tf}|mfi_{tf}|dc_position_{tf}|bb_pct_b_{tf}|relative_volume_{tf}|stoch_k_{tf}|dc_high_{tf}|dc_low_{tf}|bb_upper_{tf}|bb_lower_{tf}|close_{tf},candidate_mask|cooldown_ready|current_notional,ENTRY|AUGMENT,vec_paths/golden_rule_enforce.py:110-178,FAIL_CLOSED_N_A_DATA
