field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
WT_COMPOSITE_SCORING_ENABLED,bool,true,"[false,true]",WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short|wt_oversold_tf_count|wt_overbought_tf_count|wt_hl_count|wt_lh_count|wt_bull_cross_count|wt_bear_cross_count|wt_any_bull_div|wt_any_bear_div,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2399-2480,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_HTF_GATE,bool,false,"[false,true]",WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2399-2430,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_ENTRY_BLOCK,float,-20.0,[-20.0],WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2418-2430,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_ENTRY_STRONG,float,50.0,[50.0],WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short|wt_oversold_tf_count|wt_overbought_tf_count|wt_hl_count|wt_lh_count|wt_bull_cross_count|wt_bear_cross_count|wt_any_bull_div|wt_any_bear_div,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2432-2480,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_ENTRY_GOOD,float,30.0,[30.0],WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short|wt_oversold_tf_count|wt_overbought_tf_count|wt_hl_count|wt_lh_count|wt_bull_cross_count|wt_bear_cross_count|wt_any_bull_div|wt_any_bear_div,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2432-2480,FAIL_CLOSED_N_A_DATA
WT_COMPOSITE_ENTRY_OK,float,10.0,[10.0],WT_COMPOSITE,wt_bull_alignment|wt_bear_alignment|wt_composite_long|wt_composite_short|wt_oversold_tf_count|wt_overbought_tf_count|wt_hl_count|wt_lh_count|wt_bull_cross_count|wt_bear_cross_count|wt_any_bull_div|wt_any_bear_div,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2432-2480,FAIL_CLOSED_N_A_DATA
DC_MOMENT_ENABLED,bool,false,"[false,true]",DC_MOMENT,0dc_moment,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2481-2496,FAIL_CLOSED_N_A_DATA
DC_MOMENT_STRONG_THRESHOLD,float,40.0,[40.0],DC_MOMENT,0dc_moment,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2481-2496,FAIL_CLOSED_N_A_DATA
DC_MOMENT_STRONG_BONUS,float,10.0,[10.0],DC_MOMENT,0dc_moment,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2481-2496,FAIL_CLOSED_N_A_DATA
DC_MOMENT_OPPOSITE_PENALTY,float,-15.0,[-15.0],DC_MOMENT,0dc_moment,candidate_mask|is_exit,ENTRY,ez_positions_quick.py:2481-2496,FAIL_CLOSED_N_A_DATA
