field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,supported_modes,source_exact_site,missing_behavior
MTS_GATE_ENABLED,bool,true,"[false,true]",MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2683-2703;analyze_multi_tf_state:693-897,FAIL_CLOSED_N_A_DATA
MTS_BOTTOM_MIN,float,15.0,[15.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2683-2703,FAIL_CLOSED_N_A_DATA
MTS_BOTTOM_MIN_SHORT,float,10.0,[10.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2683-2703,FAIL_CLOSED_N_A_DATA
MTS_ENTRY_QUALITY_MIN,float,8.0,[8.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2683-2703,FAIL_CLOSED_N_A_DATA
MTS_ENTRY_QUALITY_MIN_SHORT,float,5.0,[5.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2683-2703,FAIL_CLOSED_N_A_DATA
MTS_BOTTOM_STRONG_THRESHOLD,float,40.0,[40.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2695-2703,FAIL_CLOSED_N_A_DATA
MTS_BOTTOM_BONUS_THRESHOLD,float,25.0,[25.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2695-2703,FAIL_CLOSED_N_A_DATA
MTS_ENTRY_QUALITY_STRONG,float,40.0,[40.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2695-2703,FAIL_CLOSED_N_A_DATA
MTS_ENTRY_QUALITY_BONUS,float,25.0,[25.0],MTS_ENTRY,,candidate_mask|is_exit|mts_bottom_score|mts_entry_quality,ENTRY,crypto,ez_positions_quick.py:2695-2703,FAIL_CLOSED_N_A_DATA
MI_ENTRY_ENABLED,bool,false,"[false,true]",MI_ENTRY,wt_trough_structure_1h|wt_trough_structure_4h|wt_peak_structure_1h|wt_peak_structure_4h|wt_momentum_state_1h|wt_momentum_state_4h|wt_divergence_1h,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2704-2724,FAIL_CLOSED_N_A_DATA
MI_ENTRY_STRUCT_BONUS,int,10,[10],MI_ENTRY,wt_trough_structure_1h|wt_trough_structure_4h|wt_peak_structure_1h|wt_peak_structure_4h|wt_momentum_state_1h|wt_momentum_state_4h|wt_divergence_1h,candidate_mask|is_exit,ENTRY,crypto,ez_positions_quick.py:2704-2724,FAIL_CLOSED_N_A_DATA
