field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,source_exact_site,missing_behavior
OBLIGATORY_REENTRY_DEFAULT_SIZE_MULT,float,1.0,[1.0],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:312,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_ENABLED,bool,true,"[false,true]",OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:266,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_K15_HIGH_BLOCK,float,95.0,[95.0],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:333,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_K15_HIGH_SIZE_FRAC,float,0.5,[0.5],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:334,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_LONG_ENABLED,bool,true,"[false,true]",OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:268-270,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SCORE_TIER1,int,40,[40],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:307,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SCORE_TIER2,int,30,[30],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:308,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SCORE_TIER3,int,30,[30],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:309,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SHORT_ENABLED,bool,true,"[false,true]",OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:268-270,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SHORT_K15_LOW_BLOCK,float,5.0,[5.0],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:339,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SHORT_K15_LOW_SIZE_FRAC,float,0.5,[0.5],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:340,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SHORT_SMA_BOUNCE_SIZE_MULT,float,1.5,[1.5],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:310-311,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SMA_BOUNCE_SIZE_MULT,float,1.5,[1.5],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:310-311,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SMA_FIELD,str,"""ema_50""","[""ema_50""]",OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:277,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_SMA_TF,str,"""15m""","[""15m""]",OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:276,FAIL_CLOSED_N_A_DATA_OR_STATE
OBLIGATORY_REENTRY_TIER1_HTF_REQUIRED,int,3,[3],OBLIGATORY_REENTRY,close|ema_50_15m|ema_50_15m_prev|stoch_k_15m|dc_high4_3m|dc_low4_3m|wt_bullish_3m|wt_bullish_15m|wt_bullish_1h|wt_bullish_4h|wt_bullish_D,candidate_mask|exit_price|prev_close,ez_reentry.py:305,FAIL_CLOSED_N_A_DATA_OR_STATE
