field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,required_state_arrays,lifecycle_filter_consumers,source_exact_site,missing_behavior
BTC_ACCEL_RAMP_MIN_TFS,int,5,"[2,3,4]",BTC_PRIMARY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence,ENTRY|REENTRY,"btc_loop.py:428-434,462-468",FAIL_CLOSED_N_A_DATA
BTC_ACCEL_RAMP_REQUIRE_POSITIVE,bool,true,"[true,false]",BTC_PRIMARY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence,ENTRY|REENTRY,ez_positions_quick.py:1957;btc_loop.py:91-127,FAIL_CLOSED_N_A_DATA
BTC_ENTRY_PRIMARY_REQUIRE_ACCEL_RAMP,bool,true,"[true,false]",BTC_PRIMARY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence,ENTRY|REENTRY,"btc_loop.py:428,462",FAIL_CLOSED_N_A_DATA
BTC_ENTRY_PRIMARY_REQUIRE_RZ,bool,true,"[true,false]",BTC_PRIMARY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence,ENTRY|REENTRY,"btc_loop.py:425,460",FAIL_CLOSED_N_A_DATA
BTC_FOLLOW_THROUGH_MIN_MOVE_PCT,float,0.3,"[0.05,0.5,1.0]",BTC_FOLLOW_THROUGH,close|wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|prior_exit_matches_side|last_exit_price|bars_since_last_exit,REENTRY,OPUS_VOMIT.py:4471-4491,FAIL_CLOSED_N_A_DATA
BTC_FOLLOW_THROUGH_REENTRY_ENABLED,bool,true,"[true,false]",BTC_FOLLOW_THROUGH,close|wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|prior_exit_matches_side|last_exit_price|bars_since_last_exit,REENTRY,OPUS_VOMIT.py:4471-4491,FAIL_CLOSED_N_A_DATA
BTC_GUARANTEED_REENTRY_ENABLED,bool,true,"[true,false]",BTC_GUARANTEED_REENTRY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence|flat|has_prior_exit|bars_since_last_exit,REENTRY,btc_loop.py:642-675,FAIL_CLOSED_N_A_DATA
BTC_GUARANTEED_REENTRY_MAX_AGE_BARS,int,480,[480],BTC_GUARANTEED_REENTRY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence|flat|has_prior_exit|bars_since_last_exit,REENTRY,btc_loop.py:655-656,FAIL_CLOSED_N_A_DATA
BTC_GUARANTEED_REENTRY_MIN_GAP_BARS,int,5,"[1,10,20]",BTC_GUARANTEED_REENTRY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence|flat|has_prior_exit|bars_since_last_exit,REENTRY,btc_loop.py:653-654,FAIL_CLOSED_N_A_DATA
BTC_GUARANTEED_REENTRY_REQUIRE_RZ_BOUNCE,bool,true,"[false,true]",BTC_GUARANTEED_REENTRY,wt_velocity_3m|wt_acceleration_3m|wt_velocity_15m|wt_acceleration_15m|wt_velocity_1h|wt_acceleration_1h|wt_velocity_4h|wt_acceleration_4h|wt_velocity_D|wt_acceleration_D,candidate_mask|red_zone_active|opposing_divergence|flat|has_prior_exit|bars_since_last_exit,REENTRY,btc_loop.py:657-658,FAIL_CLOSED_N_A_DATA
