field,authoritative_type,authoritative_default_json,authoritative_grid_json,family,required_npz_arrays,source_exact_site,missing_behavior
BOUNCE_REENTRY_K_RESET_LONG,int,35,[35],BOUNCE_RESET,stoch_k_3m,ez_positions_quick.py:3107,FAIL_CLOSED_N_A_DATA
BOUNCE_REENTRY_K_RESET_SHORT,int,65,[65],BOUNCE_RESET,stoch_k_3m,ez_positions_quick.py:3108,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_REQUIRE_K_NOT_EXTREME,bool,true,"[false,true]",MANDATORY_PRICE_CROSS,stoch_k_3m,ez_positions_quick.py:3130,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_K_HIGH_BLOCK,float,80.0,[80.0],MANDATORY_PRICE_CROSS,stoch_k_3m,ez_positions_quick.py:3131,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_K_LOW_BLOCK,float,20.0,[20.0],MANDATORY_PRICE_CROSS,stoch_k_3m,ez_positions_quick.py:3132,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_ALLOW_WT0_STRONG_CROSS,bool,false,"[false,true]",MANDATORY_PRICE_CROSS,close|wt1_3m|wt2_3m,"ez_positions_quick.py:3133,3175",FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_STRICT_CONFIRMATION,bool,true,"[false,true]",GUARANTEED_STRICT,stoch_k_3m,ez_positions_quick.py:16509-16525,FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_K_HIGH_BLOCK,float,80.0,[80.0],GUARANTEED_STRICT,stoch_k_3m,ez_positions_quick.py:16511,FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_K_LOW_BLOCK,float,20.0,[20.0],GUARANTEED_STRICT,stoch_k_3m,ez_positions_quick.py:16512,FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_K_FAVORABLE_LOW,float,30.0,[30.0],GUARANTEED_STRICT,stoch_k_3m,ez_positions_quick.py:16513,FAIL_CLOSED_N_A_DATA
GUARANTEED_REENTRY_K_FAVORABLE_HIGH,float,70.0,[70.0],GUARANTEED_STRICT,stoch_k_3m,ez_positions_quick.py:16514,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_WT_FILTER_TF_MODE,str,"""15m_only""","[""15m_only""]",MANDATORY_WT,wt1_15m|wt2_15m|wt_velocity_15m,tradier_reentry_wt_contract.py:31-75,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_WT_FILTER_MIN_TFS,int,1,[1],MANDATORY_WT,wt1_15m|wt2_15m,tradier_reentry_wt_contract.py:31-75,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_WT_FILTER_REQUIRE_FLIP,bool,false,"[false,true]",MANDATORY_WT,wt1_15m|wt2_15m,tradier_reentry_wt_contract.py:57-64,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_WT_FILTER_VELOCITY_RATIO,float,0.9,[0.9],MANDATORY_WT,wt_velocity_15m,tradier_reentry_wt_contract.py:65-70,FAIL_CLOSED_N_A_DATA
MANDATORY_REENTRY_WT_FILTER_MIN_VELOCITY,float,0.0,[0.0],MANDATORY_WT,wt_velocity_15m,tradier_reentry_wt_contract.py:65-70,FAIL_CLOSED_N_A_DATA
REENTRY2_DC_BREAK_ALLOW_15M,bool,true,"[false,true]",REENTRY2_DC_BREAK,dc_high_15m|dc_low_15m,"ez_manage.py:36119,36135-36147",FAIL_CLOSED_N_A_DATA
REENTRY2_DC_BREAK_REQUIRE_K_FILTER,bool,true,"[false,true]",REENTRY2_DC_BREAK,k_3m|d_3m,"ez_manage.py:36120,36127-36147",FAIL_CLOSED_N_A_DATA
REENTRY2_DC_BREAK_REQUIRE_WT_FILTER,bool,false,"[false,true]",REENTRY2_DC_BREAK,wt1_3m|wt2_3m,"ez_manage.py:36121,36127-36147",FAIL_CLOSED_N_A_DATA
REENTRY2_DC_BREAK_FILTER_TF,str,"""3m""","[""3m""]",REENTRY2_DC_BREAK,k_3m|d_3m|wt1_3m|wt2_3m,"ez_manage.py:36122,36127-36147",FAIL_CLOSED_N_A_DATA
AUGMENT_ONLY_WHEN_PROFITABLE,bool,true,"[false,true]",AUGMENT_ADMISSION,,ez_positions_quick.py:13164-13166,FAIL_CLOSED_MISSING_STATE
HTF_GATE_APPLY_TO_AUGMENT,bool,true,"[false,true]",AUGMENT_ADMISSION,wt1_D|wt2_D|wt1_4h|wt2_4h|wt1_1h|wt2_1h|sma_200_D|close,"ez_positions_quick.py:11968-12008,12480",FAIL_CLOSED_N_A_DATA
