switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
WT_15M_BOUNCE_OPEN_ENABLED,False,WT_15M_BOUNCE_BB_MAX,0.8,-2.0853,-1.8704,0.2149,11,True,True,WT_15M_BOUNCE_OPEN_ENABLED=False + WT_15M_BOUNCE_BB_MAX=0.8 + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
WT_15M_BOUNCE_OPEN_ENABLED,True,WT_15M_BOUNCE_BB_MAX,0.8,-2.0853,-1.5902,0.4951,27,True,True,WT_15M_BOUNCE_OPEN_ENABLED=True + WT_15M_BOUNCE_BB_MAX=0.8 + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
BB_SQUEEZE_ENTRY_ENABLED,True,ADX_RANGING_THRESHOLD,25,-2.0853,-1.8849,0.2004,11,True,True,BB_SQUEEZE_ENTRY_ENABLED=True + ADX_RANGING_THRESHOLD=25 + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
BB_PULLBACK_GATE_TF,OFF,MTS_BOTTOM_STRONG_THRESHOLD,20,-2.0853,-2.0063,0.079,11,True,True,BB_PULLBACK_GATE_TF=OFF + MTS_BOTTOM_STRONG_THRESHOLD=20 + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
BB_PULLBACK_GATE_TF,D,,,-2.0853,-2.0853,0,0,False,False,
BB_PULLBACK_GATE_TF,4h,,,-2.0853,-2.0853,0,0,False,False,
BB_PULLBACK_GATE_TF,1h,MI_TF_AGREE_MIN,0.0_ALT,-2.0853,-1.8651,0.2201,11,True,True,BB_PULLBACK_GATE_TF=1h + MI_TF_AGREE_MIN=0.0_ALT + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
BB_PULLBACK_GATE_TF,15m,,,-2.0853,-2.0853,0,0,False,False,
DELTA_GATE_BB_SQUEEZE,True,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.1,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.15,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.2,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.25,,,-2.0853,-2.0853,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.3,,,-2.0853,-2.0853,0,0,False,False,
WT_DIV_EXIT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_DIV_EXIT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,0,,,-2.0853,-2.0853,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,1,,,-2.0853,-2.0853,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,2,,,-2.0853,-2.0853,0,0,False,False,
WT_ACCEL_EXIT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_ACCEL_EXIT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_TF,OFF,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_TF,D,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_TF,4h,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_TF,1h,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_TF,15m,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_SCORE,10,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_SCORE,15,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_SCORE,20,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_SCORE,25,,,-2.0853,-2.0853,0,0,False,False,
DC_BREAKOUT_SCORE,30,,,-2.0853,-2.0853,0,0,False,False,
BB_BREAKOUT_SCORE,10,,,-2.0853,-2.0853,0,0,False,False,
BB_BREAKOUT_SCORE,15,,,-2.0853,-2.0853,0,0,False,False,
BB_BREAKOUT_SCORE,20,,,-2.0853,-2.0853,0,0,False,False,
BB_BREAKOUT_SCORE,25,,,-2.0853,-2.0853,0,0,False,False,
BB_BREAKOUT_SCORE,30,,,-2.0853,-2.0853,0,0,False,False,
