switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
WT_15M_BOUNCE_OPEN_ENABLED,False,,,-15.0481,-15.0481,0,0,False,False,
WT_15M_BOUNCE_OPEN_ENABLED,True,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_ENTRY_ENABLED,True,,,-15.0481,-15.0481,0,0,False,False,
BB_PULLBACK_GATE_TF,OFF,,,-15.0481,-15.0481,0,0,False,False,
BB_PULLBACK_GATE_TF,D,,,-15.0481,-15.0481,0,0,False,False,
BB_PULLBACK_GATE_TF,4h,,,-15.0481,-15.0481,0,0,False,False,
BB_PULLBACK_GATE_TF,1h,,,-15.0481,-15.0481,0,0,False,False,
BB_PULLBACK_GATE_TF,15m,,,-15.0481,-15.0481,0,0,False,False,
DELTA_GATE_BB_SQUEEZE,True,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.1,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.15,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.2,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.25,,,-15.0481,-15.0481,0,0,False,False,
BB_SQUEEZE_WIDTH_PERCENTILE,0.3,,,-15.0481,-15.0481,0,0,False,False,
WT_DIV_EXIT_ENABLED,False,,,-15.0481,-15.0481,0,0,False,False,
WT_DIV_EXIT_ENABLED,True,,,-15.0481,-15.0481,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,0,,,-15.0481,-15.0481,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,1,,,-15.0481,-15.0481,0,0,False,False,
WT_MOMENTUM_EXIT_THRESHOLD,2,,,-15.0481,-15.0481,0,0,False,False,
WT_ACCEL_EXIT_ENABLED,False,,,-15.0481,-15.0481,0,0,False,False,
