PERFORMANCE REPORT — 2026-09-17 15:51 UTC
================================================================================
Total: 155 symbols | A=4 B=115 C=36
Window: 14 days | Min trades: 5

--- TIER A (4 symbols) ---
             DELL  WR=98%  avg=+3.82%  total=+879.8%  trades= 61  mult=10.00
          ZECUSDT  WR=79%  avg=+1.30%  total=+42.8%  trades= 28  mult=10.00
             INTC  WR=67%  avg=+2.06%  total=+26.5%  trades= 12  mult=8.20
             PYPL  WR=73%  avg=+0.57%  total=+6.4%  trades= 11  mult=5.38

--- TIER B (115 symbols) ---
             CIEN  WR=38%  avg=+1.37%  total=+11.1%  trades=  8  mult=3.70
         RUNEUSDT  WR=57%  avg=+0.56%  total=+7.9%  trades= 14  mult=4.53
           ARUSDT  WR=60%  avg=+0.19%  total=+3.9%  trades= 20  mult=4.11
          UNIUSDC  WR=100%  avg=+1.90%  total=+3.8%  trades=  2  mult=1.00
         COTIUSDT  WR=52%  avg=+0.07%  total=+3.7%  trades= 54  mult=1.80
        ETHFIUSDC  WR=64%  avg=+0.09%  total=+3.6%  trades= 39  mult=4.16
             TSLA  WR=100%  avg=+1.71%  total=+3.4%  trades=  2  mult=1.00
          PTBUSDT  WR=59%  avg=+0.11%  total=+3.2%  trades= 29  mult=3.29
             CRWV  WR=50%  avg=+0.75%  total=+2.7%  trades= 10  mult=3.53
          RLCUSDT  WR=58%  avg=+0.12%  total=+2.3%  trades= 19  mult=3.11
              PBF  WR=100%  avg=+0.97%  total=+1.9%  trades=  2  mult=1.00
         RKLBUSDT  WR=79%  avg=+0.14%  total=+1.9%  trades= 14  mult=5.24
         MANAUSDT  WR=86%  avg=+0.13%  total=+1.9%  trades= 14  mult=6.12
     FARTCOINUSDT  WR=75%  avg=+0.14%  total=+1.7%  trades= 12  mult=4.27
         HYPEUSDT  WR=53%  avg=+0.03%  total=+1.6%  trades= 49  mult=1.78
         FLOWUSDT  WR=38%  avg=+0.10%  total=+1.5%  trades= 16  mult=0.64
         NEARUSDC  WR=47%  avg=+0.08%  total=+1.4%  trades= 17  mult=1.03
          BCHUSDC  WR=100%  avg=+0.46%  total=+1.4%  trades=  3  mult=1.00
         AVAXUSDC  WR=67%  avg=+0.43%  total=+1.3%  trades=  3  mult=1.00
        PARTIUSDT  WR=53%  avg=+0.08%  total=+1.2%  trades= 15  mult=1.84
          SKYUSDT  WR=71%  avg=+0.08%  total=+1.1%  trades= 14  mult=4.08
         CAKEUSDT  WR=57%  avg=+0.14%  total=+1.0%  trades=  7  mult=1.78
               BA  WR=100%  avg=+0.32%  total=+1.0%  trades=  3  mult=1.00
          XLMUSDT  WR=56%  avg=+0.05%  total=+0.9%  trades= 18  mult=2.21
          TIAUSDC  WR=71%  avg=+0.13%  total=+0.9%  trades=  7  mult=2.65
              NOC  WR=78%  avg=+0.09%  total=+0.8%  trades=  9  mult=3.53
         MASKUSDT  WR=43%  avg=+0.12%  total=+0.8%  trades=  7  mult=0.93
          SOLUSDC  WR=42%  avg=+0.03%  total=+0.8%  trades= 26  mult=0.66
          ZRXUSDT  WR=44%  avg=+0.09%  total=+0.8%  trades=  9  mult=0.93
         MEMEUSDT  WR=50%  avg=+0.19%  total=+0.8%  trades=  4  mult=1.00
         SMCIUSDT  WR=50%  avg=+0.05%  total=+0.7%  trades= 14  mult=1.25
         ASTSUSDT  WR=50%  avg=+0.12%  total=+0.7%  trades=  6  mult=1.25
          INJUSDT  WR=62%  avg=+0.08%  total=+0.7%  trades=  8  mult=2.13
         DELLUSDT  WR=71%  avg=+0.10%  total=+0.7%  trades=  7  mult=2.58
          ETHUSDC  WR=53%  avg=+0.04%  total=+0.6%  trades= 17  mult=1.67
         PYPLUSDT  WR=67%  avg=+0.06%  total=+0.5%  trades=  9  mult=2.52
          TRBUSDT  WR=60%  avg=+0.10%  total=+0.5%  trades=  5  mult=1.62
          RSRUSDT  WR=100%  avg=+0.24%  total=+0.5%  trades=  2  mult=1.00
         SPCXUSD1  WR=100%  avg=+0.20%  total=+0.4%  trades=  2  mult=1.00
         GALAUSDT  WR=60%  avg=+0.04%  total=+0.3%  trades= 10  mult=2.02
          LTCUSDC  WR=71%  avg=+0.05%  total=+0.3%  trades=  7  mult=2.46
      VIRTUALUSDT  WR=40%  avg=+0.06%  total=+0.3%  trades=  5  mult=0.87
          CRVUSDC  WR=60%  avg=+0.06%  total=+0.3%  trades=  5  mult=1.55
          KSMUSDT  WR=100%  avg=+0.04%  total=+0.3%  trades=  7  mult=4.25
         BMNRUSDT  WR=75%  avg=+0.04%  total=+0.3%  trades=  8  mult=2.90
          DOTUSDT  WR=50%  avg=+0.01%  total=+0.3%  trades= 24  mult=1.08 ** OPEN **
         AAVEUSDC  WR=75%  avg=+0.07%  total=+0.3%  trades=  4  mult=1.00
         MSTRUSDT  WR=67%  avg=+0.05%  total=+0.3%  trades=  6  mult=1.99
         DOGEUSDC  WR=50%  avg=+0.06%  total=+0.2%  trades=  4  mult=1.00
          ENSUSDT  WR=36%  avg=+0.02%  total=+0.2%  trades= 11  mult=0.64
          ZROUSDT  WR=57%  avg=+0.03%  total=+0.2%  trades=  7  mult=1.51
         AXTIUSDT  WR=100%  avg=+0.06%  total=+0.2%  trades=  3  mult=1.00
         IOTAUSDT  WR=100%  avg=+0.18%  total=+0.2%  trades=  1  mult=1.00
              MPC  WR=100%  avg=+0.08%  total=+0.2%  trades=  2  mult=1.00
              PSX  WR=50%  avg=+0.06%  total=+0.1%  trades=  2  mult=1.00
         GRAMUSDT  WR=78%  avg=+0.01%  total=+0.1%  trades=  9  mult=3.29
         IOTXUSDT  WR=50%  avg=+0.01%  total=+0.1%  trades= 10  mult=1.03
          LPTUSDT  WR=71%  avg=+0.01%  total=+0.1%  trades=  7  mult=2.38
          BSVUSDT  WR=67%  avg=+0.03%  total=+0.1%  trades=  3  mult=1.00
          WLDUSDC  WR=41%  avg=+0.00%  total=+0.1%  trades= 59  mult=0.57
          AMDUSDT  WR=50%  avg=+0.02%  total=+0.1%  trades=  4  mult=1.00
          INXUSDT  WR=75%  avg=+0.01%  total=+0.0%  trades=  4  mult=1.00
        LUNA2USDT  WR=67%  avg=+0.01%  total=+0.0%  trades=  3  mult=1.00
              CRM  WR=100%  avg=+0.03%  total=+0.0%  trades=  1  mult=1.00
         INTCUSDT  WR=100%  avg=+0.02%  total=+0.0%  trades=  1  mult=1.00
        USUALUSDT  WR=67%  avg=+0.00%  total=+0.0%  trades=  3  mult=1.00
          ARMUSDT  WR=50%  avg=+0.00%  total=+0.0%  trades=  2  mult=1.00
         COHRUSDT  WR=33%  avg=-0.00%  total=-0.0%  trades=  3  mult=1.00
         QCOMUSDT  WR=50%  avg=-0.00%  total=-0.0%  trades=  2  mult=1.00
        MAGICUSDT  WR=50%  avg=-0.01%  total=-0.0%  trades=  2  mult=1.00
             META  WR=50%  avg=-0.00%  total=-0.0%  trades=  6  mult=1.00
         ALGOUSDT  WR=60%  avg=-0.00%  total=-0.0%  trades= 15  mult=2.35
          BIOUSDC  WR=0%  avg=-0.02%  total=-0.0%  trades=  2  mult=1.00
           OPUSDT  WR=56%  avg=-0.01%  total=-0.1%  trades=  9  mult=1.43
         LRCXUSDT  WR=0%  avg=-0.06%  total=-0.1%  trades=  1  mult=1.00
          ICPUSDT  WR=0%  avg=-0.03%  total=-0.1%  trades=  3  mult=1.00
         PLTRUSDT  WR=0%  avg=-0.09%  total=-0.1%  trades=  1  mult=1.00
       RENDERUSDT  WR=0%  avg=-0.06%  total=-0.1%  trades=  2  mult=1.00
         USARUSDT  WR=75%  avg=-0.03%  total=-0.1%  trades=  4  mult=1.00
         LINKUSDC  WR=50%  avg=-0.01%  total=-0.2%  trades= 14  mult=0.98
          ZILUSDT  WR=50%  avg=-0.05%  total=-0.2%  trades=  4  mult=1.00
          SNXUSDT  WR=50%  avg=-0.03%  total=-0.3%  trades=  8  mult=0.96
             CIBR  WR=0%  avg=-0.28%  total=-0.3%  trades=  1  mult=1.00
          BNBUSDC  WR=63%  avg=-0.01%  total=-0.3%  trades= 35  mult=3.26
          FILUSDC  WR=67%  avg=-0.05%  total=-0.3%  trades=  6  mult=1.80
         AMZNUSDT  WR=33%  avg=-0.10%  total=-0.3%  trades=  3  mult=1.00
          WMTUSDT  WR=50%  avg=-0.02%  total=-0.3%  trades= 14  mult=0.95
         EGLDUSDT  WR=58%  avg=-0.03%  total=-0.4%  trades= 12  mult=1.77
         BABAUSDT  WR=54%  avg=-0.04%  total=-0.5%  trades= 13  mult=1.27
         ORDIUSDC  WR=60%  avg=-0.12%  total=-0.6%  trades=  5  mult=1.25
          XMRUSDT  WR=50%  avg=-0.15%  total=-0.6%  trades=  4  mult=1.00
              MDT  WR=0%  avg=-0.64%  total=-0.6%  trades=  1  mult=1.00
         MSFTUSDT  WR=0%  avg=-0.22%  total=-0.7%  trades=  3  mult=1.00
              LLY  WR=0%  avg=-0.40%  total=-0.8%  trades=  2  mult=1.00
          XTZUSDT  WR=56%  avg=-0.05%  total=-0.9%  trades= 18  mult=1.61
          WIFUSDC  WR=50%  avg=-0.08%  total=-0.9%  trades= 12  mult=0.88
             RDDT  WR=0%  avg=-0.46%  total=-0.9%  trades=  2  mult=1.00
              MCD  WR=0%  avg=-0.92%  total=-0.9%  trades=  1  mult=1.00
          TXNUSDT  WR=0%  avg=-0.54%  total=-1.1%  trades=  2  mult=1.00
          AIAUSDT  WR=33%  avg=-0.37%  total=-1.1%  trades=  3  mult=1.00
          ENAUSDC  WR=25%  avg=-0.35%  total=-1.4%  trades=  4  mult=1.00
          ZENUSDT  WR=47%  avg=-0.10%  total=-1.5%  trades= 15  mult=0.70
             BABA  WR=50%  avg=-0.77%  total=-1.6%  trades=  2  mult=1.00
         DASHUSDT  WR=52%  avg=-0.08%  total=-2.0%  trades= 25  mult=0.92
              LMT  WR=0%  avg=-2.36%  total=-2.4%  trades=  1  mult=1.00
          ARBUSDC  WR=46%  avg=-0.18%  total=-2.4%  trades= 13  mult=0.64
          XRPUSDC  WR=54%  avg=-0.05%  total=-2.4%  trades= 52  mult=1.38
         QTUMUSDT  WR=54%  avg=-0.12%  total=-2.9%  trades= 24  mult=0.97
              NEM  WR=0%  avg=-1.15%  total=-4.5%  trades=  4  mult=1.00
             NVDA  WR=62%  avg=-0.96%  total=-7.5%  trades=  8  mult=0.57
              SLV  WR=0%  avg=-2.28%  total=-8.8%  trades=  4  mult=1.00
             SMCI  WR=0%  avg=-2.73%  total=-10.5%  trades=  4  mult=1.00
             DINO  WR=58%  avg=-1.08%  total=-12.5%  trades= 12  mult=0.39
               MU  WR=60%  avg=-1.42%  total=-13.6%  trades= 10  mult=0.39
             COIN  WR=0%  avg=-11.82%  total=-31.4%  trades=  3  mult=1.00

--- TIER C (36 symbols) ---
    1000FLOKIUSDT  WR=0%  avg=-0.03%  total=-0.2%  trades=  6  mult=0.45
     1000PEPEUSDC  WR=33%  avg=-0.02%  total=-0.2%  trades=  9  mult=0.61
             SNOW  WR=43%  avg=-0.01%  total=-0.2%  trades=  7  mult=0.83
        PENGUUSDC  WR=44%  avg=-0.03%  total=-0.2%  trades=  9  mult=0.81
          NOTUSDT  WR=44%  avg=-0.03%  total=-0.3%  trades=  9  mult=0.81
          AXSUSDT  WR=40%  avg=-0.07%  total=-0.4%  trades=  5  mult=0.80
          CRMUSDT  WR=20%  avg=-0.08%  total=-0.4%  trades=  5  mult=0.60
