switch_sheet,switch,switch_value,filter,filter_value,baseline_gain,new_gain,delta,baseline_trades,new_trades,delta_trades,window_days,symside,valid
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,20,-13.747597,-9.805939,3.941657,1,2,1,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,25,-13.747597,-9.773187,3.974409,1,4,3,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,15,-13.747597,-9.805939,3.941657,1,2,1,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,10,-13.747597,-9.773187,3.974409,1,4,3,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,OFF,-13.747597,-15.699009,-1.951412,1,1,0,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,D,-13.747597,-9.773187,3.974409,1,4,3,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,4h,-13.747597,-15.048078,-1.300481,1,1,0,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,1h,-13.747597,-9.504427,4.243170,1,3,2,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,15m,-13.747597,-9.805939,3.941657,1,2,1,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,BANDAID_OFF_LOSER_RECOVER_PCT,0,-13.747597,-9.805939,3.941657,1,2,1,30,ZECUSDC_LONG,False
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,20,-13.747597,-13.905688,-0.158091,1,1,0,30,ZECUSDC_LONG,False
