switch_sheet,switch,switch_value,filter,filter_value,baseline_gain,switch_gain,switch_delta_vs_baseline,new_gain,delta_vs_baseline,delta_vs_switch_alone,baseline_trades,switch_trades,new_trades,delta_trades_vs_baseline,delta_trades_vs_switch,window_days,symside,valid
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,20,0.482450,-14.753131,-15.235581,-14.753131,-15.235581,0.000000,186,688,688,502,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,25,0.482450,-14.753131,-15.235581,-10.655689,-11.138138,4.097443,186,688,713,527,25,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,15,0.482450,-14.753131,-15.235581,-16.792540,-17.274990,-2.039409,186,688,687,501,-1,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ADX_RANGING_THRESHOLD,10,0.482450,-14.753131,-15.235581,-13.142361,-13.624811,1.610770,186,688,708,522,20,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,OFF,0.482450,-14.753131,-15.235581,-13.142361,-13.624811,1.610770,186,688,708,522,20,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,D,0.482450,-14.753131,-15.235581,-11.745712,-12.228162,3.007419,186,688,711,525,23,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,4h,0.482450,-14.753131,-15.235581,-13.142361,-13.624811,1.610770,186,688,708,522,20,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,1h,0.482450,-14.753131,-15.235581,-11.547389,-12.029838,3.205743,186,688,712,526,24,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,ATR_TRAIL_FILTER_TF,15m,0.482450,-14.753131,-15.235581,-14.753131,-15.235581,0.000000,186,688,688,502,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,True,BANDAID_OFF_LOSER_RECOVER_PCT,0,0.482450,-14.753131,-15.235581,-14.753131,-15.235581,0.000000,186,688,688,502,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,20,0.482450,0.482450,0.000000,-0.467584,-0.950034,-0.950034,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,25,0.482450,0.482450,0.000000,0.099654,-0.382796,-0.382796,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,15,0.482450,0.482450,0.000000,0.110801,-0.371649,-0.371649,186,186,185,-1,-1,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ADX_RANGING_THRESHOLD,10,0.482450,0.482450,0.000000,0.099654,-0.382796,-0.382796,186,186,182,-4,-4,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ATR_TRAIL_FILTER_TF,OFF,0.482450,0.482450,0.000000,0.482450,0.000000,0.000000,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ATR_TRAIL_FILTER_TF,D,0.482450,0.482450,0.000000,1.049937,0.567488,0.567488,186,186,186,0,0,30,SNDK_LONG,True
ENTRY_REVERSAL_BOUNCE,WT_15M_BOUNCE_OPEN_ENABLED,False,ATR_TRAIL_FILTER_TF,4h,0.482450,0.482450,0.000000,-0.083739,-0.566189,-0.566189,186,186,181,-5,-5,30,SNDK_LONG,True
