switch,in_tradier_manage,in_ez_manage,in_config,in_config_tradier,in_vec_paths,status
START_POSITION_SIZE,True,True,True,True,True,MIRRORED_LIVE
VEC_SHARE_CHUNK,False,False,False,False,False,VEC_ONLY_PARITY_GATE
MIN_POSITION_SIZE,True,True,True,True,True,MIRRORED_LIVE
MIN_GAIN,True,True,True,True,True,MIRRORED_LIVE
MIN_GAIN_TO_BUY_AGGRESSIVELY,True,True,True,True,True,MIRRORED_LIVE
COMMISSION_BUFFER_PCT,True,True,True,False,False,MIRRORED_LIVE
FUNDING_GATE_ENABLED,True,True,True,True,True,MIRRORED_LIVE
FUNDING_GATE_LONG_MAX,True,True,True,False,True,MIRRORED_LIVE
FUNDING_GATE_SHORT_MIN,True,True,True,False,True,MIRRORED_LIVE
FUNDING_GATE_MTF_REQUIRED,True,True,True,False,True,MIRRORED_LIVE
FUNDING_GATE_MTF_LONG_MAX_BULL_TFS,True,True,True,False,True,MIRRORED_LIVE
FUNDING_GATE_MTF_SHORT_MAX_BEAR_TFS,True,True,True,False,True,MIRRORED_LIVE
ROUND_TRIP_COST_PCT,True,True,True,True,False,MIRRORED_LIVE
ROUND_TRIP_COST_USDC_PCT,False,False,False,False,False,DEAD_OR_INDICATOR
ROUND_TRIP_COST_USDT_PCT,False,False,False,False,False,DEAD_OR_INDICATOR
MIN_EXIT_GAIN_PCT,False,False,False,False,True,VEC_PATHS_ONLY
MAX_AUGMENTS_PER_POSITION,True,True,True,True,True,MIRRORED_LIVE
WT_HTF_DISCOUNT_ENABLED,False,False,False,False,True,VEC_PATHS_ONLY
REENTRY_B15_STRONG_TREND_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B04_DC_RETEST_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B11_DC_BREAK_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B02_BC156_BOTTOM_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B12_WT_MOM_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B14_HA_TREND_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B10_STOCH_REV_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B01_WT_2of3_ENABLED,True,True,True,False,False,MIRRORED_LIVE
REENTRY_B09_SNAPBACK_ENABLED,True,True,True,True,False,MIRRORED_LIVE
REENTRY_B16_MIDRANGE_ENABLED,True,True,True,False,False,MIRRORED_LIVE
WT_4H_VEL_EXIT_ENABLED,True,True,True,False,False,MIRRORED_LIVE
WT_4H_VEL_EXIT_LONG_VEL_MIN,True,True,True,False,False,MIRRORED_LIVE
WT_4H_VEL_EXIT_SHORT_VEL_MIN,True,True,True,False,False,MIRRORED_LIVE
