param,group,precedence_layer,kind,test_values,default
ABLATION_DISABLE_AGGRESSIVE_HEDGE,OTHER,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_AUGMENTATION,OTHER,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_CHECK_NOLOSS,EXIT,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_DC_BREACH_REDUCE,EXIT,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_ENTRY_LEADERBOARD,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_ENTRY_RANKING,ENTRY,FAMILY_MASTER,bool,"[true, false]",true
ABLATION_DISABLE_ENTRY_REVERSAL,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_ENTRY_TECHNICAL,ENTRY,FAMILY_MASTER,bool,"[true, false]",true
ABLATION_DISABLE_HEDGE,OTHER,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_HIGH_GAIN_AUGMENT,OTHER,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_PERIODIC_REENTRY,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_QUICK_ENTRY,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_QUICK_EXIT,EXIT,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_RATIO_REBALANCE,OTHER,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_REENTRY,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_REENTRY_ENFORCE,ENTRY,FAMILY_MASTER,bool,"[true, false]",false
ABLATION_DISABLE_SPIKE_FADE_EXIT,EXIT,FAMILY_MASTER,bool,"[true, false]",false
ADX_TRENDING_THRESHOLD,OTHER,CROSS_CUTTING_GUARD,num,"[12.5, 18.75, 25.0, 31.25, 37.5]",25.0
ALIGNMENT_GATE_MIN,OTHER,CROSS_CUTTING_GUARD,num,"[2, 3, 4, 5, 6]",4
ALIGNMENT_GATE_TOTAL,OTHER,CROSS_CUTTING_GUARD,num,"[18, 27, 36, 45, 54]",36
ATR_ADAPTIVE_SIZING_ENABLED,SIZING,FAMILY_MASTER,bool,"[true, false]",false
ATR_ADAPTIVE_SIZING_TARGET_PCT,SIZING,SIZING,num,"[0.75, 1.125, 1.5, 1.875, 2.25]",1.5
ATR_ADAPTIVE_STOP_ENABLED,EXIT,FAMILY_MASTER,bool,"[true, false]",true
ATR_ADAPTIVE_STOP_MULT,EXIT,EXIT_SOURCE,num,"[1.0, 1.5, 2.0, 2.5, 3.0]",2.0
ATR_PARITY_EQUITY_BASE_USD,OTHER,CROSS_CUTTING_GUARD,num,"[17500.0, 26250.0, 35000.0, 43750.0, 52500.0]",35000.0
ATR_PARITY_QTY_CAP_MULT,SIZING,SIZING,num,"[2.5, 3.75, 5.0, 6.25, 7.5]",5.0
ATR_PARITY_USE_DAILY,OTHER,CROSS_CUTTING_GUARD,bool,"[true, false]",true
ATR_TRAIL_2X_EXIT_ENABLED,EXIT,FAMILY_MASTER,bool,"[true, false]",false
ATR_TRAIL_ENABLED_TRADIER,EXIT,FAMILY_MASTER,bool,"[true, false]",false
AUGMENTATION_COOLDOWN_SECONDS,OTHER,CROSS_CUTTING_GUARD,num,"[150.0, 225.0, 300.0, 375.0, 450.0]",300.0
AUGMENT_ONLY_WHEN_PROFITABLE_TRADIER,OTHER,CROSS_CUTTING_GUARD,bool,"[true, false]",true
BACKTEST_VALIDATED_GATES_TRADIER,OTHER,CROSS_CUTTING_GUARD,bool,"[true, false]",true
BAND_SLOPE_SIZING_V2_DEPTH_GAIN,SIZING,SIZING,num,"[0.5, 0.75, 1.0, 1.25, 1.5]",1.0
BAND_SLOPE_SIZING_V2_ENABLED,SIZING,FAMILY_MASTER,bool,"[true, false]",true
BAND_SLOPE_SIZING_V2_MAX,SIZING,SIZING,num,"[1.25, 1.875, 2.5, 3.125, 3.75]",2.5
BAND_SLOPE_SIZING_V2_MIN,SIZING,SIZING,num,"[0.25, 0.375, 0.5, 0.625, 0.75]",0.5
BAND_SLOPE_SIZING_V2_SLOPE_NORM_PCT_DAY,SIZING,SIZING,num,"[0.5, 0.75, 1.0, 1.25, 1.5]",1.0
