symparam,used_in_per_sym_walk,in_tradier_manage,in_v8_vec,status
BB_LEN_15m,False,False,False,DEF_ONLY
BB_STD_15m,False,False,False,DEF_ONLY
BB_LEN_1h,False,False,False,DEF_ONLY
BB_STD_1h,False,False,False,DEF_ONLY
BB_LEN_4h,False,False,False,DEF_ONLY
BB_STD_4h,False,False,False,DEF_ONLY
BB_LEN_D,False,False,False,DEF_ONLY
BB_STD_D,False,False,False,DEF_ONLY
WT_CHAN_15m,True,False,False,USED_IN_PER_SYM
WT_AVG_15m,True,False,False,USED_IN_PER_SYM
WT_CHAN_1h,False,False,False,DEF_ONLY
WT_AVG_1h,False,False,False,DEF_ONLY
WT_CHAN_4h,False,False,False,DEF_ONLY
WT_AVG_4h,False,False,False,DEF_ONLY
WT_CHAN_D,False,False,False,DEF_ONLY
WT_AVG_D,False,False,False,DEF_ONLY
DC_PERIOD_15m,False,False,False,DEF_ONLY
DC_PERIOD_1h,False,False,False,DEF_ONLY
DC_PERIOD_4h,False,False,False,DEF_ONLY
DC_PERIOD_D,False,False,False,DEF_ONLY
MIN_TFS_AGREE,True,False,False,USED_IN_PER_SYM
MIN_TFS_AGREE_ENTRY,False,False,False,DEF_ONLY
MIN_TFS_AGREE_EXIT,False,False,False,DEF_ONLY
MIN_TFS_AGREE_REENTRY,False,False,False,DEF_ONLY
MIN_HOLD_BARS_15m,True,False,False,USED_IN_PER_SYM
COOLDOWN_BARS_15m,True,False,False,USED_IN_PER_SYM
USE_BB_FILTER,False,False,False,DEF_ONLY
USE_WT_CROSS,False,False,False,DEF_ONLY
USE_DC_BREAK,False,False,False,DEF_ONLY
BB_TOP_THRESHOLD,False,False,False,DEF_ONLY
BB_BOT_THRESHOLD,False,False,False,DEF_ONLY
BB_LONG_ENTRY_MAX,False,False,False,DEF_ONLY
BB_SHORT_ENTRY_MIN,False,False,False,DEF_ONLY
BB_AUTO_TUNE_ENABLED,False,False,False,DEF_ONLY
BB_AUTO_TUNE_LOOKBACK,False,False,False,DEF_ONLY
BB_AUTO_TUNE_MIN_MULT,False,False,False,DEF_ONLY
BB_AUTO_TUNE_MAX_MULT,False,False,False,DEF_ONLY
REQUIRE_D_TREND,False,False,False,DEF_ONLY
REQUIRE_W_TREND,False,False,False,DEF_ONLY
ENTRY_MODE,False,True,True,DEF_ONLY
ENTRY_WT_CROSS_EVENT_ENABLED,False,False,False,DEF_ONLY
ENTRY_WT_CROSS_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_BB_EXTREME_BOUNCE_ENABLED,False,False,False,DEF_ONLY
ENTRY_BB_EXTREME_THRESHOLD,False,False,False,DEF_ONLY
ENTRY_BB_SQUEEZE_RELEASE_ENABLED,False,False,False,DEF_ONLY
ENTRY_BB_SQUEEZE_RATIO,False,False,False,DEF_ONLY
ENTRY_BB_SQUEEZE_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_LIQ_SWEEP_ENABLED,False,False,False,DEF_ONLY
ENTRY_LIQ_SWEEP_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_NR7_ENABLED,False,False,False,DEF_ONLY
ENTRY_NR_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_VOL_SPIKE_ENABLED,False,False,False,DEF_ONLY
ENTRY_VOL_SPIKE_RATIO,False,False,False,DEF_ONLY
ENTRY_VOL_SPIKE_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_EMA_RIBBON_ENABLED,False,False,False,DEF_ONLY
ENTRY_EMA_FAST,False,False,False,DEF_ONLY
ENTRY_EMA_MID,False,False,False,DEF_ONLY
ENTRY_EMA_SLOW,False,False,False,DEF_ONLY
ENTRY_WILLR_ENABLED,False,False,False,DEF_ONLY
ENTRY_WILLR_LOOKBACK,False,False,False,DEF_ONLY
ENTRY_WILLR_OS_THRESHOLD,False,False,False,DEF_ONLY
ENTRY_WILLR_OB_THRESHOLD,False,False,False,DEF_ONLY
ENTRY_FVG_ENABLED,False,False,False,DEF_ONLY
EXIT_REQUIRE_BOTH,False,False,False,DEF_ONLY
EXIT_WT_ACCEL_ONLY,False,False,False,DEF_ONLY
PARTIAL_PROFIT_LOCK_ENABLED,True,True,True,USED_IN_PER_SYM
PARTIAL_PROFIT_LOCK_GAIN_PCT,True,True,True,USED_IN_PER_SYM
PARTIAL_PROFIT_LOCK_ARM_GAIN_PCT,True,True,True,USED_IN_PER_SYM
PARTIAL_PROFIT_LOCK_BE_BUFFER_PCT,True,True,True,USED_IN_PER_SYM
PARTIAL_PROFIT_LOCK_FRAC,True,True,True,USED_IN_PER_SYM
X7_FROZEN_DC_STOP_ENABLED,True,False,False,USED_IN_PER_SYM
X7_FREEZE_DC_TF,True,False,False,USED_IN_PER_SYM
X7_FREEZE_BB_TF,True,False,False,USED_IN_PER_SYM
X7_ABS_FLOOR_PCT,True,False,False,USED_IN_PER_SYM
SPY_REGIME_GATE_ENABLED,True,True,True,USED_IN_PER_SYM
SPY_REGIME_BLOCK_LONGS_BELOW,True,True,True,USED_IN_PER_SYM
SPY_REGIME_BLOCK_SHORTS_ABOVE,True,True,True,USED_IN_PER_SYM
REQUIRE_ABOVE_SMA50_D,True,False,False,USED_IN_PER_SYM
HEDGE_HTF_VETO_ENABLED,True,True,False,USED_IN_PER_SYM
HTF_TREND_VETO_ENABLED,True,True,True,USED_IN_PER_SYM
EXIT_STRUCT_TF,True,True,True,USED_IN_PER_SYM
LONG_STRUCT_EXIT_TF,True,True,True,USED_IN_PER_SYM
SHORT_STRUCT_EXIT_TF,True,True,True,USED_IN_PER_SYM
REVERSE_ON_EXIT_ENABLED,True,True,False,USED_IN_PER_SYM
FOLLOW_THROUGH_REENTRY_ENABLED,True,True,False,USED_IN_PER_SYM
FOLLOW_THROUGH_MIN_MOVE_PCT,True,True,False,USED_IN_PER_SYM
FOLLOW_THROUGH_WINDOW_BARS,True,False,False,USED_IN_PER_SYM
BREAKOUT_PATH_ENABLED,False,False,False,DEF_ONLY
BREAKOUT_HTF_MIN_ALIGNED,False,True,False,DEF_ONLY
BREAKOUT_MIN_HOLD_BARS,False,True,False,DEF_ONLY
AUGMENT_ENABLED,True,True,True,USED_IN_PER_SYM
AUGMENT_LEVELS_PCT,True,False,False,USED_IN_PER_SYM
REENTRY_MEAN_REV_ENABLED,True,False,False,USED_IN_PER_SYM
REENTRY_MEAN_REV_TOLERANCE_PCT,True,False,False,USED_IN_PER_SYM
REENTRY_MEAN_REV_WINDOW_BARS,True,False,False,USED_IN_PER_SYM
REENTRY_GR_HLHH_MODE,False,True,True,DEF_ONLY
REENTRY_GR_MIN_TFS,False,True,True,DEF_ONLY
HEDGE_ENABLED,True,True,True,USED_IN_PER_SYM
HEDGE_SIZE_FRAC,True,True,False,USED_IN_PER_SYM
HEDGE_WT_TRIGGER,False,False,False,DEF_ONLY
HEDGE_WT_TF,True,True,True,USED_IN_PER_SYM
HEDGE_CYCLES_ENABLED,False,False,False,DEF_ONLY
HEDGE_TRIGGER_GAIN_PCT_ENABLED,False,False,False,DEF_ONLY
HEDGE_TRIGGER_GAIN_PCT,True,False,False,USED_IN_PER_SYM
NOLOSS_ENABLED,True,True,True,USED_IN_PER_SYM
PEAK_PROTECT_ENABLED,True,False,False,USED_IN_PER_SYM
PEAK_PROTECT_REQUIRE_GAIN,True,False,False,USED_IN_PER_SYM
PEAK_GIVEBACK_FIXED_PCT_ENABLED,True,False,False,USED_IN_PER_SYM
PEAK_GIVEBACK_FIXED_DROP_PCT,True,False,False,USED_IN_PER_SYM
PEAK_GIVEBACK_FIXED_MIN_PEAK_PCT,True,False,False,USED_IN_PER_SYM
HARD_LOSS_PCT_ENABLED,True,False,False,USED_IN_PER_SYM
HARD_LOSS_PCT,True,True,False,USED_IN_PER_SYM
FUNDING_GATE_ENABLED,False,True,True,DEF_ONLY
FUNDING_GATE_LONG_MAX,False,True,True,DEF_ONLY
FUNDING_GATE_SHORT_MIN,False,True,True,DEF_ONLY
OI_GATE_ENABLED,False,False,False,DEF_ONLY
OI_GATE_OI_CHANGE_MIN,False,False,False,DEF_ONLY
WT_ACCEL_GATE_ENABLED,False,False,False,DEF_ONLY
WT_ACCEL_GATE_TF,False,False,False,DEF_ONLY
DIVERGENCE_BLOCK_ENABLED,False,False,False,DEF_ONLY
DIVERGENCE_LB,False,True,False,DEF_ONLY
USE_PRICE_ACTION_ENTRY,False,False,False,DEF_ONLY
PRICE_ACTION_LB,False,False,False,DEF_ONLY
USE_WT_DC_HIERARCHY,False,False,False,DEF_ONLY
HIER_RZ_TOP_BB,False,False,False,DEF_ONLY
HIER_RZ_BOT_BB,False,False,False,DEF_ONLY
HIER_DC_BAND_PCT,False,False,False,DEF_ONLY
HIER_WT_DELTA_MIN,False,False,False,DEF_ONLY
HIER_WT_VEL_MIN,False,False,False,DEF_ONLY
HIER_USE_W_M,False,False,False,DEF_ONLY
USE_RZ_CASCADE,False,False,False,DEF_ONLY
RZ_CASCADE_AT_RZ_BAND_PCT,False,False,True,DEF_ONLY
RZ_CASCADE_WT_DELTA_MIN,False,False,True,DEF_ONLY
RZ_CASCADE_VEL_MIN,False,False,True,DEF_ONLY
RZ_CASCADE_HIGH_LOOKBACK,False,False,True,DEF_ONLY
RZ_CASCADE_REQUIRE_NEW_HIGH,False,False,True,DEF_ONLY
RZ_CASCADE_MIN_TF_ALIGN,False,False,True,DEF_ONLY
RZ_CASCADE_EXIT_ANY_TF,False,False,True,DEF_ONLY
RZ_CASCADE_EXIT_MIN_REV_TFS,False,False,True,DEF_ONLY
RZ_CASCADE_USE_W_M,False,False,True,DEF_ONLY
USE_V8_AGGREGATORS,True,False,False,USED_IN_PER_SYM
MODE,True,True,True,USED_IN_PER_SYM
LTF,True,True,True,USED_IN_PER_SYM
K3M_FLOOR,False,True,False,DEF_ONLY
CT_WT_VELOCITY_1H_MIN,False,True,False,DEF_ONLY
BT_DC_BB_D_BREAK_REVERSE_ENABLED,True,False,False,USED_IN_PER_SYM
BT_WT15M_AGAINST_FORCE_HEDGE_ENABLED,True,False,False,USED_IN_PER_SYM
BT_ALL_TF_AGAINST_CLOSE_ENABLED,True,False,False,USED_IN_PER_SYM
BT_RIDICULOUS_HOLD_GUARD_ENABLED,False,False,False,DEF_ONLY
BT_RIDICULOUS_LOSS_PCT,False,False,False,DEF_ONLY
BT_RIDICULOUS_HOLD_HOURS,False,False,False,DEF_ONLY
BT_UNDERWATER_HEDGE_OR_CLOSE_ENABLED,False,False,False,DEF_ONLY
