switch,vector_status,sheets,in_QuickConfig,in_TradierConfig,live_tradier_HEAD,live_ez_manage,live_ez_quick,is_SCALP_HEDGE,parity_vector_status,parity_tradier_live,proposed_wiring
ALL_TF_AGAINST_CLOSE_COOLDOWN_SEC,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
ALL_TF_AGAINST_CLOSE_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
ALL_TF_AGAINST_CLOSE_MIN_TFS,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
ATR_TRAIL_SWEEP_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
AUGMENTED_POSITIONS_GUARD_FLOOR_MULT,DEAD_NO_VECTOR_READ,"AUGMENT_NEUTRAL,AUGMENT_NEUTRAL,AUGMENT_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_augment_signals
AUGMENT_AT_LOSS_ENABLED,DEAD_NO_VECTOR_READ,"AUGMENT_NEUTRAL,AUGMENT_NEUTRAL,AUGMENT_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_augment_signals
AUGMENT_ONLY_WHEN_PROFITABLE,DEAD_NO_VECTOR_READ,"AUGMENT_NEUTRAL,AUGMENT_NEUTRAL,AUGMENT_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_augment_signals
BAND_ARROW_SLOPE_DEADBAND,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
BOUNCE_REENTRY_K_RESET_LONG,DEAD_NO_VECTOR_READ,"REENTRY_PULLBACK_BOUNCE,REENTRY_PULLBACK_BOUNCE,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
BOUNCE_REENTRY_K_RESET_SHORT,DEAD_NO_VECTOR_READ,"REENTRY_PULLBACK_BOUNCE,REENTRY_PULLBACK_BOUNCE,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
BREAKEVEN_DC_FIELD_MODE,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
BREAKEVEN_GAIN_EROSION_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
BREAKEVEN_GAIN_EROSION_MIN_GAIN,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
BREAKEVEN_GAIN_EROSION_REQUIRE_PROFIT,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
BREAKOUT_LEASH_REENTRY_MULT,DEAD_NO_VECTOR_READ,"REENTRY_BREAKOUT,REENTRY_BREAKOUT,REENTRY_BREAKOUT",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_reentry_blocks
CHANNEL_REENTRY_STOP_ENABLED,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_reentry_blocks
DAEMON_REENTRY_STALE_EXIT_ENABLED,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_reentry_blocks
DC_HOPELESS_EXIT_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
DD_BOUNCE_ENABLED,DEAD_NO_VECTOR_READ,"ENTRY_PULLBACK_BOUNCE,ENTRY_PULLBACK_BOUNCE,ENTRY_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_entry_signals -> _apply_625_entry_gates
DELTA_EXIT_MANDATORY_REENTRY_ENABLED,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_reentry_blocks
DELTA_PYRAMID_MAX,DEAD_NO_VECTOR_READ,"AUGMENT_NEUTRAL,AUGMENT_NEUTRAL,AUGMENT_FULL_FILTERED",Y,Y,Y,Y,Y,-,NO_REPORT_ROW,-,compute_augment_signals
DELTA_PYRAMID_PRICE_TOL,DEAD_NO_VECTOR_READ,"AUGMENT_NEUTRAL,AUGMENT_NEUTRAL,AUGMENT_FULL_FILTERED",Y,Y,Y,Y,Y,-,NO_REPORT_ROW,-,compute_augment_signals
DIRECTION_FAVORABLE_REENTRY_ENABLED,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
DYN_STRUCT_TRAIL_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
E_1_EXIT_DELTA_THR,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
E_1_WT_EXIT_USE_DELTA_ENABLED,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
E_3_USE_WT_STRUCTURE_EXIT_MODE,DEAD_NO_VECTOR_READ,"EXIT_NEUTRAL,EXIT_NEUTRAL,EXIT_FULL_FILTERED",Y,N,Y,Y,-,-,NO_REPORT_ROW,-,compute_exit_signals -> _apply_625_exit_gates
GUARANTEED_REENTRY_DELTA_GATE_ENABLED,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,Y,Y,Y,-,-,NO_REPORT_ROW,-,compute_reentry_blocks
GUARANTEED_REENTRY_K_FAVORABLE_HIGH,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
GUARANTEED_REENTRY_K_FAVORABLE_LOW,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
GUARANTEED_REENTRY_K_HIGH_BLOCK,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
GUARANTEED_REENTRY_K_LOW_BLOCK,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
GUARANTEED_REENTRY_STRICT_CONFIRMATION,DEAD_NO_VECTOR_READ,"REENTRY_NEUTRAL,REENTRY_NEUTRAL,REENTRY_FULL_FILTERED",Y,N,Y,Y,Y,-,NO_REPORT_ROW,-,compute_reentry_blocks
