cfg_ENTRY_SCORE_THRESHOLD,cfg_MIN_GAIN_TO_BUY_AGGRESSIVELY,cfg_RATIO_MULTIPLIER,cfg_REENTRY_STOCH_K_MAX,cfg_STRICT_NO_LOSS,cfg_WT_HTF_GATE_MIN,cfg_WT_LTF_GATE_MIN,config_id,elapsed_s,error
14,2.0,2.0,40,True,0,1,v7_0000,0.0017573833465576172,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,0,2,v7_0001,0.0004947185516357422,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,0,3,v7_0002,0.0005083084106445312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,1,1,v7_0003,0.0004849433898925781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,1,2,v7_0004,0.0004696846008300781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,1,3,v7_0005,0.0005519390106201172,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,2,1,v7_0006,0.0005447864532470703,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,2,2,v7_0007,0.00048279762268066406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,True,2,3,v7_0008,0.0004696846008300781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,0,1,v7_0009,0.0004131793975830078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,0,2,v7_0010,0.0004315376281738281,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,0,3,v7_0011,0.0004413127899169922,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,1,1,v7_0012,0.00042510032653808594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,1,2,v7_0013,0.00041556358337402344,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,1,3,v7_0014,0.00042819976806640625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,2,1,v7_0015,0.0004253387451171875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,2,2,v7_0016,0.00042700767517089844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,40,False,2,3,v7_0017,0.00033664703369140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,0,1,v7_0018,0.0002541542053222656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,0,2,v7_0019,0.00021696090698242188,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,0,3,v7_0020,0.0002510547637939453,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,1,1,v7_0021,0.00021696090698242188,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,1,2,v7_0022,0.00024080276489257812,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,1,3,v7_0023,0.00021576881408691406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,2,1,v7_0024,0.00021314620971679688,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,2,2,v7_0025,0.00022220611572265625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,True,2,3,v7_0026,0.00021767616271972656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,0,1,v7_0027,0.00022220611572265625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,0,2,v7_0028,0.00021338462829589844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,0,3,v7_0029,0.00028514862060546875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,1,1,v7_0030,0.00022029876708984375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,1,2,v7_0031,0.00025010108947753906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,1,3,v7_0032,0.00021576881408691406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,2,1,v7_0033,0.00022220611572265625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,2,2,v7_0034,0.0002276897430419922,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,50,False,2,3,v7_0035,0.00022029876708984375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,0,1,v7_0036,0.00025177001953125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,0,2,v7_0037,0.00021648406982421875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,0,3,v7_0038,0.0003204345703125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,1,1,v7_0039,0.00021338462829589844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,1,2,v7_0040,0.00021219253540039062,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,2.0,60,True,1,3,v7_0041,0.0002453327178955078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
