# [UNVERIFIED -- no trade list, Sharpe values unrecoverable]
4h+D_velocity-2,15 closes | PnL=$15 | Sharpe=45.33
4h+D_velocity-3,113 closes | PnL=$151 | Sharpe=17.35
4h+D_velocity-5,2712 closes | PnL=$5707 | Sharpe=11.91
4h+D_velocity-8,2558 closes | PnL=$6747 | Sharpe=12.53
4h+D_cross-2,1515 closes | PnL=$1686 | Sharpe=10.74
4h+D_both-2,477 closes | PnL=$677 | Sharpe=10.14
4h+D_both-3,0 closes | PnL=$0 | Sharpe=0.00
D_velocity-2,0 closes | PnL=$0 | Sharpe=0.00
D_velocity-5,296 closes | PnL=$270 | Sharpe=8.68
D_cross-2,65 closes | PnL=$11 | Sharpe=3.96
D_both-2,16 closes | PnL=$39 | Sharpe=23.56
4h_velocity-2,15 closes | PnL=$-0 | Sharpe=-2.45
4h_velocity-3,16 closes | PnL=$1 | Sharpe=4.94
4h_velocity-5,16 closes | PnL=$1 | Sharpe=4.94
4h_cross-2,16 closes | PnL=$1 | Sharpe=4.94
1h+4h+D_velocity-2,0 closes | PnL=$0 | Sharpe=0.00
1h+4h+D_velocity-3,0 closes | PnL=$0 | Sharpe=0.00
1h+4h+D_both-2,0 closes | PnL=$0 | Sharpe=0.00
1h+4h_velocity-2,0 closes | PnL=$0 | Sharpe=0.00
1h+4h_velocity-3,0 closes | PnL=$0 | Sharpe=0.00
1h+4h_cross-2,16 closes | PnL=$1 | Sharpe=4.94
4h+D_velocity-1,14 closes | PnL=$9 | Sharpe=39.47
4h+D_velocity-10,0 closes | PnL=$0 | Sharpe=0.00
D_velocity-1,0 closes | PnL=$0 | Sharpe=0.00
D_velocity-8,16 closes | PnL=$4 | Sharpe=16.09
